Journal Profile: IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,,,,,,,,,,,,,
Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile
2017,"5,647",3.972,3.626,4.404,0.607,244,6.5,8.7,0.008,1.067,99.18,0.96500,91.34600
2016,"4,376",3.410,3.089,3.749,0.467,137,6.6,8.6,0.0069,0.955,100.00,0.79153,87.24300
2015,"3,077",2.583,2.337,3.203,0.482,112,6.0,8.6,0.00762,1.091,100.00,0.86845,82.28200
2014,"3,094",3.188,2.848,3.625,0.664,122,5.9,8.1,0.00712,1.098,99.18,0.79707,87.85000
2013,"2,522",2.821,2.635,3.265,0.340,106,6.1,8.1,0.00633,1.038,100.00,0.69746,83.46400
2012,"2,372",3.255,3.026,3.163,0.647,85,6.1,7.5,0.00613,1.006,98.82,Not Available,90.76800
2011,"2,341",3.436,3.250,3.947,0.740,77,5.2,7.4,0.0058,0.930,100.00,Not Available,91.27500
2010,"1,669",2.182,2.068,3.188,0.306,72,5.1,7.3,0.00572,0.880,100.00,Not Available,72.41900
2009,"1,602",2.417,2.227,3.299,0.353,68,4.7,7.5,0.00579,0.887,100.00,Not Available,80.53400
2008,"1,475",2.934,2.801,3.626,0.562,64,4.1,7.2,0.00753,1.058,98.44,Not Available,92.03300
2007,934,2.489,2.385,2.899,0.118,68,3.9,7.6,0.00508,0.764,98.53,Not Available,86.42700
2006,627,1.842,1.631,Not Available,0.221,68,3.4,6.9,Not Available,Not Available,98.53,Not Available,74.40500
2005,348,1.678,1.381,Not Available,0.075,67,2.8,8.1,Not Available,Not Available,100.00,Not Available,73.31700
2004,274,1.654,1.586,Not Available,0.213,47,2.4,8.1,Not Available,Not Available,97.87,Not Available,76.11900
2003,98,1.270,1.142,Not Available,0.239,71,Not Available,7.4,Not Available,Not Available,100.00,Not Available,72.17300
2002,32,0.744,0.674,Not Available,0.000,23,Not Available,7.2,Not Available,Not Available,100.00,Not Available,30.81700
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,
