Cited Journal Data: IEEE T BIO-MED ENG,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
1,,ALL Journals,21496,288,989,1391,1413,1509,1491,1418,1210,884,919,9984
2,,ALL OTHERS (1125),1125,15,39,70,55,83,71,68,60,29,46,589
3,4.288,IEEE T BIO-MED ENG,610,10,35,62,62,49,39,46,37,23,22,225
4,,P ANN INT IEEE EMBS,495,6,38,36,45,32,30,23,26,21,17,221
5,2.475,SENSORS-BASEL,486,10,29,37,24,39,37,44,23,18,20,205
6,2.766,PLOS ONE,439,1,28,34,29,14,30,35,31,23,16,198
7,3.972,IEEE T NEUR SYS REH,435,4,5,15,28,31,46,32,20,24,20,210
8,4.122,SCI REP-UK,392,7,26,31,22,17,22,24,15,25,11,192
9,2.783,BIOMED SIGNAL PROCES,389,0,11,20,23,27,22,31,26,23,22,184
10,,PROC SPIE,350,4,31,19,40,28,25,34,29,15,16,109
11,3.920,J NEURAL ENG,297,4,12,17,18,17,21,23,5,17,11,152
12,2.115,COMPUT BIOL MED,264,4,11,15,12,29,18,11,18,8,14,124
13,3.850,IEEE J BIOMED HEALTH,239,0,7,24,28,21,16,14,26,10,12,81
14,2.006,PHYSIOL MEAS,234,2,20,15,11,8,16,9,7,3,7,136
15,2.617,IEEE SENS J,221,4,17,19,17,19,25,13,16,5,10,76
16,3.877,FRONT NEUROSCI-SWITZ,213,3,11,13,18,11,7,23,4,9,6,108
17,3.557,IEEE ACCESS,207,5,11,15,17,25,17,13,6,6,3,89
18,1.971,MED BIOL ENG COMPUT,187,0,1,9,9,9,14,13,10,13,8,101
19,2.674,COMPUT METH PROG BIO,169,2,3,8,8,12,14,11,8,12,9,82
20,5.426,NEUROIMAGE,151,0,3,8,11,6,3,3,5,4,5,103
21,3.241,NEUROCOMPUTING,145,0,9,8,12,10,16,18,16,11,6,39
22,2.884,MED PHYS,143,3,6,22,21,6,15,7,13,4,5,41
23,3.500,IEEE T BIOMED CIRC S,133,3,3,15,7,11,11,17,2,2,4,58
24,6.131,IEEE T MED IMAGING,124,3,8,12,18,12,10,6,14,6,4,31
25,2.305,ENTROPY-SWITZ,117,7,11,3,4,1,7,4,8,11,7,54
26,2.431,J BIOMECH,108,0,6,2,8,13,4,3,4,4,1,63
27,1.961,INT J COMPUT ASS RAD,107,2,6,13,21,18,9,8,9,3,2,16
28,2.665,PHYS MED BIOL,107,2,9,8,7,4,5,7,8,2,5,50
29,1.923,MED ENG PHYS,106,0,5,3,5,7,4,4,4,2,8,64
30,1.676,BIOMED ENG ONLINE,105,1,2,6,8,11,2,4,3,3,2,63
31,5.356,MED IMAGE ANAL,101,3,3,9,19,14,7,7,15,6,2,16
32,,INT C ACOUST SPEE,100,0,5,6,8,5,10,15,5,4,0,42
33,2.583,BIOMED RES INT,87,4,5,5,5,5,8,8,4,5,8,30
34,3.865,J NEUROENG REHABIL,87,1,6,4,1,9,10,4,4,3,4,41
35,2.871,FRONT HUM NEUROSCI,85,3,2,3,7,9,3,1,7,2,4,44
36,,IEEE SYS MAN CYBERN,84,1,5,5,5,6,3,8,8,7,5,31
37,3.405,ANN BIOMED ENG,81,1,5,6,7,11,0,6,4,2,3,36
