Citing Journal Data: IEEE T BIO-MED ENG,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
1, ,ALL Journals,12239,68,487,961,988,975,947,834,789,621,558,5011
2, ,ALL OTHERS (2194),2194,4,87,170,190,184,167,152,145,94,88,913
3,4.288,IEEE T BIO-MED ENG,610,10,35,62,62,49,39,46,37,23,22,225
4,4.082,MAGN RESON MED,191,12,9,19,11,8,12,7,14,6,9,84
5,6.131,IEEE T MED IMAGING,190,2,20,15,10,10,13,15,10,12,9,74
6, ,IEEE ENG MED BIOL,179,0,6,23,28,33,20,22,14,16,8,9
7,5.426,NEUROIMAGE,172,1,6,8,21,21,32,24,10,6,4,39
8,2.006,PHYSIOL MEAS,149,1,10,12,17,7,16,6,7,10,10,53
9,2.766,PLOS ONE,128,0,11,17,27,24,18,17,5,5,3,1
10,2.665,PHYS MED BIOL,115,0,2,10,3,5,7,4,11,7,3,63
11,18.881,CIRCULATION,109,0,1,2,1,3,5,5,3,1,1,87
12, ,LECT NOTES COMPUT SC,107,0,4,8,8,7,12,4,6,9,5,44
13,3.972,IEEE T NEUR SYS REH,92,1,6,11,15,7,9,4,6,5,3,25
14,2.884,MED PHYS,88,0,2,7,6,5,7,11,9,5,8,28
15,3.405,ANN BIOMED ENG,85,0,3,3,8,10,7,8,8,9,1,28
16,5.356,MED IMAGE ANAL,85,2,3,14,11,10,14,6,3,6,5,11
17,3.920,J NEURAL ENG,78,0,2,7,12,8,9,15,4,3,5,13
18,3.614,CLIN NEUROPHYSIOL,68,0,3,5,7,4,7,4,4,1,4,29
19,9.455,IEEE T PATTERN ANAL,67,0,0,1,5,8,2,5,1,1,0,44
20,2.431,J BIOMECH,64,0,1,6,4,3,1,3,5,4,6,31
21,2.704,IEEE T ULTRASON FERR,63,0,1,3,3,2,3,4,0,5,7,35
22,3.256,J APPL PHYSIOL,63,0,0,2,1,0,2,2,1,3,1,51
23,2.668,J NEUROSCI METH,63,0,2,3,7,7,4,2,7,3,6,22
24,2.502,J NEUROPHYSIOL,59,1,2,0,0,1,2,3,2,4,3,41
25,3.965,PATTERN RECOGN,59,1,1,1,2,5,4,4,3,5,3,30
26,9.504,P NATL ACAD SCI USA,58,0,4,2,3,7,7,5,6,3,3,18
27,3.850,IEEE J BIOMED HEALTH,57,2,6,30,16,3,0,0,0,0,0,0
28, ,THESIS,57,0,5,7,0,5,6,4,2,3,3,22
29,1.971,MED BIOL ENG COMPUT,54,3,2,1,4,2,2,5,0,6,3,26
30,41.577,NATURE,51,0,0,3,0,4,9,3,5,2,2,23
31,79.260,NEW ENGL J MED,51,0,1,3,2,1,2,3,0,2,3,34
32,3.612,J MAGN RESON IMAGING,49,2,3,5,0,3,3,3,1,1,5,23
33, ,PROC SPIE,48,0,4,4,2,4,5,3,4,2,2,18
34,1.605,J ACOUST SOC AM,46,0,2,2,1,2,1,2,1,4,2,29
35,4.203,IEEE T SIGNAL PROCES,45,0,2,0,2,3,3,1,4,2,1,27
36,5.971,J NEUROSCI,45,0,0,1,2,3,5,3,6,3,2,20
37,3.569,AM J PHYSIOL-HEART C,44,0,0,3,0,1,1,1,1,2,4,31
38,5.072,IEEE T IMAGE PROCESS,44,1,0,1,2,3,5,4,2,0,5,21
39,41.058,SCIENCE,44,0,0,2,0,0,4,3,0,1,0,34
40,5.481,BIOINFORMATICS,43,0,0,1,2,7,7,5,5,5,2,9
41,16.834,J AM COLL CARDIOL,42,0,0,1,2,3,2,0,3,2,2,27
42,3.440,INT J HYPERTHER,41,0,1,4,1,5,0,2,5,2,3,18
43,5.863,RESUSCITATION,41,1,4,7,2,6,2,4,3,4,3,5
44,2.645,ULTRASOUND MED BIOL,41,0,1,1,2,5,0,3,3,1,3,22
45, ,IEEE T INF TECHNOL B,39,0,0,0,0,0,9,6,12,2,4,6
46,2.367,J BIOMED OPT,38,0,1,5,4,3,8,4,4,1,1,7
47,2.284,PHYS REV E,38,0,0,3,2,3,5,2,3,0,3,17
48,2.475,SENSORS-BASEL,38,0,5,5,13,7,2,0,5,0,0,1
49,9.107,P IEEE,37,0,6,7,1,0,1,0,2,0,2,18
50, ,PROC CVPR IEEE,37,0,4,7,2,2,3,1,4,5,0,9
51,4.540,J PHYSIOL-LONDON,36,0,0,0,1,1,2,3,0,1,1,27
52, ,COMPUT CARDIOL,35,0,0,3,2,6,6,2,3,1,0,12
53,3.500,IEEE T BIOMED CIRC S,35,0,11,1,5,2,2,2,7,2,0,3
54,4.264,IEEE T ROBOT,35,0,1,1,2,3,2,2,3,7,4,10
55,10.848,BRAIN,34,0,1,0,3,2,1,1,2,1,3,20
56, ,ELECTROEN CLIN NEURO,34,0,0,0,0,0,0,0,0,0,0,34
57,1.961,INT J COMPUT ASS RAD,34,1,3,7,5,5,1,2,2,5,3,0
58,53.254,LANCET,34,0,0,0,0,3,1,3,2,0,1,24
59,3.495,APPL PHYS LETT,33,0,1,2,4,3,3,3,1,1,0,15
60,11.541,INT J COMPUT VISION,33,0,0,0,0,0,1,1,1,0,2,28
61,8.324,MOVEMENT DISORD,33,0,2,1,0,2,0,1,2,2,2,21
62,9.130,CANCER RES,32,0,0,2,1,2,1,4,2,3,0,17
63, ,IEEE INT CONF ROBOT,32,0,4,5,5,6,3,1,1,0,1,6
64, ,P SOC PHOTO-OPT INST,32,0,1,3,1,7,4,2,0,6,4,4
65,2.617,IEEE SENS J,31,0,3,8,5,4,7,1,2,0,1,0
66,2.281,J MACH LEARN RES,31,0,0,0,3,0,4,2,5,1,2,14
67,2.115,COMPUT BIOL MED,30,0,0,9,1,2,3,2,2,0,5,6
68,7.469,RADIOLOGY,30,0,1,0,2,2,2,0,2,1,1,19
69,3.865,J NEUROENG REHABIL,29,0,0,6,3,7,4,1,2,2,1,3
70, ,PATENTS,29,0,0,1,3,3,2,3,0,0,0,17
71,1.676,BIOMED ENG ONLINE,28,0,0,2,3,2,1,5,5,3,0,7
72,1.855,MACH LEARN,28,0,0,0,0,0,0,0,1,2,0,25
73,3.842,NEUROGASTROENT MOTIL,28,0,2,2,1,3,3,5,1,0,0,11
74, ,P ANN INT IEEE EMBS,27,0,0,0,0,0,0,0,0,0,0,27
75,3.176,IEEE T MICROW THEORY,26,0,0,2,2,5,1,0,0,2,3,11
76,4.927,HUM BRAIN MAPP,25,0,1,4,2,4,1,1,0,2,1,9
77,1.923,MED ENG PHYS,25,0,0,3,3,1,4,3,2,1,0,8
78,3.356,OPT EXPRESS,25,0,0,0,0,2,3,2,3,1,5,9
79,2.783,BIOMED SIGNAL PROCES,24,0,1,4,3,9,2,0,1,1,2,1
80,2.674,COMPUT METH PROG BIO,24,0,1,2,4,4,4,1,2,1,1,4
81,13.397,DIABETES CARE,24,0,0,3,5,2,0,0,4,0,2,8
