Journal Profile: JOURNAL OF NEUROSCIENCE METHODS,,,,,,,,,,,,,
Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile
2017,"15,861",2.668,2.581,2.571,0.540,202,10.2,8.4,0.018,0.877,99.01,2.04500,51.29000
2016,"14,651",2.554,2.406,2.426,0.517,292,9.5,9.0,0.01753,0.816,96.58,2.01291,49.60300
2015,"13,407",2.053,1.919,2.256,0.574,284,8.9,8.2,0.01852,0.785,97.54,2.11084,35.72300
2014,"12,656",2.025,1.917,2.245,0.529,306,8.5,8.2,0.01989,0.753,98.69,2.22732,36.14500
2013,"12,062",1.959,1.831,2.413,0.463,240,8.0,8.6,0.02482,0.831,99.17,2.73587,31.61600
2012,"11,483",2.114,1.963,2.484,0.367,327,7.8,8.1,0.02653,0.850,99.08,Not Available,37.36900
2011,"10,653",1.980,1.857,2.400,0.386,337,7.5,8.3,0.0275,0.847,99.41,Not Available,31.25600
2010,"9,620",2.100,1.965,2.262,0.309,350,7.5,8.5,0.02745,0.857,99.43,Not Available,39.93800
2009,"9,149",2.295,2.111,2.503,0.455,409,7.5,7.8,0.02638,0.861,98.29,Not Available,43.09600
2008,"7,991",2.092,1.883,2.372,0.491,369,7.6,7.6,0.02276,0.793,98.64,Not Available,39.23100
2007,"6,982",1.884,1.729,2.214,0.391,322,7.8,7.9,0.02093,0.765,99.38,Not Available,35.33400
2006,"6,343",2.243,2.054,Not Available,0.274,321,8.0,7.6,Not Available,Not Available,98.13,Not Available,43.10700
2005,"5,609",1.784,1.625,Not Available,0.352,230,8.1,8.1,Not Available,Not Available,98.26,Not Available,38.60100
2004,"5,271",1.894,1.750,Not Available,0.383,230,7.7,7.1,Not Available,Not Available,99.13,Not Available,43.11500
2003,"4,746",1.777,1.634,Not Available,0.260,192,7.8,7.9,Not Available,Not Available,99.48,Not Available,42.13500
2002,"4,599",1.889,1.711,Not Available,0.309,194,7.9,7.8,Not Available,Not Available,99.48,Not Available,51.66900
2001,"4,324",1.659,1.512,Not Available,0.301,163,7.8,7.3,Not Available,Not Available,98.77,Not Available,45.52800
2000,"4,239",1.477,1.342,Not Available,0.228,197,7.6,7.7,Not Available,Not Available,99.49,Not Available,41.90100
1999,"3,963",1.362,1.283,Not Available,0.322,152,7.3,7.2,Not Available,Not Available,99.34,Not Available,39.40000
1998,"3,915",1.430,1.291,Not Available,0.166,175,7.4,7.8,Not Available,Not Available,100.00,Not Available,49.27600
1997,"3,481",1.335,1.247,Not Available,0.287,164,6.8,7.3,Not Available,Not Available,98.17,Not Available,36.28800
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,
