Cited Journal Data: J NEUROSCI,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
1,,ALL Journals,176159,1077,5057,9010,10396,11796,11124,12520,11221,11228,9749,82981
2,,ALL OTHERS (1475),1475,3,21,71,83,80,91,96,75,106,80,769
3,5.971,J NEUROSCI,7001,152,313,464,512,531,482,511,453,447,366,2770
4,4.122,SCI REP-UK,6982,56,219,402,434,477,435,521,471,474,370,3123
5,2.766,PLOS ONE,3655,13,82,162,195,235,263,304,235,247,201,1718
6,2.502,J NEUROPHYSIOL,2932,16,81,170,162,237,178,193,173,165,183,1374
7,7.616,ELIFE,2809,22,112,160,176,215,216,206,189,172,155,1186
8,6.308,CEREB CORTEX,2748,1,37,159,220,253,192,239,196,183,145,1123
9,14.319,NEURON,2715,38,130,140,189,232,176,210,175,146,132,1147
10,5.426,NEUROIMAGE,2676,13,105,212,242,277,246,274,193,207,148,759
11,3.382,NEUROSCIENCE,2547,10,60,110,134,132,131,157,141,166,167,1339
12,4.300,FRONT CELL NEUROSCI,2134,17,68,90,103,136,98,117,131,127,115,1132
13,9.504,P NATL ACAD SCI USA,1976,17,87,119,119,179,148,155,143,107,109,793
14,12.353,NAT COMMUN,1919,13,64,140,127,156,138,173,131,120,98,759
15,4.249,NEUROPHARMACOLOGY,1868,5,42,71,86,103,90,96,96,88,122,1069
16,,ENEURO,1709,21,69,89,120,126,107,143,99,92,95,748
17,3.877,FRONT NEUROSCI-SWITZ,1670,24,54,108,97,100,96,136,112,124,85,734
18,3.902,FRONT MOL NEUROSCI,1636,21,54,86,100,102,94,105,125,118,99,732
19,5.076,MOL NEUROBIOL,1572,0,9,47,63,67,92,92,110,111,101,880
20,3.173,BEHAV BRAIN RES,1473,4,25,50,64,83,81,97,69,85,72,843
21,8.032,CELL REP,1410,10,42,89,104,116,85,109,93,76,75,611
22,4.540,J PHYSIOL-LONDON,1402,3,39,85,93,100,70,102,75,90,65,680
23,8.037,NEUROSCI BIOBEHAV R,1385,4,38,71,90,96,63,115,104,102,88,614
24,4.231,BRAIN STRUCT FUNCT,1370,2,22,62,69,82,80,109,84,99,68,693
25,2.871,FRONT HUM NEUROSCI,1230,9,54,81,76,106,94,111,114,93,64,428
26,2.832,EUR J NEUROSCI,1220,8,31,49,69,85,82,61,55,80,78,622
27,3.400,J COMP NEUROL,1121,1,19,48,63,60,62,43,69,62,57,637
28,4.927,HUM BRAIN MAPP,1065,4,30,70,71,118,80,113,88,110,73,308
29,4.609,J NEUROCHEM,1065,4,27,39,61,63,56,57,58,72,59,569
30,6.541,CURR OPIN NEUROBIOL,1027,13,92,80,88,110,74,82,68,42,60,318
31,4.483,EXP NEUROL,1009,7,27,46,57,52,64,51,48,62,67,528
32,3.687,INT J MOL SCI,1007,10,28,43,45,49,55,61,66,67,73,510
33,3.244,NEUROBIOL LEARN MEM,994,4,15,54,45,68,55,59,73,47,40,534
34,5.227,NEUROBIOL DIS,954,2,27,50,44,64,61,58,61,70,57,460
35,19.912,NAT NEUROSCI,934,12,53,62,88,90,53,75,44,42,42,373
36,3.131,FRONT NEURAL CIRCUIT,917,10,31,49,50,66,58,53,44,53,35,468
37,3.476,J ALZHEIMERS DIS,903,3,22,26,48,46,72,84,65,71,50,416
38,2.662,J NEUROSCI RES,896,5,23,45,56,44,52,65,56,51,54,445
39,3.955,PLOS COMPUT BIOL,877,5,24,59,57,63,65,62,43,54,53,392
40,14.163,PROG NEUROBIOL,873,2,14,36,46,54,60,56,54,49,50,452
41,3.125,BRAIN RES,841,3,15,26,21,37,49,60,55,49,51,475
42,2.889,NEUROPSYCHOLOGIA,841,5,43,57,66,80,79,74,62,59,44,272
43,2.159,NEUROSCI LETT,841,4,25,37,41,51,38,49,50,39,55,452
44,6.544,NEUROPSYCHOPHARMACOL,837,2,29,54,59,76,59,70,40,41,59,348
45,,FRONT PSYCHOL,829,6,27,48,51,66,59,80,63,74,38,317
46,9.251,CURR BIOL,800,16,36,45,55,61,45,64,48,57,41,332
47,5.846,GLIA,794,2,31,42,64,66,45,65,39,33,54,353
48,3.582,FRONT AGING NEUROSCI,760,8,31,40,51,58,56,60,42,61,43,310
49,3.468,J COGNITIVE NEUROSCI,701,4,19,47,59,65,74,92,62,52,18,209
50,,ONCOTARGET,680,5,24,33,38,46,39,41,43,51,42,318
51,11.984,BIOL PSYCHIAT,676,2,23,48,57,61,45,56,55,46,33,250
52,32.635,NAT REV NEUROSCI,668,3,40,53,42,57,44,51,37,38,39,264
53,4.011,J BIOL CHEM,657,9,9,22,42,40,53,51,53,40,30,308
54,2.772,NEUROCHEM RES,651,1,12,15,31,29,27,41,36,48,44,367
55,3.152,FRONT NEUROANAT,634,6,20,33,33,32,28,32,35,36,32,347
56,2.598,DEV NEUROBIOL,627,0,8,21,26,37,41,31,34,44,22,363
57,4.907,CORTEX,626,4,20,38,53,55,39,70,51,62,29,205
58,3.138,FRONT BEHAV NEUROSCI,626,5,17,23,29,37,35,40,37,36,43,324
59,2.824,HEARING RES,590,1,28,57,30,48,63,50,30,51,22,210
60,4.454,NEUROBIOL AGING,586,2,24,31,38,48,45,25,42,37,31,263
61,3.161,NEURAL PLAST,579,4,21,33,29,33,36,32,34,32,24,301
62,3.312,MOL CELL NEUROSCI,578,2,14,29,28,35,32,21,38,23,29,327
63,3.966,HIPPOCAMPUS,562,3,14,29,24,36,31,39,35,27,23,301
64,6.306,BRAIN BEHAV IMMUN,557,3,22,36,39,44,40,50,31,33,28,231
65,3.508,FRONT NEUROL,547,2,20,26,35,23,21,44,36,31,21,288
66,3.222,PSYCHOPHARMACOLOGY,520,2,12,14,34,39,21,40,27,28,28,275
67,,FRONT SYST NEUROSCI,512,5,19,38,37,30,22,28,22,28,21,262
68,4.902,HUM MOL GENET,504,1,14,23,37,39,48,47,39,27,27,202
69,2.234,NEURAL REGEN RES,502,8,18,24,32,30,23,31,39,23,34,240
70,5.193,J NEUROINFLAMM,496,8,18,32,31,34,32,37,29,37,28,210
71,1.806,EXP BRAIN RES,494,1,11,31,25,29,27,47,31,31,26,235
72,11.640,MOL PSYCHIATR,494,0,9,24,35,41,37,38,40,29,31,210
73,3.831,FRONT PHARMACOL,489,7,11,25,19,28,29,25,25,20,35,265
74,3.440,BRAIN RES BULL,486,0,3,13,17,24,20,26,21,25,34,303
75,10.848,BRAIN,484,5,20,34,41,44,39,33,35,29,19,185
76,4.691,TRANSL PSYCHIAT,479,1,17,21,26,32,32,34,31,30,34,221
77,2.757,CURR PHARM DESIGN,466,2,10,23,23,18,26,30,33,26,32,243
