,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,18786,381,1929,1532,1505,1491,1376,1043,1276,904,503,6846,ACTA NEUROPATHOLOGICA
2,,ALL OTHERS (758),758,10,58,52,49,43,39,29,52,35,20,371,ACTA NEUROPATHOLOGICA
3,15.876,ACTA NEUROPATHOL,521,22,71,65,67,41,38,32,20,26,16,123,ACTA NEUROPATHOLOGICA
4,4.122,SCI REP-UK,468,10,49,34,18,48,40,22,32,32,15,168,ACTA NEUROPATHOLOGICA
5,3.476,J ALZHEIMERS DIS,390,2,20,28,23,13,34,35,30,32,6,167,ACTA NEUROPATHOLOGICA
6,,ONCOTARGET,361,1,60,31,18,22,37,23,15,12,8,134,ACTA NEUROPATHOLOGICA
7,2.766,PLOS ONE,331,4,29,21,14,18,30,15,31,18,8,143,ACTA NEUROPATHOLOGICA
8,6.187,BRAIN PATHOL,271,4,16,24,23,23,26,21,13,17,10,94,ACTA NEUROPATHOLOGICA
9,5.414,ACTA NEUROPATHOL COM,264,21,24,37,31,25,22,17,12,11,7,57,ACTA NEUROPATHOLOGICA
10,3.490,J NEUROPATH EXP NEUR,257,3,21,20,25,20,23,24,18,20,8,75,ACTA NEUROPATHOLOGICA
11,3.060,J NEURO-ONCOL,231,2,49,24,12,18,20,9,15,8,2,72,ACTA NEUROPATHOLOGICA
12,9.384,NEURO-ONCOLOGY,206,2,48,34,25,23,18,12,14,6,3,21,ACTA NEUROPATHOLOGICA
13,1.887,NEUROPATHOLOGY,189,1,10,4,3,6,5,13,6,8,10,123,ACTA NEUROPATHOLOGICA
14,10.848,BRAIN,181,6,18,9,25,18,13,15,17,8,4,48,ACTA NEUROPATHOLOGICA
15,3.902,FRONT MOL NEUROSCI,166,7,25,31,7,31,6,13,4,5,6,31,ACTA NEUROPATHOLOGICA
16,4.454,NEUROBIOL AGING,164,3,12,16,22,14,16,15,10,12,3,41,ACTA NEUROPATHOLOGICA
17,1.924,WORLD NEUROSURG,163,0,41,8,6,3,10,2,4,2,2,85,ACTA NEUROPATHOLOGICA
18,3.687,INT J MOL SCI,153,5,25,9,7,11,12,7,15,5,1,56,ACTA NEUROPATHOLOGICA
19,3.877,FRONT NEUROSCI-SWITZ,152,8,14,7,16,19,6,7,12,5,3,55,ACTA NEUROPATHOLOGICA
20,5.076,MOL NEUROBIOL,151,2,3,19,5,19,12,3,15,13,3,57,ACTA NEUROPATHOLOGICA
21,6.059,NEUROPATH APPL NEURO,146,2,8,14,13,6,11,21,6,7,3,55,ACTA NEUROPATHOLOGICA
22,6.426,MOL NEURODEGENER,138,9,17,15,18,9,6,13,7,2,6,36,ACTA NEUROPATHOLOGICA
23,3.582,FRONT AGING NEUROSCI,135,2,14,5,6,5,4,7,12,10,5,65,ACTA NEUROPATHOLOGICA
24,8.324,MOVEMENT DISORD,134,3,14,5,13,5,14,5,10,8,7,50,ACTA NEUROPATHOLOGICA
25,4.902,HUM MOL GENET,130,3,13,24,15,30,2,3,7,3,1,29,ACTA NEUROPATHOLOGICA
26,5.227,NEUROBIOL DIS,120,2,11,2,10,17,4,6,6,5,3,54,ACTA NEUROPATHOLOGICA
27,8.055,NEUROLOGY,120,3,12,10,12,8,8,7,11,6,9,34,ACTA NEUROPATHOLOGICA
28,3.508,FRONT NEUROL,116,2,14,10,8,6,8,3,7,6,12,40,ACTA NEUROPATHOLOGICA
29,14.163,PROG NEUROBIOL,115,3,4,11,11,9,6,8,3,5,4,51,ACTA NEUROPATHOLOGICA
30,3.979,CSH PERSPECT MED,102,0,2,10,18,9,7,9,11,9,2,25,ACTA NEUROPATHOLOGICA
31,5.971,J NEUROSCI,101,2,15,11,5,4,3,2,10,7,1,41,ACTA NEUROPATHOLOGICA
32,4.300,FRONT CELL NEUROSCI,100,3,10,13,6,16,5,5,6,2,2,32,ACTA NEUROPATHOLOGICA
33,4.609,J NEUROCHEM,88,4,6,11,6,4,8,7,3,6,3,30,ACTA NEUROPATHOLOGICA
34,6.045,J CEREBR BLOOD F MET,87,0,3,5,4,5,5,6,7,4,3,45,ACTA NEUROPATHOLOGICA
35,2.159,NEUROSCI LETT,84,1,3,10,13,12,4,5,6,2,3,25,ACTA NEUROPATHOLOGICA
36,9.504,P NATL ACAD SCI USA,82,2,6,9,8,11,2,8,3,2,2,29,ACTA NEUROPATHOLOGICA
37,5.511,FRONT IMMUNOL,80,9,7,10,9,8,3,4,5,5,2,18,ACTA NEUROPATHOLOGICA
38,2.535,BRAIN TUMOR PATHOL,76,1,14,10,7,5,7,6,7,5,1,13,ACTA NEUROPATHOLOGICA
