,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,9072,159,830,847,744,792,698,552,491,457,387,3115,ACTA NEUROPATHOLOGICA
2, ,ALL OTHERS (561),561,11,56,59,32,44,30,26,25,25,24,229,ACTA NEUROPATHOLOGICA
3,15.876,ACTA NEUROPATHOL,521,22,71,65,67,41,38,32,20,26,16,123,ACTA NEUROPATHOLOGICA
4,9.504,P NATL ACAD SCI USA,288,1,11,16,24,27,21,15,19,24,12,118,ACTA NEUROPATHOLOGICA
5,10.848,BRAIN,270,5,28,21,21,30,25,20,13,14,13,80,ACTA NEUROPATHOLOGICA
6,8.055,NEUROLOGY,253,2,11,13,18,18,11,14,9,9,11,137,ACTA NEUROPATHOLOGICA
7,5.971,J NEUROSCI,249,1,13,8,19,24,23,18,23,15,10,95,ACTA NEUROPATHOLOGICA
8,10.250,ANN NEUROL,226,1,14,14,7,22,14,15,10,15,8,106,ACTA NEUROPATHOLOGICA
9,41.577,NATURE,223,3,19,16,30,12,30,7,10,6,8,82,ACTA NEUROPATHOLOGICA
10,14.319,NEURON,210,0,19,17,25,28,14,20,17,7,5,58,ACTA NEUROPATHOLOGICA
11,41.058,SCIENCE,186,0,11,12,10,14,10,9,5,5,9,101,ACTA NEUROPATHOLOGICA
12,4.011,J BIOL CHEM,182,0,3,12,3,10,18,17,10,10,11,88,ACTA NEUROPATHOLOGICA
13,3.490,J NEUROPATH EXP NEUR,162,0,5,9,10,6,10,6,5,11,10,90,ACTA NEUROPATHOLOGICA
14,2.766,PLOS ONE,146,1,10,19,22,30,21,18,11,3,10,1,ACTA NEUROPATHOLOGICA
15,31.398,CELL,122,0,11,8,6,14,9,9,6,7,5,47,ACTA NEUROPATHOLOGICA
16,27.125,NAT GENET,120,1,6,9,17,13,8,10,3,10,4,39,ACTA NEUROPATHOLOGICA
17,4.454,NEUROBIOL AGING,116,2,17,12,14,12,10,6,3,0,5,35,ACTA NEUROPATHOLOGICA
18,4.902,HUM MOL GENET,106,1,3,13,10,7,17,8,8,3,6,30,ACTA NEUROPATHOLOGICA
19,19.912,NAT NEUROSCI,101,1,10,19,10,16,2,8,4,5,9,17,ACTA NEUROPATHOLOGICA
