Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"18,786",15.876,15.252,13.552,3.464,110,7.1,6.8,0.041,5.207,83.64,4.84300,98.62500,ACTA NEUROPATHOLOGICA
2016,"16,462",12.213,11.613,11.297,4.349,109,6.9,6.5,0.03698,4.410,75.23,4.24727,97.84400,ACTA NEUROPATHOLOGICA
2015,"14,701",11.360,10.419,10.616,2.743,109,6.7,6.1,0.03692,4.062,77.06,4.20817,97.52600,ACTA NEUROPATHOLOGICA
2014,"13,098",10.762,9.790,9.762,2.500,116,6.7,5.7,0.03329,3.483,73.28,3.72863,97.61000,ACTA NEUROPATHOLOGICA
2013,"12,284",9.777,8.907,8.854,2.717,120,6.5,5.9,0.03087,3.082,82.50,3.40198,96.74400,ACTA NEUROPATHOLOGICA
2012,"11,664",9.734,9.020,8.562,2.565,124,6.8,5.9,0.03008,2.870,82.26,Not Available,97.01200,ACTA NEUROPATHOLOGICA
2011,"10,562",9.320,8.483,7.280,2.158,114,7.3,6.3,0.02639,2.328,79.82,Not Available,96.70500,ACTA NEUROPATHOLOGICA
2010,"9,540",7.695,6.639,5.963,1.929,127,8.1,6.0,0.02347,1.930,77.17,Not Available,96.00900,ACTA NEUROPATHOLOGICA
2009,"8,563",6.397,5.483,4.444,1.983,117,8.9,6.8,0.01896,1.391,79.49,Not Available,94.91500,ACTA NEUROPATHOLOGICA
2008,"7,726",5.310,4.635,3.787,1.672,119,8.9,6.6,0.01832,1.196,85.71,Not Available,91.18900,ACTA NEUROPATHOLOGICA
2007,"6,759",3.179,2.690,2.824,1.236,123,9.7,6.8,0.01486,0.872,84.55,Not Available,75.08100,ACTA NEUROPATHOLOGICA
2006,"6,567",2.694,2.338,Not Available,0.417,132,9.6,6.5,Not Available,Not Available,91.67,Not Available,68.38700,ACTA NEUROPATHOLOGICA
2005,"6,578",2.527,2.120,Not Available,0.412,136,9.3,6.9,Not Available,Not Available,89.71,Not Available,65.55100,ACTA NEUROPATHOLOGICA
2004,"6,572",2.503,2.321,Not Available,0.526,133,9.4,6.9,Not Available,Not Available,99.25,Not Available,68.82700,ACTA NEUROPATHOLOGICA
2003,"6,490",2.556,2.261,Not Available,0.465,155,8.8,7.0,Not Available,Not Available,98.06,Not Available,71.28600,ACTA NEUROPATHOLOGICA
2002,"6,720",2.283,2.087,Not Available,0.523,153,8.7,6.6,Not Available,Not Available,99.35,Not Available,69.62100,ACTA NEUROPATHOLOGICA
2001,"6,455",2.165,1.936,Not Available,0.226,168,8.6,6.8,Not Available,Not Available,99.40,Not Available,71.58700,ACTA NEUROPATHOLOGICA
2000,"6,885",2.446,2.146,Not Available,0.352,199,8.5,6.7,Not Available,Not Available,99.50,Not Available,74.77300,ACTA NEUROPATHOLOGICA
1999,"6,861",2.402,2.181,Not Available,0.477,176,8.1,6.7,Not Available,Not Available,97.73,Not Available,75.03600,ACTA NEUROPATHOLOGICA
1998,"6,868",2.336,2.128,Not Available,0.243,185,7.8,6.7,Not Available,Not Available,100.00,Not Available,77.12200,ACTA NEUROPATHOLOGICA
1997,"6,752",2.299,2.057,Not Available,0.287,178,7.6,6.3,Not Available,Not Available,98.88,Not Available,76.18500,ACTA NEUROPATHOLOGICA
