,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,5297,285,660,650,541,866,343,500,291,248,189,724,AGEING RESEARCH REVIEWS
2,,ALL OTHERS (936),936,59,93,88,68,150,70,99,73,36,50,150,AGEING RESEARCH REVIEWS
3,4.122,SCI REP-UK,120,6,18,13,5,27,8,6,3,11,5,18,AGEING RESEARCH REVIEWS
4,8.973,AGEING RES REV,101,13,14,13,7,7,10,8,7,3,5,14,AGEING RESEARCH REVIEWS
5,2.766,PLOS ONE,100,5,11,7,11,20,3,14,5,7,5,12,AGEING RESEARCH REVIEWS
6,3.476,J ALZHEIMERS DIS,91,3,10,8,25,21,6,5,3,3,1,6,AGEING RESEARCH REVIEWS
7,,ONCOTARGET,65,4,12,10,8,11,1,3,0,7,4,5,AGEING RESEARCH REVIEWS
8,3.224,EXP GERONTOL,58,3,6,7,4,8,0,7,7,4,1,11,AGEING RESEARCH REVIEWS
9,3.582,FRONT AGING NEUROSCI,55,1,13,10,13,6,1,1,2,2,0,6,AGEING RESEARCH REVIEWS
10,4.902,J GERONTOL A-BIOL,55,2,3,8,5,8,7,11,0,5,1,5,AGEING RESEARCH REVIEWS
11,3.748,MECH AGEING DEV,53,1,9,5,4,11,3,5,4,1,3,7,AGEING RESEARCH REVIEWS
12,2.505,CLIN INTERV AGING,52,6,12,4,0,8,5,9,3,0,2,3,AGEING RESEARCH REVIEWS
13,3.687,INT J MOL SCI,48,4,6,6,8,11,3,2,1,0,2,5,AGEING RESEARCH REVIEWS
14,2.866,BMC GERIATR,45,2,4,5,3,14,1,13,2,0,0,1,AGEING RESEARCH REVIEWS
15,7.627,AGING CELL,41,5,2,5,7,4,2,4,1,3,0,8,AGEING RESEARCH REVIEWS
16,3.702,BIOGERONTOLOGY,41,2,3,4,4,6,3,2,3,3,6,5,AGEING RESEARCH REVIEWS
17,5.325,J AM MED DIR ASSOC,40,2,6,5,7,8,1,6,2,2,0,1,AGEING RESEARCH REVIEWS
18,4.196,NUTRIENTS,40,7,4,6,1,4,2,5,3,4,2,2,AGEING RESEARCH REVIEWS
19,5.179,AGING-US,36,3,3,3,1,9,3,2,2,4,0,6,AGEING RESEARCH REVIEWS
20,4.936,OXID MED CELL LONGEV,36,3,4,6,2,7,5,1,1,1,3,3,AGEING RESEARCH REVIEWS
21,2.656,GERIATR GERONTOL INT,30,0,4,8,2,3,3,6,3,1,0,0,AGEING RESEARCH REVIEWS
22,5.511,FRONT IMMUNOL,28,6,3,5,1,2,0,10,1,0,0,0,AGEING RESEARCH REVIEWS
23,4.155,J AM GERIATR SOC,28,1,7,5,2,4,1,5,0,1,0,2,AGEING RESEARCH REVIEWS
24,5.076,MOL NEUROBIOL,28,0,3,3,8,2,0,2,3,1,0,6,AGEING RESEARCH REVIEWS
25,4.454,NEUROBIOL AGING,27,1,8,6,2,6,1,0,1,0,0,2,AGEING RESEARCH REVIEWS
26,,RSC DRUG DISCOV,26,0,0,7,2,4,3,2,2,1,1,4,AGEING RESEARCH REVIEWS
27,2.559,BIOCHEM BIOPH RES CO,24,2,6,2,2,2,1,1,2,0,2,4,AGEING RESEARCH REVIEWS
28,3.394,FRONT PHYSIOL,24,3,2,3,0,1,3,2,2,1,4,3,AGEING RESEARCH REVIEWS
29,5.058,AGING DIS,23,0,2,3,2,2,0,5,1,3,0,5,AGEING RESEARCH REVIEWS
30,7.126,REDOX BIOL,23,0,4,4,0,4,0,2,1,3,2,3,AGEING RESEARCH REVIEWS
31,2.241,ARCH GERONTOL GERIAT,21,0,1,1,2,5,2,5,4,0,0,1,AGEING RESEARCH REVIEWS
32,2.413,BMJ OPEN,21,0,0,1,0,6,2,9,2,0,0,1,AGEING RESEARCH REVIEWS
33,6.020,FREE RADICAL BIO MED,21,0,4,6,2,1,2,2,1,1,1,1,AGEING RESEARCH REVIEWS
34,2.868,J NUTR HEALTH AGING,21,0,0,3,4,8,1,2,1,0,0,2,AGEING RESEARCH REVIEWS
35,3.289,CURR ALZHEIMER RES,20,0,2,2,2,2,2,4,2,3,0,1,AGEING RESEARCH REVIEWS
36,2.663,AGING MENT HEALTH,19,0,0,2,6,4,0,3,2,0,0,2,AGEING RESEARCH REVIEWS
37,8.037,NEUROSCI BIOBEHAV R,19,0,3,3,1,2,2,1,0,0,2,5,AGEING RESEARCH REVIEWS
38,14.163,PROG NEUROBIOL,19,0,1,3,5,3,1,2,0,2,0,2,AGEING RESEARCH REVIEWS
39,2.121,AGING CLIN EXP RES,18,0,0,8,0,3,0,3,2,1,0,1,AGEING RESEARCH REVIEWS
40,4.540,J PHYSIOL-LONDON,18,2,3,2,1,2,0,2,0,3,2,1,AGEING RESEARCH REVIEWS
41,4.011,J BIOL CHEM,17,2,3,3,5,0,1,1,0,0,0,2,AGEING RESEARCH REVIEWS
42,3.315,MATURITAS,17,0,4,3,2,4,1,2,0,1,0,0,AGEING RESEARCH REVIEWS
43,3.173,BEHAV BRAIN RES,16,0,3,1,3,1,0,1,1,1,1,4,AGEING RESEARCH REVIEWS
44,12.353,NAT COMMUN,16,3,1,1,2,0,5,1,0,0,1,2,AGEING RESEARCH REVIEWS
45,5.595,FASEB J,15,1,6,1,2,1,2,1,0,1,0,0,AGEING RESEARCH REVIEWS
46,3.098,MOLECULES,15,0,3,3,0,2,3,2,1,0,0,1,AGEING RESEARCH REVIEWS
47,2.583,BIOMED RES INT,14,4,2,2,0,4,0,1,1,0,0,0,AGEING RESEARCH REVIEWS
48,2.757,CURR PHARM DESIGN,14,0,1,6,1,0,1,1,0,0,1,3,AGEING RESEARCH REVIEWS
49,,FRONT PSYCHOL,14,1,7,1,0,1,1,1,0,0,1,1,AGEING RESEARCH REVIEWS
50,9.504,P NATL ACAD SCI USA,14,2,4,1,0,1,0,2,0,0,1,3,AGEING RESEARCH REVIEWS
51,,FRONT MED,13,3,2,1,0,5,0,1,0,0,0,1,AGEING RESEARCH REVIEWS
52,3.902,FRONT MOL NEUROSCI,13,0,1,2,4,1,1,1,2,0,1,0,AGEING RESEARCH REVIEWS
53,3.877,FRONT NEUROSCI-SWITZ,13,1,4,0,1,2,0,1,0,2,1,1,AGEING RESEARCH REVIEWS
54,4.847,P ROY SOC B-BIOL SCI,13,0,0,4,0,7,0,0,0,0,0,2,AGEING RESEARCH REVIEWS
55,3.220,REJUV RES,13,1,3,4,0,2,1,0,0,0,0,2,AGEING RESEARCH REVIEWS
56,6.530,ANTIOXID REDOX SIGN,12,1,0,1,0,2,2,0,2,1,1,2,AGEING RESEARCH REVIEWS
57,1.410,EXP THER MED,12,1,0,1,1,1,1,1,0,2,2,2,AGEING RESEARCH REVIEWS
58,,GEROSCIENCE,12,1,2,0,2,0,0,0,2,1,1,3,AGEING RESEARCH REVIEWS
59,1.922,MOL MED REP,12,0,1,2,0,2,0,0,1,0,1,5,AGEING RESEARCH REVIEWS
60,3.457,BIOMED PHARMACOTHER,11,0,2,0,2,4,1,0,0,0,0,2,AGEING RESEARCH REVIEWS
61,4.816,EUR J MED CHEM,11,1,2,0,4,1,2,1,0,0,0,0,AGEING RESEARCH REVIEWS
62,4.483,EXP NEUROL,11,0,3,1,1,0,1,0,0,1,1,3,AGEING RESEARCH REVIEWS
63,4.300,FRONT CELL NEUROSCI,11,0,1,1,2,2,0,0,0,1,0,4,AGEING RESEARCH REVIEWS
64,3.831,FRONT PHARMACOL,11,0,2,0,5,2,1,0,0,0,0,1,AGEING RESEARCH REVIEWS
65,2.261,INT PSYCHOGERIATR,11,0,1,1,5,1,2,0,1,0,0,0,AGEING RESEARCH REVIEWS
66,0.845,NUTR HOSP,11,2,0,0,0,4,2,1,2,0,0,0,AGEING RESEARCH REVIEWS
67,4.185,PROG NEURO-PSYCHOPH,11,0,1,1,1,2,0,2,0,0,0,4,AGEING RESEARCH REVIEWS
68,10.769,TRENDS ENDOCRIN MET,11,0,2,4,0,3,1,1,0,0,0,0,AGEING RESEARCH REVIEWS
69,2.420,BMC PUBLIC HEALTH,10,0,2,1,0,1,0,6,0,0,0,0,AGEING RESEARCH REVIEWS
70,6.721,CELL MOL LIFE SCI,10,1,1,0,2,3,0,1,0,0,0,2,AGEING RESEARCH REVIEWS
71,5.500,CELL PHYSIOL BIOCHEM,10,2,1,2,1,1,0,0,1,0,0,2,AGEING RESEARCH REVIEWS
72,2.084,CNS NEUROL DISORD-DR,10,1,4,2,1,0,0,0,1,0,0,1,AGEING RESEARCH REVIEWS
73,3.532,GERONTOLOGY,10,0,2,2,2,2,1,0,1,0,0,0,AGEING RESEARCH REVIEWS
74,4.927,HUM BRAIN MAPP,10,0,2,1,3,3,0,0,0,0,0,1,AGEING RESEARCH REVIEWS
75,2.940,INT J GERIATR PSYCH,10,0,1,2,0,4,1,1,1,0,0,0,AGEING RESEARCH REVIEWS
76,2.038,J AGING PHYS ACTIV,10,0,1,0,2,3,2,2,0,0,0,0,AGEING RESEARCH REVIEWS
77,4.095,J STEROID BIOCHEM,10,0,1,0,7,0,0,0,1,0,0,1,AGEING RESEARCH REVIEWS
78,3.563,MOL CELL ENDOCRINOL,10,0,0,1,2,2,2,0,0,2,0,1,AGEING RESEARCH REVIEWS
79,4.963,STEM CELL RES THER,10,0,1,0,0,0,1,3,2,0,0,3,AGEING RESEARCH REVIEWS
80,12.764,ALZHEIMERS DEMENT,9,0,2,3,1,1,1,0,0,0,0,1,AGEING RESEARCH REVIEWS
81,3.730,BMC GENOMICS,9,0,0,0,1,3,0,0,1,0,0,4,AGEING RESEARCH REVIEWS
82,2.766,CHEM PHYS LIPIDS,9,0,0,2,7,0,0,0,0,0,0,0,AGEING RESEARCH REVIEWS
83,2.378,CLIN GERIATR MED,9,0,0,2,0,3,0,2,2,0,0,0,AGEING RESEARCH REVIEWS
84,4.534,CURR OPIN CLIN NUTR,9,0,1,6,0,0,1,0,1,0,0,0,AGEING RESEARCH REVIEWS
85,4.151,FRONT GENET,9,1,1,0,1,2,0,1,1,0,0,2,AGEING RESEARCH REVIEWS
86,3.165,J PHOTOCH PHOTOBIO B,9,0,1,1,2,0,0,0,0,0,0,5,AGEING RESEARCH REVIEWS
87,6.426,MOL NEURODEGENER,9,1,4,0,1,1,1,0,0,0,0,1,AGEING RESEARCH REVIEWS
88,5.151,MOL NUTR FOOD RES,9,0,0,3,3,0,1,0,2,0,0,0,AGEING RESEARCH REVIEWS
89,3.161,NEURAL PLAST,9,0,1,1,1,1,0,0,0,0,3,2,AGEING RESEARCH REVIEWS
90,4.249,NEUROPHARMACOLOGY,9,0,0,1,2,2,0,1,0,0,0,3,AGEING RESEARCH REVIEWS
91,2.517,PHYSIOL BEHAV,9,0,1,1,0,3,0,0,0,0,1,3,AGEING RESEARCH REVIEWS
92,4.013,AGE AGEING,8,0,0,1,2,0,0,2,2,1,0,0,AGEING RESEARCH REVIEWS
93,3.480,AM J GERIAT PSYCHIAT,8,0,3,2,0,2,1,0,0,0,0,0,AGEING RESEARCH REVIEWS
94,3.198,BEST PRACT RES CL RH,8,1,1,0,0,0,1,3,0,1,0,1,AGEING RESEARCH REVIEWS
95,4.235,BIOCHEM PHARMACOL,8,1,2,2,0,1,0,0,0,0,1,1,AGEING RESEARCH REVIEWS
96,9.088,BMC MED,8,0,2,1,0,2,2,0,1,0,0,0,AGEING RESEARCH REVIEWS
97,5.638,CELL DEATH DIS,8,0,1,2,1,1,0,0,0,2,0,1,AGEING RESEARCH REVIEWS
98,8.032,CELL REP,8,0,3,0,1,2,1,0,1,0,0,0,AGEING RESEARCH REVIEWS
99,3.374,CURR TOP MED CHEM,8,0,0,0,3,2,0,1,0,0,0,2,AGEING RESEARCH REVIEWS
100,7.616,ELIFE,8,1,1,2,0,0,0,0,1,0,2,1,AGEING RESEARCH REVIEWS
