,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,14791,170,1076,1419,1353,1310,1169,957,829,764,658,5086,AGEING RESEARCH REVIEWS
2, ,ALL OTHERS (1063),1063,20,102,121,117,86,78,56,45,40,31,367,AGEING RESEARCH REVIEWS
3,9.504,P NATL ACAD SCI USA,370,2,12,14,17,17,30,24,24,21,26,183,AGEING RESEARCH REVIEWS
4,41.577,NATURE,330,3,10,17,18,20,30,33,19,21,11,148,AGEING RESEARCH REVIEWS
5,2.766,PLOS ONE,304,0,10,49,53,70,39,28,22,15,13,5,AGEING RESEARCH REVIEWS
6,41.058,SCIENCE,267,1,14,26,5,12,8,15,18,16,5,147,AGEING RESEARCH REVIEWS
7,4.011,J BIOL CHEM,260,1,4,7,11,7,23,13,7,9,13,165,AGEING RESEARCH REVIEWS
8,31.398,CELL,244,1,13,14,16,37,19,16,10,10,10,98,AGEING RESEARCH REVIEWS
9,7.627,AGING CELL,202,1,19,19,25,22,12,19,22,14,13,36,AGEING RESEARCH REVIEWS
10,4.902,J GERONTOL A-BIOL,175,4,10,16,18,7,8,11,8,10,9,74,AGEING RESEARCH REVIEWS
11,4.454,NEUROBIOL AGING,171,2,11,19,18,10,16,8,8,4,7,68,AGEING RESEARCH REVIEWS
12,3.748,MECH AGEING DEV,165,1,3,3,7,9,6,4,7,11,13,101,AGEING RESEARCH REVIEWS
13,3.224,EXP GERONTOL,154,2,8,14,18,24,9,6,8,8,4,53,AGEING RESEARCH REVIEWS
14,5.971,J NEUROSCI,151,0,3,12,3,7,13,15,12,7,12,67,AGEING RESEARCH REVIEWS
15,8.055,NEUROLOGY,145,0,7,4,8,9,18,4,4,9,5,77,AGEING RESEARCH REVIEWS
16,20.565,CELL METAB,142,3,26,15,26,11,19,9,10,5,5,13,AGEING RESEARCH REVIEWS
17,18.881,CIRCULATION,111,0,4,3,1,9,8,7,3,4,5,67,AGEING RESEARCH REVIEWS
18,13.251,J CLIN INVEST,104,0,5,12,8,10,4,7,1,5,2,50,AGEING RESEARCH REVIEWS
19,3.476,J ALZHEIMERS DIS,103,1,11,12,18,10,14,10,13,3,3,8,AGEING RESEARCH REVIEWS
20,8.973,AGEING RES REV,101,13,14,13,7,7,10,8,7,3,5,14,AGEING RESEARCH REVIEWS
21,4.155,J AM GERIATR SOC,85,0,3,3,8,5,9,6,5,0,9,37,AGEING RESEARCH REVIEWS
22,2.559,BIOCHEM BIOPH RES CO,84,2,3,8,6,7,3,3,7,3,0,42,AGEING RESEARCH REVIEWS
23,14.319,NEURON,81,1,4,7,4,6,3,6,7,5,7,31,AGEING RESEARCH REVIEWS
24,5.595,FASEB J,78,2,3,5,4,3,5,4,6,5,4,37,AGEING RESEARCH REVIEWS
25,5.179,AGING-US,71,1,8,6,6,12,9,11,9,9,0,0,AGEING RESEARCH REVIEWS
26,4.902,HUM MOL GENET,71,1,1,2,4,5,10,5,4,10,1,28,AGEING RESEARCH REVIEWS
27,4.539,J IMMUNOL,71,0,0,11,3,2,5,4,6,6,7,27,AGEING RESEARCH REVIEWS
28,32.621,NAT MED,71,2,3,10,3,9,7,4,1,1,2,29,AGEING RESEARCH REVIEWS
29,11.613,J PINEAL RES,70,0,9,4,5,8,1,3,5,5,10,20,AGEING RESEARCH REVIEWS
30,15.132,BLOOD,69,0,4,1,4,1,4,7,1,5,5,37,AGEING RESEARCH REVIEWS
31,3.125,BRAIN RES,66,0,4,2,0,8,1,6,2,3,3,37,AGEING RESEARCH REVIEWS
32,15.211,CIRC RES,66,0,3,6,3,3,4,5,5,4,7,26,AGEING RESEARCH REVIEWS
33,4.609,J NEUROCHEM,65,1,5,1,4,2,4,2,8,5,3,30,AGEING RESEARCH REVIEWS
34,7.273,DIABETES,64,2,3,11,6,3,6,0,7,4,4,18,AGEING RESEARCH REVIEWS
35,9.462,GENE DEV,63,0,0,4,4,2,2,5,2,7,5,32,AGEING RESEARCH REVIEWS
36,14.248,MOL CELL,63,0,1,7,5,4,8,3,7,4,2,22,AGEING RESEARCH REVIEWS
37,11.561,NUCLEIC ACIDS RES,62,0,2,11,5,7,7,2,3,3,4,18,AGEING RESEARCH REVIEWS
38,6.020,FREE RADICAL BIO MED,61,0,4,5,5,4,5,6,4,4,2,22,AGEING RESEARCH REVIEWS
39,12.353,NAT COMMUN,61,2,7,11,21,10,7,1,2,0,0,0,AGEING RESEARCH REVIEWS
40,4.277,ANN NY ACAD SCI,60,0,7,3,0,0,0,0,6,2,2,40,AGEING RESEARCH REVIEWS
41,2.900,AGE,58,0,4,3,12,17,7,2,3,1,2,7,AGEING RESEARCH REVIEWS
42,6.549,AM J CLIN NUTR,58,0,2,2,3,4,3,2,3,7,1,31,AGEING RESEARCH REVIEWS
43,19.064,NAT CELL BIOL,58,0,0,4,5,6,4,11,3,6,7,12,AGEING RESEARCH REVIEWS
44,5.426,NEUROIMAGE,56,0,1,2,11,5,8,4,7,2,3,13,AGEING RESEARCH REVIEWS
45,53.254,LANCET,55,0,3,5,1,4,2,1,3,1,1,34,AGEING RESEARCH REVIEWS
46,35.612,NAT REV MOL CELL BIO,55,0,3,3,8,4,5,3,10,2,5,12,AGEING RESEARCH REVIEWS
47,6.239,STROKE,55,0,3,0,4,6,3,4,5,4,2,24,AGEING RESEARCH REVIEWS
48,11.100,AUTOPHAGY,54,1,2,7,6,4,6,8,3,5,5,7,AGEING RESEARCH REVIEWS
49,32.635,NAT REV NEUROSCI,54,0,1,4,3,1,5,11,1,2,4,22,AGEING RESEARCH REVIEWS
50,8.032,CELL REP,53,1,16,11,11,8,6,0,0,0,0,0,AGEING RESEARCH REVIEWS
51,27.144,LANCET NEUROL,52,0,3,6,2,7,4,6,6,5,1,12,AGEING RESEARCH REVIEWS
52,27.125,NAT GENET,52,0,0,1,1,6,1,3,1,5,2,32,AGEING RESEARCH REVIEWS
53,10.250,ANN NEUROL,50,0,5,3,3,4,1,3,6,2,1,22,AGEING RESEARCH REVIEWS
54,4.398,J NUTR,50,0,0,5,3,3,1,2,4,1,2,29,AGEING RESEARCH REVIEWS
55,10.848,BRAIN,49,1,6,6,5,2,0,5,0,6,3,15,AGEING RESEARCH REVIEWS
56,10.557,EMBO J,49,0,2,2,0,4,2,8,2,3,0,26,AGEING RESEARCH REVIEWS
57,8.784,J CELL BIOL,49,1,0,8,3,3,3,1,0,2,8,20,AGEING RESEARCH REVIEWS
58,3.382,NEUROSCIENCE,49,0,4,3,12,4,0,3,2,3,4,14,AGEING RESEARCH REVIEWS
59,4.122,SCI REP-UK,49,7,15,22,3,2,0,0,0,0,0,0,AGEING RESEARCH REVIEWS
60,2.159,NEUROSCI LETT,48,0,0,3,3,5,0,1,5,3,1,27,AGEING RESEARCH REVIEWS
61,6.086,ARTERIOSCL THROM VAS,47,1,1,5,1,3,2,3,7,1,4,19,AGEING RESEARCH REVIEWS
62,79.260,NEW ENGL J MED,46,0,0,2,4,9,3,1,0,6,1,20,AGEING RESEARCH REVIEWS
63,6.530,ANTIOXID REDOX SIGN,45,0,0,2,7,12,2,8,1,2,3,8,AGEING RESEARCH REVIEWS
64,23.290,CELL STEM CELL,45,0,6,8,4,4,4,8,1,4,5,1,AGEING RESEARCH REVIEWS
65,5.789,J CLIN ENDOCR METAB,45,0,4,7,4,4,4,4,3,0,0,15,AGEING RESEARCH REVIEWS
66,12.764,ALZHEIMERS DEMENT,44,0,1,8,7,8,2,10,7,1,0,0,AGEING RESEARCH REVIEWS
67,9.130,CANCER RES,44,0,2,1,2,0,3,1,6,0,3,26,AGEING RESEARCH REVIEWS
68,6.854,ONCOGENE,44,0,0,1,4,2,0,5,5,1,3,23,AGEING RESEARCH REVIEWS
69,3.569,AM J PHYSIOL-HEART C,43,0,3,1,1,5,1,3,0,3,3,23,AGEING RESEARCH REVIEWS
70,19.912,NAT NEUROSCI,43,0,1,4,4,9,3,2,1,1,3,15,AGEING RESEARCH REVIEWS
71,15.876,ACTA NEUROPATHOL,42,0,4,5,4,2,1,2,3,1,2,18,AGEING RESEARCH REVIEWS
72,4.540,J PHYSIOL-LONDON,42,0,4,3,5,3,3,2,4,2,1,15,AGEING RESEARCH REVIEWS
73,3.702,BIOGERONTOLOGY,41,0,4,8,8,4,3,1,5,1,2,5,AGEING RESEARCH REVIEWS
74,6.823,HYPERTENSION,41,0,4,3,1,1,5,1,3,4,3,16,AGEING RESEARCH REVIEWS
75,3.256,J APPL PHYSIOL,41,0,3,0,2,0,1,2,1,3,5,24,AGEING RESEARCH REVIEWS
76, ,ARCH NEUROL-CHICAGO,40,0,1,0,0,0,3,3,4,6,1,22,AGEING RESEARCH REVIEWS
77, ,ONCOTARGET,40,3,15,18,2,1,0,1,0,0,0,0,AGEING RESEARCH REVIEWS
78,5.540,PLOS GENET,40,0,1,3,7,8,3,3,4,2,2,7,AGEING RESEARCH REVIEWS
79,3.813,MOL CELL BIOL,39,0,0,0,2,3,1,2,2,4,0,25,AGEING RESEARCH REVIEWS
80,47.661,JAMA-J AM MED ASSOC,38,0,2,2,4,2,2,1,2,1,1,21,AGEING RESEARCH REVIEWS
81,5.227,NEUROBIOL DIS,38,0,1,4,3,1,0,1,4,3,3,18,AGEING RESEARCH REVIEWS
82,5.108,BBA-MOL BASIS DIS,37,0,13,7,2,0,5,1,0,1,1,7,AGEING RESEARCH REVIEWS
83,6.290,CARDIOVASC RES,36,0,0,5,1,3,1,1,1,3,5,16,AGEING RESEARCH REVIEWS
84,4.461,DNA REPAIR,36,0,1,3,8,9,1,3,2,1,2,6,AGEING RESEARCH REVIEWS
85,3.582,FRONT AGING NEUROSCI,36,1,1,7,15,6,3,0,3,0,0,0,AGEING RESEARCH REVIEWS
86,10.790,J EXP MED,36,0,3,2,1,2,4,3,1,0,2,18,AGEING RESEARCH REVIEWS
87,3.857,BIOCHEM J,35,0,3,0,2,2,5,2,0,2,2,17,AGEING RESEARCH REVIEWS
88,6.023,DIABETOLOGIA,35,0,1,6,2,1,5,4,0,0,1,15,AGEING RESEARCH REVIEWS
89,4.018,AM J PHYSIOL-ENDOC M,34,0,2,4,2,0,2,1,2,2,1,18,AGEING RESEARCH REVIEWS
90,4.483,EXP NEUROL,34,0,7,4,1,2,2,0,0,3,4,11,AGEING RESEARCH REVIEWS
91,3.687,INT J MOL SCI,34,2,6,12,5,7,1,0,0,1,0,0,AGEING RESEARCH REVIEWS
92,3.304,CELL CYCLE,33,0,1,5,2,2,4,5,4,4,1,5,AGEING RESEARCH REVIEWS
93,3.309,EXP CELL RES,33,0,3,0,4,0,2,2,3,0,1,18,AGEING RESEARCH REVIEWS
94,6.045,J CEREBR BLOOD F MET,33,0,3,0,1,5,3,1,2,0,5,13,AGEING RESEARCH REVIEWS
