Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"5,297",8.973,8.787,8.974,2.850,100,4.6,6.9,0.012,2.569,16.00,1.40900,92.66400,AGEING RESEARCH REVIEWS
2016,"4,198",7.452,7.259,8.084,2.069,72,4.5,6.9,0.01132,2.444,4.17,1.30019,91.99000,AGEING RESEARCH REVIEWS
2015,"3,482",7.526,7.389,7.328,1.243,74,4.4,7.2,0.00992,2.171,2.70,1.13027,92.13700,AGEING RESEARCH REVIEWS
2014,"2,986",6.634,6.492,7.194,1.574,61,4.1,6.3,0.00879,2.027,1.64,0.98415,90.94000,AGEING RESEARCH REVIEWS
2013,"2,399",7.628,7.382,7.517,0.667,93,4.3,7.2,0.00726,2.125,0.00,0.79994,91.24700,AGEING RESEARCH REVIEWS
2012,"1,965",5.953,5.813,6.549,1.439,41,4.0,7.4,0.00623,1.938,0.00,Not Available,88.53900,AGEING RESEARCH REVIEWS
2011,"1,713",6.174,6.058,6.383,1.679,53,4.5,7.1,0.00572,2.025,1.89,Not Available,87.13900,AGEING RESEARCH REVIEWS
2010,"1,542",9.000,8.684,7.868,0.907,54,4.5,6.5,0.00565,2.257,0.00,Not Available,92.56200,AGEING RESEARCH REVIEWS
2009,"1,170",5.622,5.511,6.328,1.500,32,4.5,5.9,0.00502,1.930,0.00,Not Available,83.43400,AGEING RESEARCH REVIEWS
2008,"1,064",6.209,5.930,6.288,2.040,25,4.2,6.0,0.00549,1.982,0.00,Not Available,89.15900,AGEING RESEARCH REVIEWS
2007,923,6.365,6.269,6.340,0.500,20,3.6,6.0,0.00722,2.155,0.00,Not Available,90.05900,AGEING RESEARCH REVIEWS
2006,688,4.526,4.456,Not Available,0.957,23,3.4,5.8,Not Available,Not Available,0.00,Not Available,80.22400,AGEING RESEARCH REVIEWS
2005,461,4.151,4.018,Not Available,0.448,29,3.0,5.7,Not Available,Not Available,3.45,Not Available,81.47400,AGEING RESEARCH REVIEWS
2004,337,4.953,4.875,Not Available,0.643,28,2.3,5.4,Not Available,Not Available,0.00,Not Available,86.60700,AGEING RESEARCH REVIEWS
2003,161,3.795,3.743,Not Available,0.520,25,1.5,5.2,Not Available,Not Available,16.00,Not Available,81.10800,AGEING RESEARCH REVIEWS
2002,13,Not Available,Not Available,Not Available,0.256,39,Not Available,6.1,Not Available,Not Available,20.51,Not Available,1.74300,AGEING RESEARCH REVIEWS
