,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,8067,208,783,933,832,782,799,557,647,458,523,1545,AGING CELL
2,,ALL OTHERS (661),661,7,45,82,59,79,63,45,55,42,42,142,AGING CELL
3,4.122,SCI REP-UK,269,4,33,29,28,27,30,19,20,10,23,46,AGING CELL
4,7.627,AGING CELL,259,10,31,31,35,20,19,22,17,19,16,39,AGING CELL
5,8.973,AGEING RES REV,202,1,19,19,25,22,12,19,22,14,13,36,AGING CELL
6,2.766,PLOS ONE,171,3,13,19,20,15,16,14,18,5,14,34,AGING CELL
7,5.179,AGING-US,151,21,21,21,16,9,14,6,15,4,5,19,AGING CELL
8,4.902,J GERONTOL A-BIOL,151,0,17,15,18,15,17,11,15,11,10,22,AGING CELL
9,,ONCOTARGET,140,4,14,15,21,18,12,6,18,5,6,21,AGING CELL
10,3.687,INT J MOL SCI,139,8,16,11,17,10,13,14,5,4,15,26,AGING CELL
11,3.748,MECH AGEING DEV,133,1,11,23,11,16,12,11,11,7,4,26,AGING CELL
12,12.353,NAT COMMUN,118,4,20,11,8,9,10,10,9,10,5,22,AGING CELL
13,3.702,BIOGERONTOLOGY,111,2,15,12,12,7,11,5,6,6,7,28,AGING CELL
14,4.936,OXID MED CELL LONGEV,96,5,12,8,9,12,8,5,6,9,10,12,AGING CELL
15,3.224,EXP GERONTOL,92,0,7,6,10,9,13,8,8,5,7,19,AGING CELL
16,,RSC DRUG DISCOV,71,0,3,8,13,8,7,1,6,2,6,17,AGING CELL
17,,GEROSCIENCE,70,3,10,14,13,7,10,2,4,2,0,5,AGING CELL
18,3.563,MOL CELL ENDOCRINOL,70,0,11,6,9,3,5,3,11,7,6,9,AGING CELL
19,8.032,CELL REP,64,1,3,3,7,7,6,5,4,5,7,16,AGING CELL
20,5.511,FRONT IMMUNOL,61,4,6,14,2,9,8,0,8,5,1,4,AGING CELL
21,6.138,SEMIN CELL DEV BIOL,55,3,3,6,6,5,8,3,1,1,3,16,AGING CELL
22,6.020,FREE RADICAL BIO MED,48,2,3,10,2,3,11,4,6,2,2,3,AGING CELL
23,5.540,PLOS GENET,46,0,3,0,3,6,4,3,4,9,5,9,AGING CELL
24,3.476,J ALZHEIMERS DIS,45,0,8,9,4,5,8,1,1,1,2,6,AGING CELL
25,4.540,J PHYSIOL-LONDON,43,0,2,5,4,1,7,3,3,1,3,14,AGING CELL
26,2.559,BIOCHEM BIOPH RES CO,42,3,5,1,4,2,5,4,3,1,2,12,AGING CELL
27,20.565,CELL METAB,42,2,2,6,7,1,6,4,2,5,3,4,AGING CELL
28,4.075,GENETICS,41,3,1,3,4,6,2,1,3,3,10,5,AGING CELL
29,6.183,EBIOMEDICINE,38,3,5,5,4,4,7,2,1,2,1,4,AGING CELL
30,3.542,CLIN EXP IMMUNOL,37,0,2,11,4,3,3,2,3,3,1,5,AGING CELL
31,3.582,FRONT AGING NEUROSCI,37,1,4,3,6,1,5,4,1,1,0,11,AGING CELL
32,7.126,REDOX BIOL,35,0,4,6,2,4,2,1,2,5,2,7,AGING CELL
