,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,7232,123,499,650,646,620,515,481,430,431,354,2483,AGING CELL
2, ,ALL OTHERS (567),567,9,38,75,49,47,43,28,31,37,21,189,AGING CELL
3,41.577,NATURE,289,8,19,12,16,16,13,24,16,19,3,143,AGING CELL
4,9.504,P NATL ACAD SCI USA,264,1,5,17,20,16,14,8,19,15,13,136,AGING CELL
5,7.627,AGING CELL,259,10,31,31,35,20,19,22,17,19,16,39,AGING CELL
6,31.398,CELL,237,1,15,13,21,40,11,15,13,8,26,74,AGING CELL
7,41.058,SCIENCE,187,1,7,15,5,4,9,11,9,9,10,107,AGING CELL
8,4.011,J BIOL CHEM,186,0,4,6,8,5,8,9,9,8,11,118,AGING CELL
9,2.766,PLOS ONE,163,0,6,24,14,18,32,30,20,7,7,5,AGING CELL
10,4.902,J GERONTOL A-BIOL,102,3,8,11,12,7,9,10,5,7,4,26,AGING CELL
11,20.565,CELL METAB,96,2,14,6,7,10,20,6,9,3,3,16,AGING CELL
12,5.971,J NEUROSCI,93,0,5,6,6,7,12,8,6,2,4,37,AGING CELL
13,13.251,J CLIN INVEST,84,0,1,9,4,13,4,3,4,6,2,38,AGING CELL
14,9.462,GENE DEV,79,0,3,3,4,8,2,4,7,3,3,42,AGING CELL
15,3.748,MECH AGEING DEV,76,1,4,5,0,5,4,3,5,6,4,39,AGING CELL
16,5.179,AGING-US,68,2,16,5,3,12,4,8,11,7,0,0,AGING CELL
17,14.248,MOL CELL,68,1,4,3,4,5,5,10,10,1,5,20,AGING CELL
18,11.561,NUCLEIC ACIDS RES,67,2,7,8,12,12,7,0,2,4,1,12,AGING CELL
19,5.540,PLOS GENET,67,0,5,9,8,6,5,1,4,10,4,15,AGING CELL
20,19.064,NAT CELL BIOL,64,0,2,9,0,13,2,7,2,7,9,13,AGING CELL
21,3.224,EXP GERONTOL,63,0,5,5,2,7,1,3,6,5,3,26,AGING CELL
22,32.621,NAT MED,62,0,7,12,11,2,3,2,0,2,4,19,AGING CELL
23,12.353,NAT COMMUN,59,3,6,12,19,13,5,1,0,0,0,0,AGING CELL
24,5.595,FASEB J,58,1,2,5,6,2,3,3,2,5,8,21,AGING CELL
25,10.557,EMBO J,57,0,6,3,5,2,8,3,1,1,1,27,AGING CELL
26,3.813,MOL CELL BIOL,52,0,1,0,4,0,2,0,3,3,2,37,AGING CELL
27,35.612,NAT REV MOL CELL BIO,51,0,2,0,13,2,7,1,5,0,1,20,AGING CELL
28,4.454,NEUROBIOL AGING,49,2,0,6,9,3,3,4,1,4,1,16,AGING CELL
29,8.032,CELL REP,48,4,11,9,12,10,2,0,0,0,0,0,AGING CELL
30,3.961,ENDOCRINOLOGY,46,0,2,3,3,4,0,2,2,0,3,27,AGING CELL
31,9.251,CURR BIOL,45,1,1,1,1,2,4,3,5,4,2,21,AGING CELL
32,6.854,ONCOGENE,45,0,2,1,2,4,3,4,3,2,3,21,AGING CELL
33,8.784,J CELL BIOL,44,2,3,1,2,4,1,3,1,4,0,23,AGING CELL
34,15.211,CIRC RES,42,0,6,5,3,1,6,4,1,0,3,13,AGING CELL
35,8.973,AGEING RES REV,41,5,2,5,7,4,2,4,1,3,0,8,AGING CELL
36,27.125,NAT GENET,41,0,1,0,0,2,1,0,1,7,2,27,AGING CELL
37,3.304,CELL CYCLE,40,0,1,2,5,3,3,6,4,3,4,9,AGING CELL
38,6.020,FREE RADICAL BIO MED,40,0,4,3,3,5,5,5,0,3,1,11,AGING CELL
39,4.539,J IMMUNOL,38,0,3,2,0,3,3,5,4,3,2,13,AGING CELL
40,14.319,NEURON,38,0,1,3,3,3,1,3,1,5,2,16,AGING CELL
41,9.130,CANCER RES,36,0,0,0,2,1,5,1,1,2,2,22,AGING CELL
42,18.881,CIRCULATION,35,0,2,2,0,2,2,2,2,6,1,16,AGING CELL
43, ,ONCOTARGET,35,0,9,16,5,4,0,1,0,0,0,0,AGING CELL
44,2.559,BIOCHEM BIOPH RES CO,34,1,2,0,4,1,5,1,1,2,2,15,AGING CELL
45,4.902,HUM MOL GENET,34,0,2,1,6,1,1,7,2,3,1,10,AGING CELL
46,6.314,J BONE MINER RES,32,2,2,1,2,6,1,3,0,2,2,11,AGING CELL
47,2.900,AGE,30,0,5,2,4,8,3,2,1,0,1,4,AGING CELL
48,6.530,ANTIOXID REDOX SIGN,30,1,3,1,7,5,2,3,4,1,0,3,AGING CELL
49,3.857,BIOCHEM J,30,0,0,0,2,0,1,5,0,2,5,15,AGING CELL
50,4.401,J CELL SCI,30,1,0,0,0,4,5,3,3,2,0,12,AGING CELL
51,11.100,AUTOPHAGY,29,2,3,3,3,1,4,1,3,3,3,3,AGING CELL
52,23.290,CELL STEM CELL,26,0,1,3,5,3,4,3,1,0,3,3,AGING CELL
53,32.635,NAT REV NEUROSCI,26,0,0,2,1,3,3,2,0,2,2,11,AGING CELL
54,79.260,NEW ENGL J MED,26,0,0,1,3,4,0,1,0,2,2,13,AGING CELL
55,4.122,SCI REP-UK,26,3,9,9,2,2,0,1,0,0,0,0,AGING CELL
56,3.125,BRAIN RES,25,1,5,0,1,0,1,0,1,1,0,15,AGING CELL
57,12.423,NAT PROTOC,25,0,2,0,2,2,4,1,2,7,2,3,AGING CELL
58,5.413,DEVELOPMENT,24,0,1,1,0,1,2,2,1,2,2,12,AGING CELL
59,13.214,GENOME BIOL,24,4,1,5,2,5,1,0,1,0,1,4,AGING CELL
60,5.789,J CLIN ENDOCR METAB,24,0,0,1,2,0,1,2,2,0,2,14,AGING CELL
61,7.273,DIABETES,23,0,3,1,0,2,2,2,2,1,1,9,AGING CELL
62,9.163,PLOS BIOL,23,0,1,2,0,0,0,2,5,0,4,9,AGING CELL
63,4.609,J NEUROCHEM,22,0,2,1,0,0,3,2,0,1,2,11,AGING CELL
64,18.564,TRENDS CELL BIOL,22,0,2,3,5,0,2,6,0,1,1,2,AGING CELL
65,4.277,ANN NY ACAD SCI,21,1,0,2,0,0,0,2,2,1,0,13,AGING CELL
66,5.638,CELL DEATH DIS,21,0,1,2,7,5,2,1,3,0,0,0,AGING CELL
67,4.075,GENETICS,21,0,0,0,1,0,0,1,0,1,1,17,AGING CELL
68, ,ARTHRITIS RHEUM-US,20,0,0,0,0,2,1,1,1,3,0,12,AGING CELL
69,3.702,BIOGERONTOLOGY,20,2,3,4,0,2,1,0,3,0,2,3,AGING CELL
70,9.616,DEV CELL,20,0,1,0,4,0,0,0,2,0,3,10,AGING CELL
71,5.296,J MOL CELL CARDIOL,20,1,1,8,4,0,0,1,0,2,0,3,AGING CELL
72,4.018,AM J PHYSIOL-ENDOC M,19,0,0,0,1,3,0,0,4,2,0,9,AGING CELL
73,22.844,CANCER CELL,19,0,0,3,1,1,2,3,2,1,3,3,AGING CELL
74,4.155,J AM GERIATR SOC,19,0,2,0,1,0,2,0,2,3,1,8,AGING CELL
75,3.382,NEUROSCIENCE,19,0,0,2,1,2,1,0,1,3,1,8,AGING CELL
76,3.309,EXP CELL RES,18,0,0,1,0,0,0,0,0,0,2,15,AGING CELL
77,3.512,MOL BIOL CELL,18,0,2,0,0,1,2,0,1,0,2,10,AGING CELL
78,6.823,HYPERTENSION,17,1,1,2,0,0,1,0,3,0,1,8,AGING CELL
79,6.721,CELL MOL LIFE SCI,16,0,0,4,2,3,1,0,1,0,1,4,AGING CELL
80,7.616,ELIFE,16,2,6,2,5,1,0,0,0,0,0,0,AGING CELL
