Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"8,067",7.627,7.351,6.916,1.564,133,5.6,7.2,0.019,2.299,89.47,2.20800,89.87800,AGING CELL
2016,"7,200",6.714,6.437,6.456,1.700,110,5.4,7.4,0.02034,2.405,91.82,2.33636,89.39000,AGING CELL
2015,"6,101",5.760,5.516,6.074,1.365,115,5.1,7.0,0.02082,2.437,88.70,2.37293,87.95700,AGING CELL
2014,"5,793",6.340,6.128,6.593,1.405,116,4.7,6.8,0.01912,2.320,95.69,2.14109,88.85300,AGING CELL
2013,"5,361",5.939,5.727,6.845,1.373,126,4.7,6.3,0.02044,2.566,95.24,2.25236,87.79400,AGING CELL
2012,"4,134",5.705,5.409,6.415,1.485,130,4.5,6.3,0.01748,2.333,96.92,Not Available,86.66500,AGING CELL
2011,"3,673",6.265,5.932,7.119,1.059,101,4.1,6.4,0.01856,2.622,97.03,Not Available,89.63800,AGING CELL
2010,"3,371",7.148,6.767,7.978,1.446,92,3.6,6.1,0.01991,3.158,92.39,Not Available,89.76600,AGING CELL
2009,"2,564",7.554,7.042,7.207,0.871,70,3.0,5.6,0.01822,2.918,97.14,Not Available,92.43100,AGING CELL
2008,"2,083",7.791,7.165,7.585,1.059,85,2.7,5.9,0.01672,3.042,92.94,Not Available,93.09500,AGING CELL
2007,"1,343",5.854,5.292,6.696,1.370,81,3.1,5.8,0.01217,2.845,86.42,Not Available,87.80500,AGING CELL
2006,897,6.276,5.907,Not Available,1.017,58,2.7,5.1,Not Available,Not Available,96.55,Not Available,87.40400,AGING CELL
2005,667,6.013,5.743,Not Available,1.000,31,2.3,6.0,Not Available,Not Available,93.55,Not Available,82.02600,AGING CELL
2004,349,5.960,5.240,Not Available,1.133,45,1.7,4.6,Not Available,Not Available,60.00,Not Available,82.90300,AGING CELL
2003,66,2.118,1.823,Not Available,1.071,28,Not Available,5.3,Not Available,Not Available,78.57,Not Available,43.26900,AGING CELL
