,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,37259,304,1633,1975,1823,1963,1957,2832,1964,1653,1494,19661,ANNALS OF NEUROLOGY
2,,ALL OTHERS (1213),1213,7,33,47,53,59,67,83,50,53,56,705,ANNALS OF NEUROLOGY
3,4.122,SCI REP-UK,775,8,36,49,33,46,48,55,36,28,34,402,ANNALS OF NEUROLOGY
4,2.766,PLOS ONE,683,6,23,28,33,37,50,66,41,31,33,335,ANNALS OF NEUROLOGY
5,8.055,NEUROLOGY,520,8,41,44,41,29,26,66,31,25,24,185,ANNALS OF NEUROLOGY
6,3.476,J ALZHEIMERS DIS,498,1,19,23,28,27,20,34,35,28,16,267,ANNALS OF NEUROLOGY
7,3.508,FRONT NEUROL,397,2,23,26,26,19,21,27,19,11,16,207,ANNALS OF NEUROLOGY
8,10.848,BRAIN,387,7,47,32,29,21,20,26,22,12,17,154,ANNALS OF NEUROLOGY
9,10.250,ANN NEUROL,367,40,57,30,19,25,21,24,18,13,10,110,ANNALS OF NEUROLOGY
10,5.280,MULT SCLER J,334,3,14,21,12,15,9,79,23,17,9,132,ANNALS OF NEUROLOGY
11,8.324,MOVEMENT DISORD,332,7,26,26,10,21,27,18,9,13,7,168,ANNALS OF NEUROLOGY
12,2.448,J NEUROL SCI,329,2,15,9,13,17,11,37,18,10,11,186,ANNALS OF NEUROLOGY
13,5.076,MOL NEUROBIOL,283,0,3,14,13,12,15,28,12,7,20,159,ANNALS OF NEUROLOGY
14,3.783,J NEUROL,262,1,18,22,18,7,4,25,14,10,10,133,ANNALS OF NEUROLOGY
15,5.067,EPILEPSIA,252,2,17,26,20,12,24,8,10,5,6,122,ANNALS OF NEUROLOGY
16,3.687,INT J MOL SCI,251,1,10,4,15,9,7,18,13,11,8,155,ANNALS OF NEUROLOGY
17,6.045,J CEREBR BLOOD F MET,240,0,4,14,18,22,8,16,20,7,16,115,ANNALS OF NEUROLOGY
18,3.869,NEUROIMAGE-CLIN,233,3,10,21,11,14,11,17,11,7,22,106,ANNALS OF NEUROLOGY
19,4.454,NEUROBIOL AGING,231,2,18,20,10,21,19,10,13,13,10,95,ANNALS OF NEUROLOGY
20,15.876,ACTA NEUROPATHOL,226,1,14,14,7,22,14,15,10,15,8,106,ANNALS OF NEUROLOGY
21,5.511,FRONT IMMUNOL,220,2,10,9,15,12,15,20,13,22,6,96,ANNALS OF NEUROLOGY
22,5.971,J NEUROSCI,217,2,16,12,20,7,19,17,11,2,4,107,ANNALS OF NEUROLOGY
23,3.582,FRONT AGING NEUROSCI,213,2,5,12,7,13,14,19,9,16,2,114,ANNALS OF NEUROLOGY
24,6.239,STROKE,213,2,17,27,9,23,12,21,9,7,10,76,ANNALS OF NEUROLOGY
25,2.655,J NEUROIMMUNOL,205,0,6,4,5,11,5,26,12,16,12,108,ANNALS OF NEUROLOGY
26,3.877,FRONT NEUROSCI-SWITZ,204,2,8,14,11,13,12,9,6,9,8,112,ANNALS OF NEUROLOGY
27,11.460,JAMA NEUROL,200,4,22,15,17,18,14,25,15,9,6,55,ANNALS OF NEUROLOGY
28,2.757,CURR PHARM DESIGN,198,3,8,9,13,10,15,1,9,11,9,110,ANNALS OF NEUROLOGY
29,14.163,PROG NEUROBIOL,197,0,2,6,10,19,11,11,11,8,5,114,ANNALS OF NEUROLOGY
30,2.371,INT REV NEUROBIOL,195,4,12,10,1,4,13,16,8,7,15,105,ANNALS OF NEUROLOGY
31,5.227,NEUROBIOL DIS,188,0,2,6,7,7,7,12,6,12,4,125,ANNALS OF NEUROLOGY
32,3.614,CLIN NEUROPHYSIOL,187,0,10,6,4,8,16,7,19,4,2,111,ANNALS OF NEUROLOGY
33,4.010,CURR OPIN NEUROL,183,8,26,19,14,9,15,15,10,15,2,50,ANNALS OF NEUROLOGY
34,7.144,J NEUROL NEUROSUR PS,177,1,19,11,9,12,10,16,11,11,2,75,ANNALS OF NEUROLOGY
35,19.819,NAT REV NEUROL,176,3,22,13,13,7,6,14,8,7,6,77,ANNALS OF NEUROLOGY
36,5.426,NEUROIMAGE,171,0,5,13,10,6,4,10,8,3,9,103,ANNALS OF NEUROLOGY
37,5.719,NEUROTHERAPEUTICS,171,0,13,10,11,11,8,15,13,8,8,74,ANNALS OF NEUROLOGY
38,5.193,J NEUROINFLAMM,170,1,1,10,14,6,13,16,10,8,5,86,ANNALS OF NEUROLOGY
39,4.483,EXP NEUROL,169,3,5,10,13,9,6,11,10,4,4,94,ANNALS OF NEUROLOGY
40,4.927,HUM BRAIN MAPP,166,0,3,4,6,5,5,8,2,4,10,119,ANNALS OF NEUROLOGY
41,12.764,ALZHEIMERS DEMENT,165,0,7,20,12,12,10,13,15,12,9,55,ANNALS OF NEUROLOGY
42,3.199,MULT SCLER RELAT DIS,165,0,12,4,10,6,3,50,11,5,3,61,ANNALS OF NEUROLOGY
43,2.839,SEIZURE-EUR J EPILEP,165,2,10,7,14,5,6,11,4,7,4,95,ANNALS OF NEUROLOGY
44,,ONCOTARGET,161,1,6,3,4,10,8,21,6,5,8,89,ANNALS OF NEUROLOGY
45,3.902,FRONT MOL NEUROSCI,157,0,7,10,12,5,12,9,7,4,7,84,ANNALS OF NEUROLOGY
46,3.478,CURR NEUROL NEUROSCI,154,6,12,12,9,10,7,7,6,6,4,75,ANNALS OF NEUROLOGY
47,4.300,FRONT CELL NEUROSCI,153,1,4,6,9,10,12,16,5,7,5,78,ANNALS OF NEUROLOGY
48,3.653,AM J NEURORADIOL,151,0,2,2,5,10,5,18,5,7,11,86,ANNALS OF NEUROLOGY
49,2.600,EPILEPSY BEHAV,145,1,2,9,6,3,10,8,8,1,2,95,ANNALS OF NEUROLOGY
50,2.159,NEUROSCI LETT,143,0,3,7,9,9,4,10,4,14,4,79,ANNALS OF NEUROLOGY
51,3.696,EXPERT REV NEUROTHER,142,2,11,8,10,5,6,8,5,10,5,72,ANNALS OF NEUROLOGY
52,4.902,HUM MOL GENET,142,2,11,19,4,15,10,10,6,2,7,56,ANNALS OF NEUROLOGY
53,27.144,LANCET NEUROL,138,4,23,20,15,7,14,11,7,5,6,26,ANNALS OF NEUROLOGY
54,3.382,NEUROSCIENCE,137,1,3,6,4,11,7,10,8,4,6,77,ANNALS OF NEUROLOGY
55,1.870,SEMIN NEUROL,133,2,12,12,3,5,10,13,14,6,5,51,ANNALS OF NEUROLOGY
56,4.621,EUR J NEUROL,130,1,11,12,6,8,6,16,6,2,3,59,ANNALS OF NEUROLOGY
57,2.871,FRONT HUM NEUROSCI,127,1,10,12,1,7,1,1,3,7,9,75,ANNALS OF NEUROLOGY
58,4.649,ANN CLIN TRANSL NEUR,121,3,10,13,9,9,8,8,4,12,7,38,ANNALS OF NEUROLOGY
59,3.126,ACTA NEUROL SCAND,118,1,3,5,8,4,4,12,13,4,3,61,ANNALS OF NEUROLOGY
60,4.721,PARKINSONISM RELAT D,117,0,4,9,5,6,6,7,4,3,5,68,ANNALS OF NEUROLOGY
61,9.504,P NATL ACAD SCI USA,114,1,5,6,7,8,9,11,12,7,1,47,ANNALS OF NEUROLOGY
62,2.496,MUSCLE NERVE,113,1,5,2,4,6,7,10,1,3,2,72,ANNALS OF NEUROLOGY
63,2.491,EPILEPSY RES,111,0,5,10,6,5,3,6,6,5,5,60,ANNALS OF NEUROLOGY
64,2.487,NEUROMUSCULAR DISORD,110,0,9,5,6,9,9,6,4,5,3,54,ANNALS OF NEUROLOGY
65,8.037,NEUROSCI BIOBEHAV R,110,0,3,2,4,5,6,2,7,4,4,73,ANNALS OF NEUROLOGY
66,2.285,NEUROL SCI,107,0,7,4,5,3,6,17,1,3,4,57,ANNALS OF NEUROLOGY
67,6.306,BRAIN BEHAV IMMUN,105,0,2,1,7,1,17,16,3,7,2,49,ANNALS OF NEUROLOGY
68,4.609,J NEUROCHEM,105,0,4,8,5,4,5,10,2,3,5,59,ANNALS OF NEUROLOGY
69,,HAND CLINIC,104,0,8,2,6,5,5,1,11,5,4,57,ANNALS OF NEUROLOGY
70,5.002,J NEUROTRAUM,104,0,5,8,11,12,5,6,6,3,2,46,ANNALS OF NEUROLOGY
71,12.353,NAT COMMUN,101,1,3,10,3,8,10,9,8,4,7,38,ANNALS OF NEUROLOGY
72,1.598,J STROKE CEREBROVASC,100,1,2,5,2,11,5,13,6,6,4,45,ANNALS OF NEUROLOGY
73,6.187,BRAIN PATHOL,99,0,6,12,3,5,5,5,3,3,6,51,ANNALS OF NEUROLOGY
74,2.662,J NEUROSCI RES,99,1,3,4,8,7,3,6,5,5,5,52,ANNALS OF NEUROLOGY
75,4.249,NEUROPHARMACOLOGY,98,2,1,5,9,7,8,5,2,2,1,56,ANNALS OF NEUROLOGY
76,2.398,PEDIATR NEUROL,98,1,5,1,4,4,6,8,11,7,4,47,ANNALS OF NEUROLOGY
