,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,7346,223,736,677,622,589,551,443,391,337,277,2500,ANNALS OF NEUROLOGY
2, ,ALL OTHERS (778),778,13,71,89,72,51,68,38,29,27,33,287,ANNALS OF NEUROLOGY
3,8.055,NEUROLOGY,448,10,53,32,28,33,28,21,22,22,15,184,ANNALS OF NEUROLOGY
4,10.250,ANN NEUROL,367,40,57,30,19,25,21,24,18,13,10,110,ANNALS OF NEUROLOGY
5,10.848,BRAIN,313,3,34,34,18,20,15,24,17,14,15,119,ANNALS OF NEUROLOGY
6,5.971,J NEUROSCI,157,0,7,7,9,16,10,12,9,6,5,76,ANNALS OF NEUROLOGY
7,5.067,EPILEPSIA,141,4,11,10,9,17,13,12,8,13,6,38,ANNALS OF NEUROLOGY
8,8.324,MOVEMENT DISORD,123,9,15,12,6,13,14,4,5,3,10,32,ANNALS OF NEUROLOGY
9,5.426,NEUROIMAGE,116,7,4,7,10,7,19,12,8,8,8,26,ANNALS OF NEUROLOGY
10,27.144,LANCET NEUROL,112,1,11,14,12,9,10,10,14,12,2,17,ANNALS OF NEUROLOGY
11,2.766,PLOS ONE,106,2,12,11,14,19,18,14,11,3,0,2,ANNALS OF NEUROLOGY
12,7.144,J NEUROL NEUROSUR PS,99,2,11,7,9,8,7,7,2,3,5,38,ANNALS OF NEUROLOGY
13,79.260,NEW ENGL J MED,94,1,14,11,1,7,7,2,3,2,1,45,ANNALS OF NEUROLOGY
14,41.577,NATURE,92,1,9,4,9,10,13,7,4,1,1,33,ANNALS OF NEUROLOGY
15,9.504,P NATL ACAD SCI USA,88,0,6,6,4,10,4,6,4,8,3,37,ANNALS OF NEUROLOGY
16,6.239,STROKE,77,1,6,12,6,7,6,5,6,4,0,24,ANNALS OF NEUROLOGY
17,14.319,NEURON,76,1,8,7,8,9,4,5,1,4,3,26,ANNALS OF NEUROLOGY
18, ,ARCH NEUROL-CHICAGO,71,0,0,0,0,0,6,6,3,8,6,42,ANNALS OF NEUROLOGY
19,15.876,ACTA NEUROPATHOL,68,3,6,4,9,7,6,4,4,1,3,21,ANNALS OF NEUROLOGY
20,41.058,SCIENCE,67,1,7,5,5,6,1,2,2,2,2,34,ANNALS OF NEUROLOGY
21,2.502,J NEUROPHYSIOL,55,1,2,0,3,4,0,6,5,0,2,32,ANNALS OF NEUROLOGY
22,2.496,MUSCLE NERVE,55,4,3,8,5,3,4,0,7,4,3,14,ANNALS OF NEUROLOGY
23,4.902,HUM MOL GENET,54,1,1,3,4,4,4,3,5,3,6,20,ANNALS OF NEUROLOGY
24,3.783,J NEUROL,51,0,2,7,6,4,3,5,3,4,6,11,ANNALS OF NEUROLOGY
