Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"37,259",10.250,10.002,10.748,1.788,170,11.0,6.6,0.053,4.451,95.29,6.23100,95.31900,ANNALS OF NEUROLOGY
2016,"34,215",9.890,9.651,11.089,2.086,175,>10.0,6.5,0.05715,4.480,93.71,6.56677,95.97600,ANNALS OF NEUROLOGY
2015,"32,995",9.638,9.428,10.880,2.277,177,>10.0,6.9,0.05944,4.357,99.44,6.77473,96.13400,ANNALS OF NEUROLOGY
2014,"32,934",9.977,9.703,10.792,1.970,167,9.9,6.5,0.06054,4.176,96.41,6.77997,96.54600,ANNALS OF NEUROLOGY
2013,"33,670",11.910,11.619,11.353,1.893,178,9.5,5.4,0.06302,4.184,98.88,6.94660,97.41100,ANNALS OF NEUROLOGY
2012,"32,256",11.193,10.929,11.047,1.994,173,9.2,6.4,0.06681,4.423,97.11,Not Available,97.40700,ANNALS OF NEUROLOGY
2011,"31,352",11.089,10.675,10.644,2.615,192,9.0,6.0,0.06736,4.188,100.00,Not Available,97.40200,ANNALS OF NEUROLOGY
2010,"30,338",10.746,10.351,10.132,1.708,192,9.1,6.3,0.07254,3.995,100.00,Not Available,97.81600,ANNALS OF NEUROLOGY
2009,"29,669",9.317,8.933,9.602,1.747,178,8.9,5.8,0.07425,3.585,97.19,Not Available,96.97900,ANNALS OF NEUROLOGY
2008,"28,710",9.935,9.428,9.081,2.166,169,8.5,6.0,0.07996,3.337,91.12,Not Available,97.59600,ANNALS OF NEUROLOGY
2007,"26,880",8.813,8.630,8.277,1.679,134,8.0,5.7,0.08541,3.116,97.01,Not Available,96.99800,ANNALS OF NEUROLOGY
2006,"26,611",8.051,7.764,Not Available,2.716,204,7.9,5.5,Not Available,Not Available,97.06,Not Available,96.36500,ANNALS OF NEUROLOGY
2005,"24,933",7.571,7.272,Not Available,1.243,251,7.8,5.6,Not Available,Not Available,99.60,Not Available,96.61800,ANNALS OF NEUROLOGY
2004,"25,960",8.097,7.833,Not Available,1.827,237,7.5,5.7,Not Available,Not Available,100.00,Not Available,96.96100,ANNALS OF NEUROLOGY
2003,"24,887",7.717,7.294,Not Available,1.467,255,7.6,5.5,Not Available,Not Available,96.47,Not Available,96.54000,ANNALS OF NEUROLOGY
2002,"25,974",8.603,8.263,Not Available,1.336,232,7.2,5.5,Not Available,Not Available,99.57,Not Available,97.40800,ANNALS OF NEUROLOGY
2001,"24,757",8.481,8.051,Not Available,1.541,220,7.0,5.3,Not Available,Not Available,99.09,Not Available,96.54400,ANNALS OF NEUROLOGY
2000,"24,416",8.480,7.991,Not Available,1.693,251,6.7,5.4,Not Available,Not Available,99.60,Not Available,97.23100,ANNALS OF NEUROLOGY
1999,"24,688",8.321,7.922,Not Available,1.232,233,6.7,5.4,Not Available,Not Available,100.00,Not Available,97.69600,ANNALS OF NEUROLOGY
1998,"23,293",9.455,8.822,Not Available,1.128,257,6.5,5.1,Not Available,Not Available,100.00,Not Available,98.93400,ANNALS OF NEUROLOGY
1997,"21,722",9.513,8.895,Not Available,1.068,220,6.5,4.8,Not Available,Not Available,99.55,Not Available,97.93300,ANNALS OF NEUROLOGY
