,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,30640,943,3031,3690,4019,3872,3309,3266,3607,2126,1315,1462,Acta Biomaterialia
2,,ALL OTHERS (881),881,31,99,109,137,93,85,73,85,50,57,62,Acta Biomaterialia
3,5.080,MAT SCI ENG C-MATER,1662,5,113,167,172,219,218,202,263,129,96,78,Acta Biomaterialia
4,6.383,ACTA BIOMATER,1554,87,223,239,192,218,177,143,154,54,24,43,Acta Biomaterialia
5,4.776,J MATER CHEM B,731,38,114,112,91,92,63,81,61,41,16,22,Acta Biomaterialia
6,8.097,ACS APPL MATER INTER,722,45,106,119,104,75,64,59,61,48,22,19,Acta Biomaterialia
7,4.122,SCI REP-UK,692,30,94,79,105,91,69,58,77,45,25,19,Acta Biomaterialia
8,,WOODH PUBL SER BIOM,586,13,27,62,88,90,59,67,83,42,22,33,Acta Biomaterialia
9,3.239,J MECH BEHAV BIOMED,502,13,49,50,41,73,61,51,64,31,34,35,Acta Biomaterialia
10,4.432,ACS BIOMATER SCI ENG,472,20,56,61,57,56,45,44,61,35,16,21,Acta Biomaterialia
11,3.231,J BIOMED MATER RES A,471,6,38,52,59,66,62,47,62,35,20,24,Acta Biomaterialia
12,8.806,BIOMATERIALS,452,21,70,73,74,58,40,35,41,21,6,13,Acta Biomaterialia
13,2.936,RSC ADV,445,21,42,53,57,61,44,57,46,39,11,14,Acta Biomaterialia
14,3.508,TISSUE ENG,399,8,47,52,62,61,58,46,25,22,7,11,Acta Biomaterialia
15,3.997,COLLOID SURFACE B,377,11,49,46,54,47,41,33,42,25,9,20,Acta Biomaterialia
16,5.609,ADV HEALTHC MATER,371,12,52,57,47,46,37,46,28,28,11,7,Acta Biomaterialia
17,2.467,MATERIALS,354,13,27,28,37,38,46,49,51,30,22,13,Acta Biomaterialia
18,3.057,CERAM INT,303,2,20,13,21,43,34,45,53,33,15,24,Acta Biomaterialia
19,3.373,J BIOMED MATER RES B,302,0,1,24,37,39,55,59,45,20,13,9,Acta Biomaterialia
20,5.158,CARBOHYD POLYM,273,7,25,27,41,33,27,34,30,30,10,9,Acta Biomaterialia
21,4.370,INT J NANOMED,272,13,44,44,51,18,22,19,27,14,7,13,Acta Biomaterialia
22,2.897,BIOMED MATER,255,4,14,29,32,39,27,37,25,22,18,8,Acta Biomaterialia
23,5.831,BIOMATER SCI-UK,237,20,35,41,37,30,28,16,14,10,2,4,Acta Biomaterialia
24,5.738,BIOMACROMOLECULES,235,10,26,30,47,32,19,26,16,18,8,3,Acta Biomaterialia
25,,RSC SMART MATER,234,0,4,31,23,40,28,36,24,19,16,13,Acta Biomaterialia
26,3.779,J ALLOY COMPD,228,1,15,19,17,28,36,32,40,13,12,15,Acta Biomaterialia
27,3.909,INT J BIOL MACROMOL,221,5,16,28,27,26,21,22,32,25,10,9,Acta Biomaterialia
28,2.906,SURF COAT TECH,217,1,6,11,18,22,41,22,31,24,19,22,Acta Biomaterialia
29,2.448,J MATER SCI-MATER M,211,1,12,19,16,34,22,31,37,17,10,12,Acta Biomaterialia
30,7.877,J CONTROL RELEASE,209,10,34,55,26,30,18,8,14,9,3,2,Acta Biomaterialia
31,4.439,APPL SURF SCI,205,1,7,14,25,19,34,21,30,24,12,18,Acta Biomaterialia
32,4.089,J TISSUE ENG REGEN M,195,0,2,12,33,35,39,26,19,18,6,5,Acta Biomaterialia
33,3.862,INT J PHARMACEUT,188,7,23,33,24,23,21,14,22,11,6,4,Acta Biomaterialia
34,2.993,J MATER SCI,177,0,7,19,10,40,13,30,19,17,9,13,Acta Biomaterialia
35,2.766,PLOS ONE,172,6,22,19,25,21,15,19,15,15,7,8,Acta Biomaterialia
36,3.392,MACROMOL BIOSCI,169,5,17,18,35,15,17,20,22,11,1,8,Acta Biomaterialia
