,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,6465,354,1436,1716,1297,1125,521,1,0,0,0,15,Advanced Healthcare Materials
2,,ALL OTHERS (471),471,20,96,133,111,82,28,0,0,0,0,1,Advanced Healthcare Materials
3,5.609,ADV HEALTHC MATER,330,35,110,85,40,47,13,0,0,0,0,0,Advanced Healthcare Materials
4,8.097,ACS APPL MATER INTER,307,27,70,78,65,41,26,0,0,0,0,0,Advanced Healthcare Materials
5,4.776,J MATER CHEM B,222,13,57,59,42,28,23,0,0,0,0,0,Advanced Healthcare Materials
6,8.806,BIOMATERIALS,170,8,40,47,39,26,10,0,0,0,0,0,Advanced Healthcare Materials
7,6.383,ACTA BIOMATER,166,5,43,37,40,25,16,0,0,0,0,0,Advanced Healthcare Materials
8,4.122,SCI REP-UK,141,7,33,35,18,35,12,0,0,0,0,1,Advanced Healthcare Materials
9,5.080,MAT SCI ENG C-MATER,139,1,43,33,35,16,11,0,0,0,0,0,Advanced Healthcare Materials
10,4.432,ACS BIOMATER SCI ENG,112,5,20,44,16,17,10,0,0,0,0,0,Advanced Healthcare Materials
11,2.936,RSC ADV,101,5,17,25,19,24,11,0,0,0,0,0,Advanced Healthcare Materials
12,13.325,ADV FUNCT MATER,96,7,28,26,21,10,4,0,0,0,0,0,Advanced Healthcare Materials
13,13.709,ACS NANO,94,10,18,22,23,15,6,0,0,0,0,0,Advanced Healthcare Materials
14,7.233,NANOSCALE,94,4,29,27,14,16,4,0,0,0,0,0,Advanced Healthcare Materials
15,21.950,ADV MATER,87,3,24,23,14,18,5,0,0,0,0,0,Advanced Healthcare Materials
16,7.877,J CONTROL RELEASE,83,1,11,30,22,12,6,0,0,0,0,1,Advanced Healthcare Materials
17,3.392,MACROMOL BIOSCI,82,2,10,32,16,15,7,0,0,0,0,0,Advanced Healthcare Materials
