,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,22837,421,2204,2436,2134,1958,1762,1531,1484,1160,1043,6704,Advanced Healthcare Materials
2, ,ALL OTHERS (1585),1585,14,132,147,119,141,100,84,87,80,65,616,Advanced Healthcare Materials
3,8.806,BIOMATERIALS,1347,27,89,94,145,131,137,120,131,83,45,345,Advanced Healthcare Materials
4,21.950,ADV MATER,578,19,88,84,78,61,55,45,37,26,21,64,Advanced Healthcare Materials
5,6.383,ACTA BIOMATER,371,12,52,57,47,46,37,46,28,28,11,7,Advanced Healthcare Materials
6,13.709,ACS NANO,361,6,58,67,50,59,44,24,28,9,13,3,Advanced Healthcare Materials
7,7.877,J CONTROL RELEASE,343,5,33,42,28,25,35,23,21,11,13,107,Advanced Healthcare Materials
8,9.504,P NATL ACAD SCI USA,334,1,14,29,24,24,20,25,31,17,18,131,Advanced Healthcare Materials
9,5.609,ADV HEALTHC MATER,330,35,110,85,40,47,13,0,0,0,0,0,Advanced Healthcare Materials
10,14.357,J AM CHEM SOC,327,3,12,25,25,30,27,34,26,29,27,89,Advanced Healthcare Materials
11,3.508,TISSUE ENG,306,3,16,30,36,20,25,25,33,27,15,76,Advanced Healthcare Materials
12,12.102,ANGEW CHEM INT EDIT,295,3,26,35,34,24,25,37,18,22,15,56,Advanced Healthcare Materials
13,13.325,ADV FUNCT MATER,293,7,39,63,38,34,30,14,27,11,13,17,Advanced Healthcare Materials
14,41.058,SCIENCE,291,2,10,10,9,18,21,13,12,17,9,170,Advanced Healthcare Materials
15,13.660,ADV DRUG DELIVER REV,258,5,16,19,17,33,30,19,15,5,27,72,Advanced Healthcare Materials
16,5.738,BIOMACROMOLECULES,217,2,20,25,14,24,19,18,12,15,8,60,Advanced Healthcare Materials
17,8.097,ACS APPL MATER INTER,213,7,65,55,42,18,11,5,9,1,0,0,Advanced Healthcare Materials
18,9.598,SMALL,212,7,39,29,38,23,14,13,18,13,9,9,Advanced Healthcare Materials
19,41.577,NATURE,211,0,18,11,5,11,6,8,12,12,16,112,Advanced Healthcare Materials
20,39.235,NAT MATER,202,1,22,22,32,27,15,15,17,17,5,29,Advanced Healthcare Materials
21,3.231,J BIOMED MATER RES A,192,4,5,13,22,20,18,10,22,16,11,51,Advanced Healthcare Materials
22,3.789,LANGMUIR,183,4,12,16,16,5,17,11,13,13,9,67,Advanced Healthcare Materials
23,2.766,PLOS ONE,178,2,15,29,30,38,26,15,10,4,6,3,Advanced Healthcare Materials
24,4.122,SCI REP-UK,178,5,69,63,15,23,3,0,0,0,0,0,Advanced Healthcare Materials
25,5.995,LAB CHIP,174,2,25,20,18,22,17,11,12,10,11,26,Advanced Healthcare Materials
26,7.233,NANOSCALE,163,4,35,46,19,28,15,9,6,1,0,0,Advanced Healthcare Materials
27,40.182,CHEM SOC REV,160,1,12,26,25,22,34,15,8,6,1,10,Advanced Healthcare Materials
28,52.613,CHEM REV,146,0,23,26,8,9,8,4,23,6,10,29,Advanced Healthcare Materials
29,6.290,CHEM COMMUN,145,1,14,21,20,18,14,15,7,12,4,19,Advanced Healthcare Materials
30,12.080,NANO LETT,142,0,17,13,13,8,11,21,14,8,9,28,Advanced Healthcare Materials
31,4.776,J MATER CHEM B,138,7,22,51,34,24,0,0,0,0,0,0,Advanced Healthcare Materials
