,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,10436,343,1322,1869,1481,1295,618,2140,439,212,289,428,Alzheimers & Dementia
2,,ALL OTHERS (661),661,15,77,104,113,88,56,74,34,26,32,42,Alzheimers & Dementia
3,3.476,J ALZHEIMERS DIS,988,37,102,146,154,103,50,274,49,16,30,27,Alzheimers & Dementia
4,12.764,ALZHEIMERS DEMENT,460,9,68,122,81,39,20,80,15,8,7,11,Alzheimers & Dementia
5,4.454,NEUROBIOL AGING,271,3,29,45,37,32,15,88,11,2,6,3,Alzheimers & Dementia
6,5.015,ALZHEIMERS RES THER,207,10,33,25,28,27,9,52,8,3,7,5,Alzheimers & Dementia
7,3.582,FRONT AGING NEUROSCI,205,9,30,27,26,13,12,51,11,3,12,11,Alzheimers & Dementia
8,4.122,SCI REP-UK,191,4,34,34,31,16,8,30,8,4,11,11,Alzheimers & Dementia
9,2.766,PLOS ONE,181,4,21,33,20,20,11,38,13,5,7,9,Alzheimers & Dementia
10,8.055,NEUROLOGY,148,11,20,43,15,11,5,34,7,0,1,1,Alzheimers & Dementia
11,3.289,CURR ALZHEIMER RES,145,0,6,25,21,29,10,34,5,4,4,7,Alzheimers & Dementia
12,1.940,ALZ DIS ASSOC DIS,94,0,11,6,13,18,6,32,1,3,4,0,Alzheimers & Dementia
13,2.261,INT PSYCHOGERIATR,87,3,7,9,17,15,7,17,3,0,3,6,Alzheimers & Dementia
14,3.869,NEUROIMAGE-CLIN,81,2,2,20,11,4,4,27,5,0,2,4,Alzheimers & Dementia
15,10.848,BRAIN,75,3,14,20,9,8,7,10,3,0,1,0,Alzheimers & Dementia
16,4.155,J AM GERIATR SOC,75,5,9,19,12,6,5,11,0,0,5,3,Alzheimers & Dementia
17,11.460,JAMA NEUROL,73,4,10,14,11,4,6,17,3,1,0,3,Alzheimers & Dementia
18,6.754,COCHRANE DB SYST REV,69,1,3,7,14,17,8,13,4,2,0,0,Alzheimers & Dementia
19,5.426,NEUROIMAGE,69,2,5,24,10,3,1,14,5,0,0,5,Alzheimers & Dementia
20,2.940,INT J GERIATR PSYCH,67,0,4,8,9,8,8,23,2,0,1,4,Alzheimers & Dementia
21,5.076,MOL NEUROBIOL,62,0,10,11,6,12,2,11,4,2,2,2,Alzheimers & Dementia
22,3.508,FRONT NEUROL,58,5,6,14,12,4,5,10,0,0,1,1,Alzheimers & Dementia
23,,ONCOTARGET,57,3,19,3,6,6,4,7,2,2,2,3,Alzheimers & Dementia
24,3.480,AM J GERIAT PSYCHIAT,56,2,8,3,7,12,3,17,2,0,2,0,Alzheimers & Dementia
25,2.886,DEMENT GERIATR COGN,51,2,2,4,7,10,4,17,1,1,2,1,Alzheimers & Dementia
26,2.413,BMJ OPEN,49,1,8,8,3,14,3,8,0,0,0,4,Alzheimers & Dementia
27,4.927,HUM BRAIN MAPP,49,0,2,11,3,4,7,16,2,0,2,2,Alzheimers & Dementia
28,6.426,MOL NEURODEGENER,49,7,11,15,6,4,2,2,2,0,0,0,Alzheimers & Dementia
29,1.602,AM J ALZHEIMERS DIS,48,0,3,8,6,8,2,10,2,4,1,4,Alzheimers & Dementia
30,3.877,FRONT NEUROSCI-SWITZ,48,3,7,9,2,4,1,17,3,0,1,1,Alzheimers & Dementia
31,4.894,NEUROPSYCHOL REV,48,2,5,5,10,3,3,15,1,1,2,1,Alzheimers & Dementia
32,5.325,J AM MED DIR ASSOC,46,0,5,7,7,11,1,10,2,0,0,3,Alzheimers & Dementia
33,27.144,LANCET NEUROL,45,2,11,8,1,2,1,14,4,0,1,1,Alzheimers & Dementia
34,,NEUROL THER,45,2,5,13,3,3,5,12,1,0,0,1,Alzheimers & Dementia
35,8.973,AGEING RES REV,44,0,1,8,7,8,2,10,7,1,0,0,Alzheimers & Dementia
36,10.250,ANN NEUROL,43,3,8,7,3,5,6,8,2,0,0,1,Alzheimers & Dementia
37,3.224,EXP GERONTOL,42,2,1,8,4,10,0,7,1,6,0,3,Alzheimers & Dementia
38,19.819,NAT REV NEUROL,42,3,14,9,0,5,1,6,0,2,1,1,Alzheimers & Dementia
39,15.876,ACTA NEUROPATHOL,39,2,10,6,2,4,9,6,0,0,0,0,Alzheimers & Dementia
40,3.696,EXPERT REV NEUROTHER,39,1,4,9,6,3,2,7,2,3,0,2,Alzheimers & Dementia
41,2.866,BMC GERIATR,38,1,1,5,3,15,3,6,1,1,0,2,Alzheimers & Dementia
42,4.558,SEMIN NUCL MED,38,0,8,10,1,7,2,8,0,0,1,1,Alzheimers & Dementia
43,3.173,BEHAV BRAIN RES,36,0,5,4,8,1,1,11,2,2,2,0,Alzheimers & Dementia
44,,DEMENT GER COGN D EX,36,2,4,4,7,4,0,11,1,0,3,0,Alzheimers & Dementia
45,3.072,NEUROL CLIN,35,0,7,3,2,6,1,10,2,0,3,1,Alzheimers & Dementia
46,7.439,J NUCL MED,34,1,7,7,2,8,2,6,0,0,1,0,Alzheimers & Dementia
47,,DRUG DISC APPRXB,33,0,0,3,7,7,3,8,1,3,0,1,Alzheimers & Dementia
48,2.448,J NEUROL SCI,33,0,1,7,4,4,2,9,2,0,1,3,Alzheimers & Dementia
49,8.037,NEUROSCI BIOBEHAV R,33,2,3,8,4,4,1,6,2,2,0,1,Alzheimers & Dementia
50,11.675,PLOS MED,33,1,5,9,0,5,2,7,1,0,1,2,Alzheimers & Dementia
51,14.163,PROG NEUROBIOL,33,1,8,3,3,2,5,7,2,0,2,0,Alzheimers & Dementia
52,7.704,EUR J NUCL MED MOL I,32,0,4,13,1,4,2,6,1,0,1,0,Alzheimers & Dementia
53,2.777,J INT NEUROPSYCH SOC,32,0,0,4,9,5,0,11,1,0,1,1,Alzheimers & Dementia
54,2.871,FRONT HUM NEUROSCI,31,0,1,4,4,4,1,8,4,1,1,3,Alzheimers & Dementia
55,2.656,GERIATR GERONTOL INT,31,1,1,6,2,12,1,3,1,0,2,2,Alzheimers & Dementia
56,3.687,INT J MOL SCI,31,1,10,8,4,1,1,4,1,0,0,1,Alzheimers & Dementia
57,4.902,J GERONTOL A-BIOL,31,1,2,10,4,5,1,4,0,2,2,0,Alzheimers & Dementia
58,4.691,TRANSL PSYCHIAT,30,4,6,7,3,0,0,7,3,0,0,0,Alzheimers & Dementia
59,3.902,FRONT MOL NEUROSCI,28,0,5,5,5,5,1,2,3,0,1,1,Alzheimers & Dementia
60,2.170,BMC NEUROL,27,0,4,7,7,2,2,5,0,0,0,0,Alzheimers & Dementia
61,2.779,J NEURAL TRANSM,27,1,3,6,5,2,4,4,0,1,0,1,Alzheimers & Dementia
62,4.609,J NEUROCHEM,27,3,3,4,4,2,1,6,3,0,0,1,Alzheimers & Dementia
63,7.144,J NEUROL NEUROSUR PS,27,0,2,2,3,4,0,13,1,0,1,1,Alzheimers & Dementia
64,6.045,J CEREBR BLOOD F MET,26,0,1,6,2,3,1,8,1,1,2,1,Alzheimers & Dementia
