,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,7037,39,494,936,855,618,542,492,379,322,252,2108,Alzheimers & Dementia
2, ,ALL OTHERS (708),708,5,55,88,80,57,49,34,33,27,22,258,Alzheimers & Dementia
3,8.055,NEUROLOGY,462,3,12,43,34,37,36,23,21,11,12,230,Alzheimers & Dementia
4,12.764,ALZHEIMERS DEMENT,460,9,68,122,81,39,20,80,15,8,7,11,Alzheimers & Dementia
5,3.476,J ALZHEIMERS DIS,256,3,36,72,46,24,21,25,13,5,1,10,Alzheimers & Dementia
6,4.454,NEUROBIOL AGING,206,0,15,40,43,21,18,5,12,9,4,39,Alzheimers & Dementia
7,10.250,ANN NEUROL,165,0,7,20,12,12,10,13,15,12,9,55,Alzheimers & Dementia
8, ,ARCH NEUROL-CHICAGO,162,0,0,0,0,0,22,18,8,17,13,84,Alzheimers & Dementia
9,27.144,LANCET NEUROL,136,0,14,11,21,24,17,12,16,1,0,20,Alzheimers & Dementia
10,5.426,NEUROIMAGE,122,3,7,20,15,9,12,6,12,10,4,24,Alzheimers & Dementia
11,10.848,BRAIN,116,0,10,31,15,6,11,10,3,7,6,17,Alzheimers & Dementia
12,2.766,PLOS ONE,108,1,4,27,26,22,7,12,4,3,1,1,Alzheimers & Dementia
13,5.971,J NEUROSCI,88,0,1,8,6,6,5,6,8,5,7,36,Alzheimers & Dementia
14,47.661,JAMA-J AM MED ASSOC,82,2,1,5,3,3,6,5,3,6,3,45,Alzheimers & Dementia
15,11.460,JAMA NEUROL,78,0,14,26,19,19,0,0,0,0,0,0,Alzheimers & Dementia
16,79.260,NEW ENGL J MED,77,0,7,4,10,20,12,1,2,1,0,20,Alzheimers & Dementia
17,9.504,P NATL ACAD SCI USA,77,0,2,1,1,11,4,2,6,7,4,39,Alzheimers & Dementia
18,1.940,ALZ DIS ASSOC DIS,75,0,2,10,4,3,4,2,7,11,2,30,Alzheimers & Dementia
19,3.480,AM J GERIAT PSYCHIAT,70,0,4,8,10,4,7,6,8,5,4,14,Alzheimers & Dementia
20,2.886,DEMENT GERIATR COGN,70,0,2,4,5,2,7,3,6,5,7,29,Alzheimers & Dementia
21,4.155,J AM GERIATR SOC,68,0,1,2,1,4,7,8,2,2,3,38,Alzheimers & Dementia
22,7.144,J NEUROL NEUROSUR PS,63,0,4,0,3,6,3,3,3,3,0,38,Alzheimers & Dementia
23,15.876,ACTA NEUROPATHOL,61,0,0,3,7,5,9,3,2,6,1,25,Alzheimers & Dementia
24,14.319,NEURON,57,0,5,4,6,9,6,3,1,6,4,13,Alzheimers & Dementia
