,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,4653,48,100,190,370,257,554,260,312,202,267,2093,Annual Review of Biomedical Engineering
2,,ALL OTHERS (881),881,21,20,33,55,35,106,48,55,33,42,433,Annual Review of Biomedical Engineering
3,4.122,SCI REP-UK,144,1,4,10,16,8,22,8,8,6,9,52,Annual Review of Biomedical Engineering
4,2.766,PLOS ONE,55,2,1,0,4,4,2,7,2,4,0,29,Annual Review of Biomedical Engineering
5,,PROC SPIE,55,0,3,2,4,2,5,3,0,0,5,31,Annual Review of Biomedical Engineering
6,6.383,ACTA BIOMATER,54,2,2,0,5,11,7,4,4,3,0,16,Annual Review of Biomedical Engineering
7,5.995,LAB CHIP,53,0,3,8,9,0,1,3,2,1,5,21,Annual Review of Biomedical Engineering
8,8.097,ACS APPL MATER INTER,48,0,0,1,4,2,18,2,4,1,2,14,Annual Review of Biomedical Engineering
9,5.609,ADV HEALTHC MATER,44,1,1,2,5,7,4,0,3,2,1,18,Annual Review of Biomedical Engineering
10,8.806,BIOMATERIALS,39,0,0,2,6,4,8,3,2,3,1,10,Annual Review of Biomedical Engineering
11,6.042,ANAL CHEM,35,0,4,7,3,0,1,0,3,5,3,9,Annual Review of Biomedical Engineering
12,12.353,NAT COMMUN,34,0,1,2,3,3,6,2,3,3,0,11,Annual Review of Biomedical Engineering
13,2.936,RSC ADV,34,0,1,0,1,1,3,2,2,1,1,22,Annual Review of Biomedical Engineering
14,4.432,ACS BIOMATER SCI ENG,32,0,2,2,3,5,2,3,3,1,0,11,Annual Review of Biomedical Engineering
15,52.613,CHEM REV,32,0,1,5,3,2,3,1,1,1,3,12,Annual Review of Biomedical Engineering
16,5.667,SENSOR ACTUAT B-CHEM,31,0,0,1,1,0,1,2,0,2,7,17,Annual Review of Biomedical Engineering
17,21.950,ADV MATER,29,0,0,1,5,1,6,0,4,0,2,10,Annual Review of Biomedical Engineering
18,,ONCOTARGET,29,0,0,0,6,0,2,1,2,3,1,14,Annual Review of Biomedical Engineering
19,,WOODH PUBL SER BIOM,29,0,0,1,3,2,4,1,2,1,0,15,Annual Review of Biomedical Engineering
20,3.405,ANN BIOMED ENG,28,0,0,1,8,1,1,3,1,0,1,12,Annual Review of Biomedical Engineering
21,5.080,MAT SCI ENG C-MATER,28,0,0,2,2,0,6,0,0,0,2,16,Annual Review of Biomedical Engineering
22,7.233,NANOSCALE,28,1,0,0,0,3,14,1,1,0,2,6,Annual Review of Biomedical Engineering
23,2.222,MICROMACHINES-BASEL,27,0,0,2,5,0,3,0,4,1,2,10,Annual Review of Biomedical Engineering
24,13.709,ACS NANO,25,0,0,1,1,3,8,0,1,2,1,8,Annual Review of Biomedical Engineering
25,7.877,J CONTROL RELEASE,24,0,2,0,2,2,10,0,1,1,0,6,Annual Review of Biomedical Engineering
26,4.776,J MATER CHEM B,24,1,0,1,3,5,6,1,0,0,1,6,Annual Review of Biomedical Engineering
27,4.089,J TISSUE ENG REGEN M,24,0,0,0,0,3,2,6,0,2,0,11,Annual Review of Biomedical Engineering
28,13.325,ADV FUNCT MATER,23,0,0,1,0,0,7,0,1,1,4,9,Annual Review of Biomedical Engineering
29,2.884,MED PHYS,23,0,0,0,4,2,0,1,2,0,0,14,Annual Review of Biomedical Engineering
30,3.212,BIOMECH MODEL MECHAN,22,0,0,0,0,1,1,1,2,1,2,14,Annual Review of Biomedical Engineering
31,2.431,J BIOMECH,22,0,0,0,2,0,0,0,5,2,1,12,Annual Review of Biomedical Engineering
32,9.504,P NATL ACAD SCI USA,22,0,2,0,2,0,3,1,4,2,1,7,Annual Review of Biomedical Engineering
33,2.384,MICROFLUID NANOFLUID,21,0,0,1,4,2,0,0,2,1,2,9,Annual Review of Biomedical Engineering
34,,NAT BIOMED ENG,21,3,0,3,3,1,3,0,3,0,2,3,Annual Review of Biomedical Engineering
35,3.687,INT J MOL SCI,20,1,0,1,2,1,2,0,3,1,1,8,Annual Review of Biomedical Engineering
36,3.862,INT J PHARMACEUT,20,0,0,1,1,2,7,2,0,0,0,7,Annual Review of Biomedical Engineering
37,3.789,LANGMUIR,20,0,1,0,0,1,3,1,0,0,0,14,Annual Review of Biomedical Engineering
38,3.508,TISSUE ENG,20,0,0,2,4,2,0,2,1,1,0,8,Annual Review of Biomedical Engineering
