,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,2711,6,247,303,273,259,202,184,161,123,112,841,Annual Review of Biomedical Engineering
2, ,ALL OTHERS (565),565,1,51,57,48,41,52,34,36,26,31,188,Annual Review of Biomedical Engineering
3,9.504,P NATL ACAD SCI USA,104,0,4,6,7,11,8,8,6,7,6,41,Annual Review of Biomedical Engineering
4,41.577,NATURE,79,0,7,6,2,9,7,4,4,6,2,32,Annual Review of Biomedical Engineering
5,41.058,SCIENCE,58,0,8,3,3,7,4,5,3,2,4,19,Annual Review of Biomedical Engineering
6,5.426,NEUROIMAGE,57,1,9,4,6,4,10,5,4,4,0,10,Annual Review of Biomedical Engineering
7,31.398,CELL,53,0,8,7,6,7,2,4,2,4,1,12,Annual Review of Biomedical Engineering
8,8.806,BIOMATERIALS,48,0,6,5,3,5,4,5,5,0,4,11,Annual Review of Biomedical Engineering
9,2.431,J BIOMECH,33,0,1,2,3,2,1,0,2,1,1,20,Annual Review of Biomedical Engineering
10,35.724,NAT BIOTECHNOL,29,0,4,5,5,2,4,2,4,2,0,1,Annual Review of Biomedical Engineering
11,26.919,NAT METHODS,29,0,5,7,5,6,3,0,1,2,0,0,Annual Review of Biomedical Engineering
12,3.508,TISSUE ENG,28,0,4,4,1,3,3,4,0,0,3,6,Annual Review of Biomedical Engineering
13,4.011,J BIOL CHEM,25,0,0,0,0,0,0,1,0,3,0,21,Annual Review of Biomedical Engineering
14,2.766,PLOS ONE,25,0,5,3,3,4,5,2,1,1,1,0,Annual Review of Biomedical Engineering
15,6.383,ACTA BIOMATER,23,0,1,4,4,3,1,1,6,2,1,0,Annual Review of Biomedical Engineering
16,5.454,OSTEOARTHR CARTILAGE,23,0,1,3,3,1,0,3,1,3,2,6,Annual Review of Biomedical Engineering
17,1.916,J BIOMECH ENG-T ASME,22,0,1,0,0,1,1,0,2,1,0,16,Annual Review of Biomedical Engineering
18,5.971,J NEUROSCI,22,0,1,3,2,1,1,6,3,1,2,2,Annual Review of Biomedical Engineering
19,13.251,J CLIN INVEST,21,0,0,4,2,4,1,2,0,0,1,7,Annual Review of Biomedical Engineering
20,4.082,MAGN RESON MED,20,0,0,0,0,0,1,1,0,0,2,16,Annual Review of Biomedical Engineering
21,21.950,ADV MATER,19,0,4,3,4,0,3,1,1,2,0,1,Annual Review of Biomedical Engineering
22,12.353,NAT COMMUN,19,0,3,6,4,5,0,0,0,0,0,1,Annual Review of Biomedical Engineering
23,6.045,J CEREBR BLOOD F MET,18,0,3,0,3,0,0,0,1,2,0,9,Annual Review of Biomedical Engineering
24,6.131,IEEE T MED IMAGING,16,0,13,0,1,1,0,0,0,0,0,1,Annual Review of Biomedical Engineering
25,3.414,J ORTHOP RES,16,0,1,0,2,0,0,2,0,0,0,11,Annual Review of Biomedical Engineering
26,9.203,ANN SURG,15,0,0,3,1,0,0,2,2,2,1,4,Annual Review of Biomedical Engineering
27,20.565,CELL METAB,15,0,5,5,1,0,2,0,1,1,0,0,Annual Review of Biomedical Engineering
28,42.784,NAT REV CANCER,15,0,2,0,1,2,1,3,0,0,1,5,Annual Review of Biomedical Engineering
29,3.890,OBES SURG,15,0,1,0,1,1,4,0,0,1,2,5,Annual Review of Biomedical Engineering
30,14.248,MOL CELL,14,0,1,1,4,2,1,3,1,0,0,1,Annual Review of Biomedical Engineering
31,3.031,NMR BIOMED,14,0,2,2,0,1,0,4,1,1,0,3,Annual Review of Biomedical Engineering
32,11.561,NUCLEIC ACIDS RES,14,0,1,2,1,2,2,1,0,0,0,5,Annual Review of Biomedical Engineering
33,15.132,BLOOD,13,0,0,0,0,1,2,2,2,0,0,6,Annual Review of Biomedical Engineering
34,79.260,NEW ENGL J MED,13,0,0,0,1,1,0,0,1,2,0,8,Annual Review of Biomedical Engineering
35,3.920,J NEURAL ENG,12,0,1,4,0,1,2,2,0,0,1,1,Annual Review of Biomedical Engineering
36,14.319,NEURON,12,0,1,3,2,0,1,0,0,0,1,4,Annual Review of Biomedical Engineering
37,4.122,SCI REP-UK,12,0,5,1,1,4,1,0,0,0,0,0,Annual Review of Biomedical Engineering
38,13.709,ACS NANO,11,0,1,2,2,3,1,1,1,0,0,0,Annual Review of Biomedical Engineering
39,13.660,ADV DRUG DELIVER REV,11,0,2,2,4,0,1,0,0,1,0,1,Annual Review of Biomedical Engineering
40,3.405,ANN BIOMED ENG,11,0,1,0,1,1,0,2,1,0,0,5,Annual Review of Biomedical Engineering
41,5.789,J CLIN ENDOCR METAB,11,0,0,1,0,1,1,2,1,0,0,5,Annual Review of Biomedical Engineering
42,19.912,NAT NEUROSCI,11,0,2,2,2,0,0,1,0,0,1,3,Annual Review of Biomedical Engineering
43,22.844,CANCER CELL,10,0,1,1,0,2,1,1,2,0,0,2,Annual Review of Biomedical Engineering
44,4.288,IEEE T BIO-MED ENG,10,0,1,1,1,3,0,1,1,0,0,2,Annual Review of Biomedical Engineering
45,14.357,J AM CHEM SOC,10,0,0,1,0,1,3,1,0,1,0,3,Annual Review of Biomedical Engineering
46,3.231,J BIOMED MATER RES A,10,0,0,0,0,1,1,0,1,1,2,4,Annual Review of Biomedical Engineering
47,39.235,NAT MATER,10,0,2,0,1,2,0,2,0,2,0,1,Annual Review of Biomedical Engineering
48,32.621,NAT MED,10,0,0,2,1,0,0,1,1,0,1,4,Annual Review of Biomedical Engineering
49,35.612,NAT REV MOL CELL BIO,10,0,0,0,2,0,1,0,0,1,2,4,Annual Review of Biomedical Engineering
50,3.955,PLOS COMPUT BIOL,10,0,1,2,3,1,0,0,1,1,1,0,Annual Review of Biomedical Engineering
51,8.788,ANNU REV BIOMED ENG,9,0,0,0,3,0,1,1,1,0,1,2,Annual Review of Biomedical Engineering
52,15.211,CIRC RES,9,0,1,2,3,1,0,0,0,0,0,2,Annual Review of Biomedical Engineering
53,18.881,CIRCULATION,9,0,0,0,2,0,0,0,0,1,1,5,Annual Review of Biomedical Engineering
54,9.251,CURR BIOL,9,0,0,2,1,0,0,1,1,0,1,3,Annual Review of Biomedical Engineering
55, ,IEEE ENG MED BIOL,9,0,0,2,3,3,1,0,0,0,0,0,Annual Review of Biomedical Engineering
56,7.877,J CONTROL RELEASE,9,0,1,2,2,1,0,0,0,1,0,2,Annual Review of Biomedical Engineering
57,5.995,LAB CHIP,9,0,2,1,0,4,2,0,0,0,0,0,Annual Review of Biomedical Engineering
58,41.465,NAT REV GENET,9,0,0,2,0,1,1,0,3,0,0,2,Annual Review of Biomedical Engineering
