Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"4,653",8.788,8.788,16.165,2.526,19,9.1,6.3,0.006,4.994,0.00,0.73100,98.07700,Annual Review of Biomedical Engineering
2016,"4,251",10.514,10.459,14.615,1.125,16,8.8,6.9,0.00607,4.393,0.00,0.69628,99.35100,Annual Review of Biomedical Engineering
2015,"3,823",10.256,10.179,14.137,0.412,17,8.3,6.1,0.00645,4.491,0.00,0.73540,99.34200,Annual Review of Biomedical Engineering
2014,"3,859",14.211,14.184,15.839,1.150,20,7.7,6.9,0.00739,5.348,0.00,0.82751,99.34200,Annual Review of Biomedical Engineering
2013,"3,486",12.450,12.400,15.000,0.737,19,7.3,6.2,0.00777,5.619,0.00,0.85640,99.34200,Annual Review of Biomedical Engineering
2012,"3,150",10.946,10.810,14.566,0.474,19,7.0,6.4,0.00756,5.218,0.00,Not Available,99.36700,Annual Review of Biomedical Engineering
2011,"2,868",12.214,12.107,15.667,0.619,21,6.6,6.4,0.0082,5.519,0.00,Not Available,99.30600,Annual Review of Biomedical Engineering
2010,"2,764",11.000,11.000,16.895,0.750,16,6.3,6.1,0.00821,5.570,0.00,Not Available,99.28600,Annual Review of Biomedical Engineering
2009,"2,441",11.235,11.117,14.096,0.667,12,6.2,6.7,0.00852,4.930,0.00,Not Available,99.15300,Annual Review of Biomedical Engineering
2008,"2,122",10.789,10.763,13.679,1.000,15,5.6,5.6,0.00951,5.111,0.00,Not Available,99.03800,Annual Review of Biomedical Engineering
2007,"1,629",11.567,11.533,12.123,0.684,19,5.2,6.1,0.00886,4.706,0.00,Not Available,98.86400,Annual Review of Biomedical Engineering
2006,"1,350",10.533,10.500,Not Available,0.368,19,4.8,6.8,Not Available,Not Available,0.00,Not Available,98.81000,Annual Review of Biomedical Engineering
2005,999,6.457,6.400,Not Available,0.545,11,4.3,7.0,Not Available,Not Available,0.00,Not Available,98.78000,Annual Review of Biomedical Engineering
2004,786,8.156,8.125,Not Available,0.053,19,3.9,6.4,Not Available,Not Available,0.00,Not Available,98.81000,Annual Review of Biomedical Engineering
2003,548,7.875,7.687,Not Available,0.125,16,3.1,5.2,Not Available,Not Available,0.00,Not Available,98.81000,Annual Review of Biomedical Engineering
2002,216,3.537,3.365,Not Available,0.000,16,2.7,4.5,Not Available,Not Available,0.00,Not Available,98.75000,Annual Review of Biomedical Engineering
2001,35,0.714,0.653,Not Available,0.000,16,Not Available,5.6,Not Available,Not Available,0.00,Not Available,37.17900,Annual Review of Biomedical Engineering
