,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,9812,17,197,363,872,371,656,918,445,448,276,5249,Annual Review of Cell and Developmental Biology
2,,ALL OTHERS (895),895,0,9,17,64,32,43,52,23,38,16,601,Annual Review of Cell and Developmental Biology
3,4.122,SCI REP-UK,456,1,10,22,52,17,40,45,20,17,10,222,Annual Review of Cell and Developmental Biology
4,2.766,PLOS ONE,207,0,1,1,12,8,10,16,8,16,3,132,Annual Review of Cell and Developmental Biology
5,,ONCOTARGET,165,0,2,3,16,4,5,33,4,1,2,95,Annual Review of Cell and Developmental Biology
6,12.353,NAT COMMUN,146,0,9,12,12,11,17,24,12,4,4,41,Annual Review of Cell and Developmental Biology
7,9.504,P NATL ACAD SCI USA,140,0,3,10,19,7,10,21,6,5,5,54,Annual Review of Cell and Developmental Biology
8,7.616,ELIFE,135,0,5,10,10,8,13,14,7,11,3,54,Annual Review of Cell and Developmental Biology
9,4.011,J BIOL CHEM,121,0,0,4,2,1,4,17,3,5,1,84,Annual Review of Cell and Developmental Biology
10,3.687,INT J MOL SCI,110,1,4,1,10,0,8,13,2,3,3,65,Annual Review of Cell and Developmental Biology
11,3.512,MOL BIOL CELL,101,0,8,3,6,5,17,3,17,3,2,37,Annual Review of Cell and Developmental Biology
12,5.413,DEVELOPMENT,98,1,1,8,9,9,10,9,2,8,4,37,Annual Review of Cell and Developmental Biology
13,3.677,FRONT PLANT SCI,92,0,1,2,0,2,26,2,2,12,6,39,Annual Review of Cell and Developmental Biology
14,8.784,J CELL BIOL,81,0,4,9,10,4,7,10,7,3,0,27,Annual Review of Cell and Developmental Biology
15,4.401,J CELL SCI,74,0,4,5,2,3,10,7,7,2,2,32,Annual Review of Cell and Developmental Biology
16,3.262,DEV BIOL,67,1,3,2,6,5,4,3,2,4,0,37,Annual Review of Cell and Developmental Biology
17,8.032,CELL REP,64,0,3,9,10,6,1,7,2,3,1,22,Annual Review of Cell and Developmental Biology
18,,METHOD MOL BIOL,62,0,0,1,6,2,3,5,1,2,5,37,Annual Review of Cell and Developmental Biology
19,2.559,BIOCHEM BIOPH RES CO,58,0,1,3,5,0,1,4,2,4,2,36,Annual Review of Cell and Developmental Biology
20,9.616,DEV CELL,58,1,3,2,7,4,10,9,4,5,2,11,Annual Review of Cell and Developmental Biology
21,5.511,FRONT IMMUNOL,57,2,6,1,10,0,4,12,0,0,1,21,Annual Review of Cell and Developmental Biology
22,6.721,CELL MOL LIFE SCI,56,0,0,5,6,0,6,6,3,2,2,26,Annual Review of Cell and Developmental Biology
23,6.138,SEMIN CELL DEV BIOL,54,0,0,3,5,3,3,1,3,8,2,26,Annual Review of Cell and Developmental Biology
24,5.540,PLOS GENET,50,0,0,3,6,2,3,2,5,2,3,24,Annual Review of Cell and Developmental Biology
25,5.949,PLANT PHYSIOL,44,0,1,0,1,2,7,1,0,6,1,25,Annual Review of Cell and Developmental Biology
26,9.251,CURR BIOL,42,0,2,4,3,6,6,3,3,0,1,14,Annual Review of Cell and Developmental Biology
27,4.019,FRONT MICROBIOL,42,1,0,3,2,1,3,1,3,0,1,27,Annual Review of Cell and Developmental Biology
28,3.495,BIOPHYS J,40,0,0,2,4,2,4,2,8,3,0,15,Annual Review of Cell and Developmental Biology
29,1.664,ONCOL LETT,39,0,0,0,0,0,0,6,0,2,0,31,Annual Review of Cell and Developmental Biology
30,5.354,J EXP BOT,38,0,2,1,3,1,3,1,2,2,2,21,Annual Review of Cell and Developmental Biology
31,6.158,PLOS PATHOG,37,0,0,1,1,1,4,5,3,2,1,19,Annual Review of Cell and Developmental Biology
32,3.309,EXP CELL RES,35,0,2,0,1,4,4,1,2,3,1,17,Annual Review of Cell and Developmental Biology
33,18.564,TRENDS CELL BIOL,34,0,2,3,3,3,5,5,3,2,0,8,Annual Review of Cell and Developmental Biology
34,10.015,CURR OPIN CELL BIOL,32,0,6,4,5,1,4,3,3,0,0,6,Annual Review of Cell and Developmental Biology
35,4.894,J MOL BIOL,32,0,1,0,7,0,2,4,1,0,0,17,Annual Review of Cell and Developmental Biology
36,4.300,FRONT CELL NEUROSCI,31,0,1,2,5,2,2,2,0,2,1,14,Annual Review of Cell and Developmental Biology
37,9.247,CSH PERSPECT BIOL,30,0,1,0,1,0,1,3,3,0,0,21,Annual Review of Cell and Developmental Biology
38,3.902,FRONT MOL NEUROSCI,30,0,1,1,5,2,0,2,3,1,0,15,Annual Review of Cell and Developmental Biology
39,3.394,FRONT PHYSIOL,30,0,0,0,5,1,1,0,1,2,0,20,Annual Review of Cell and Developmental Biology
40,4.075,GENETICS,30,0,1,6,3,2,2,1,2,2,1,10,Annual Review of Cell and Developmental Biology
41,1.922,MOL MED REP,30,0,0,1,1,0,0,3,1,1,1,22,Annual Review of Cell and Developmental Biology
42,19.064,NAT CELL BIOL,30,0,1,1,6,2,2,5,3,0,0,10,Annual Review of Cell and Developmental Biology
43,14.319,NEURON,30,1,0,3,9,1,2,1,0,3,0,10,Annual Review of Cell and Developmental Biology
44,41.577,NATURE,28,0,0,3,6,2,2,1,0,4,1,9,Annual Review of Cell and Developmental Biology
45,6.854,ONCOGENE,28,0,0,1,3,0,0,5,1,1,2,15,Annual Review of Cell and Developmental Biology
46,5.775,PLANT J,28,0,1,0,2,1,5,0,0,3,3,13,Annual Review of Cell and Developmental Biology
47,2.757,CURR PHARM DESIGN,27,0,0,1,2,0,0,1,0,0,0,23,Annual Review of Cell and Developmental Biology
48,7.433,NEW PHYTOL,27,0,0,0,0,3,14,0,3,2,0,5,Annual Review of Cell and Developmental Biology
49,3.457,BIOMED PHARMACOTHER,26,0,0,0,0,1,1,2,0,0,0,22,Annual Review of Cell and Developmental Biology
50,3.730,BMC GENOMICS,26,0,0,0,4,1,3,0,2,3,2,11,Annual Review of Cell and Developmental Biology
51,31.398,CELL,26,0,1,1,8,0,2,4,1,1,2,6,Annual Review of Cell and Developmental Biology
52,8.806,BIOMATERIALS,25,0,0,0,2,0,0,1,1,2,0,19,Annual Review of Cell and Developmental Biology
53,8.136,MATRIX BIOL,25,0,0,0,2,0,1,4,6,0,0,12,Annual Review of Cell and Developmental Biology
54,5.076,MOL NEUROBIOL,25,0,0,2,2,1,1,5,1,2,1,10,Annual Review of Cell and Developmental Biology
55,11.561,NUCLEIC ACIDS RES,25,0,0,2,4,0,1,2,0,0,4,12,Annual Review of Cell and Developmental Biology
56,5.216,RNA BIOL,25,0,0,2,3,0,0,0,0,5,0,15,Annual Review of Cell and Developmental Biology
57,6.537,STEM CELL REP,25,0,0,0,7,4,1,1,3,2,1,6,Annual Review of Cell and Developmental Biology
58,2.997,BIOCHEMISTRY-US,24,0,1,3,3,0,1,1,2,0,1,12,Annual Review of Cell and Developmental Biology
59,4.368,J VIROL,24,0,0,3,2,0,0,0,3,2,2,12,Annual Review of Cell and Developmental Biology
60,8.228,PLANT CELL,24,0,1,0,1,1,3,1,1,2,1,13,Annual Review of Cell and Developmental Biology
61,3.989,STEM CELLS INT,24,0,1,1,5,1,1,3,0,1,0,11,Annual Review of Cell and Developmental Biology
62,4.432,ACS BIOMATER SCI ENG,23,0,0,1,1,0,0,3,6,1,0,11,Annual Review of Cell and Developmental Biology
63,2.217,BIOL OPEN,23,0,0,2,1,0,3,1,5,3,0,8,Annual Review of Cell and Developmental Biology
