,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,3370,108,344,303,294,254,197,182,174,154,157,1203,Annual Review of Cell and Developmental Biology
2, ,ALL OTHERS (278),278,17,28,28,27,12,19,18,15,12,12,90,Annual Review of Cell and Developmental Biology
3,41.577,NATURE,213,13,23,12,18,13,10,9,9,10,7,89,Annual Review of Cell and Developmental Biology
4,31.398,CELL,196,3,14,21,14,10,14,6,5,8,9,92,Annual Review of Cell and Developmental Biology
5,9.504,P NATL ACAD SCI USA,179,1,16,9,16,19,6,9,13,11,10,69,Annual Review of Cell and Developmental Biology
6,8.784,J CELL BIOL,145,0,5,10,4,9,1,8,8,3,7,90,Annual Review of Cell and Developmental Biology
7,41.058,SCIENCE,143,4,13,19,9,6,14,7,7,3,5,56,Annual Review of Cell and Developmental Biology
8,4.011,J BIOL CHEM,135,2,7,7,4,7,2,4,10,5,10,77,Annual Review of Cell and Developmental Biology
9,9.251,CURR BIOL,111,2,8,13,7,11,4,3,7,10,9,37,Annual Review of Cell and Developmental Biology
10,9.616,DEV CELL,78,1,11,9,9,6,4,4,5,0,3,26,Annual Review of Cell and Developmental Biology
11,5.413,DEVELOPMENT,73,0,2,3,7,6,3,2,7,3,6,34,Annual Review of Cell and Developmental Biology
12,4.401,J CELL SCI,66,2,4,1,5,2,6,5,3,4,5,29,Annual Review of Cell and Developmental Biology
13,14.248,MOL CELL,62,2,3,8,6,6,3,4,4,2,0,24,Annual Review of Cell and Developmental Biology
14,19.064,NAT CELL BIOL,62,1,8,5,4,4,4,2,1,2,5,26,Annual Review of Cell and Developmental Biology
15,3.512,MOL BIOL CELL,61,2,5,4,5,2,5,1,5,4,3,25,Annual Review of Cell and Developmental Biology
16,7.616,ELIFE,55,4,22,15,10,4,0,0,0,0,0,0,Annual Review of Cell and Developmental Biology
17,10.557,EMBO J,53,1,3,1,2,2,3,3,6,1,0,31,Annual Review of Cell and Developmental Biology
18,9.462,GENE DEV,47,0,1,3,2,2,1,0,4,2,1,31,Annual Review of Cell and Developmental Biology
19,2.766,PLOS ONE,46,0,2,2,10,6,3,9,5,6,2,1,Annual Review of Cell and Developmental Biology
20,35.612,NAT REV MOL CELL BIO,43,1,4,2,2,4,3,4,5,7,4,7,Annual Review of Cell and Developmental Biology
21,12.353,NAT COMMUN,41,5,12,4,17,3,0,0,0,0,0,0,Annual Review of Cell and Developmental Biology
22,3.262,DEV BIOL,34,0,0,2,0,3,2,2,1,1,0,23,Annual Review of Cell and Developmental Biology
23,10.790,J EXP MED,30,0,2,3,1,2,0,5,1,1,0,15,Annual Review of Cell and Developmental Biology
24,11.561,NUCLEIC ACIDS RES,29,1,10,3,5,1,0,3,0,0,0,6,Annual Review of Cell and Developmental Biology
25,9.163,PLOS BIOL,28,0,4,1,0,4,0,1,5,3,2,8,Annual Review of Cell and Developmental Biology
26,4.539,J IMMUNOL,27,0,2,3,3,4,2,0,0,2,0,11,Annual Review of Cell and Developmental Biology
27,8.032,CELL REP,26,1,8,3,5,2,7,0,0,0,0,0,Annual Review of Cell and Developmental Biology
28,13.333,NAT STRUCT MOL BIOL,25,1,1,2,4,5,3,2,1,2,2,2,Annual Review of Cell and Developmental Biology
29,10.101,GENOME RES,21,2,1,3,3,0,3,2,2,0,0,5,Annual Review of Cell and Developmental Biology
30,5.540,PLOS GENET,21,1,0,4,1,5,2,4,1,1,0,2,Annual Review of Cell and Developmental Biology
31,23.290,CELL STEM CELL,20,1,7,3,2,4,0,0,1,1,0,1,Annual Review of Cell and Developmental Biology
32,18.564,TRENDS CELL BIOL,19,1,2,4,2,2,0,1,0,1,2,4,Annual Review of Cell and Developmental Biology
33,20.154,ANNU REV BIOCHEM,18,0,0,0,1,7,2,0,1,2,0,5,Annual Review of Cell and Developmental Biology
34,10.015,CURR OPIN CELL BIOL,18,2,3,1,2,2,2,3,1,0,0,2,Annual Review of Cell and Developmental Biology
35,3.813,MOL CELL BIOL,18,0,0,0,2,0,2,0,0,0,0,14,Annual Review of Cell and Developmental Biology
36,21.809,NAT IMMUNOL,18,1,3,2,3,2,1,0,3,0,1,2,Annual Review of Cell and Developmental Biology
37,14.319,NEURON,18,0,2,2,1,0,2,0,1,0,1,9,Annual Review of Cell and Developmental Biology
38,27.125,NAT GENET,17,0,0,3,1,0,0,1,0,1,1,10,Annual Review of Cell and Developmental Biology
39,41.465,NAT REV GENET,17,0,3,2,2,3,1,2,0,1,1,2,Annual Review of Cell and Developmental Biology
40,3.285,VACCINE,17,0,0,2,1,1,0,2,2,0,4,5,Annual Review of Cell and Developmental Biology
41,3.495,BIOPHYS J,16,0,0,2,1,1,2,0,2,1,2,5,Annual Review of Cell and Developmental Biology
42,2.999,FEBS LETT,16,0,1,3,1,0,0,1,2,0,2,6,Annual Review of Cell and Developmental Biology
