Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"9,812",9.032,9.032,17.691,0.680,25,10.6,7.0,0.017,8.826,0.00,1.97400,91.62900,Annual Review of Cell and Developmental Biology
2016,"9,131",14.917,14.833,20.121,0.310,29,>10.0,7.0,0.02034,10.101,0.00,2.33390,96.62700,Annual Review of Cell and Developmental Biology
2015,"8,992",12.755,12.673,19.319,0.182,33,>10.0,6.7,0.02057,10.075,0.00,2.34448,96.31500,Annual Review of Cell and Developmental Biology
2014,"9,301",16.660,16.620,21.326,0.481,27,9.3,6.3,0.02356,10.990,0.00,2.63855,97.08000,Annual Review of Cell and Developmental Biology
2013,"9,224",20.241,20.172,19.672,0.864,22,8.9,6.3,0.02483,10.877,0.00,2.73653,97.90400,Annual Review of Cell and Developmental Biology
2012,"8,866",17.983,17.827,19.806,0.786,28,8.5,6.4,0.02601,11.113,0.00,Not Available,97.63300,Annual Review of Cell and Developmental Biology
2011,"8,399",15.836,15.709,19.733,0.733,30,8.0,6.0,0.02744,11.421,0.00,Not Available,97.57900,Annual Review of Cell and Developmental Biology
2010,"8,414",14.078,13.960,22.924,0.714,28,7.6,5.7,0.03385,13.318,0.00,Not Available,96.95400,Annual Review of Cell and Developmental Biology
2009,"8,328",19.571,19.510,25.533,0.704,27,7.0,5.5,0.04372,15.561,0.00,Not Available,97.91700,Annual Review of Cell and Developmental Biology
2008,"8,063",22.731,22.673,26.058,1.167,24,7.1,5.2,0.04961,16.220,0.00,Not Available,98.22700,Annual Review of Cell and Developmental Biology
2007,"7,867",23.545,23.472,25.642,1.320,25,6.7,5.4,0.05289,16.606,0.00,Not Available,98.20300,Annual Review of Cell and Developmental Biology
2006,"7,499",26.576,26.406,Not Available,1.000,27,6.3,4.9,Not Available,Not Available,0.00,Not Available,98.14300,Annual Review of Cell and Developmental Biology
2005,"7,097",23.690,23.551,Not Available,0.857,28,6.3,4.6,Not Available,Not Available,0.00,Not Available,98.09900,Annual Review of Cell and Developmental Biology
2004,"6,956",17.804,17.666,Not Available,0.548,31,6.2,4.6,Not Available,Not Available,0.00,Not Available,97.79100,Annual Review of Cell and Developmental Biology
2003,"6,646",22.638,22.382,Not Available,0.370,27,5.9,4.0,Not Available,Not Available,0.00,Not Available,98.12100,Annual Review of Cell and Developmental Biology
2002,"6,482",22.870,22.630,Not Available,0.792,24,5.8,4.0,Not Available,Not Available,0.00,Not Available,98.09900,Annual Review of Cell and Developmental Biology
2001,"6,414",27.106,26.978,Not Available,0.304,23,5.7,3.7,Not Available,Not Available,0.00,Not Available,98.54900,Annual Review of Cell and Developmental Biology
2000,"6,335",26.300,26.050,Not Available,0.522,23,5.8,4.5,Not Available,Not Available,0.00,Not Available,98.55200,Annual Review of Cell and Developmental Biology
1999,"6,170",26.263,26.263,Not Available,0.375,24,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,98.47600,Annual Review of Cell and Developmental Biology
1998,"6,027",21.386,21.295,Not Available,0.875,16,5.9,3.9,Not Available,Not Available,12.50,Not Available,98.22800,Annual Review of Cell and Developmental Biology
1997,"5,607",19.000,19.000,Not Available,0.682,22,6.4,3.5,Not Available,Not Available,4.55,Not Available,98.34200,Annual Review of Cell and Developmental Biology
