,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,13320,66,171,416,469,366,864,719,425,701,770,8353,Annual Review of Neuroscience
2,,ALL OTHERS (1048),1048,4,7,16,26,13,54,39,19,54,71,745,Annual Review of Neuroscience
3,4.122,SCI REP-UK,544,2,4,14,12,19,55,30,18,32,31,327,Annual Review of Neuroscience
4,5.971,J NEUROSCI,395,3,7,15,21,27,25,26,19,18,25,209,Annual Review of Neuroscience
5,14.319,NEURON,254,3,4,11,17,15,10,24,13,10,20,127,Annual Review of Neuroscience
6,2.766,PLOS ONE,244,3,2,4,4,6,22,9,7,12,11,164,Annual Review of Neuroscience
7,5.426,NEUROIMAGE,212,0,1,14,14,5,11,8,9,20,3,127,Annual Review of Neuroscience
8,6.308,CEREB CORTEX,205,0,4,6,7,4,16,8,11,16,6,127,Annual Review of Neuroscience
9,7.616,ELIFE,199,3,6,9,9,13,16,18,9,4,16,96,Annual Review of Neuroscience
10,2.502,J NEUROPHYSIOL,193,0,2,5,6,6,6,15,12,4,22,115,Annual Review of Neuroscience
11,9.504,P NATL ACAD SCI USA,164,1,5,8,8,10,12,10,11,6,9,84,Annual Review of Neuroscience
12,12.353,NAT COMMUN,162,1,2,8,12,6,15,12,5,6,6,89,Annual Review of Neuroscience
13,3.382,NEUROSCIENCE,158,0,0,5,4,4,8,9,8,12,5,103,Annual Review of Neuroscience
14,8.037,NEUROSCI BIOBEHAV R,146,2,1,8,9,1,4,2,5,10,5,99,Annual Review of Neuroscience
15,,FRONT PSYCHOL,138,0,1,7,5,4,13,2,5,3,9,89,Annual Review of Neuroscience
16,4.300,FRONT CELL NEUROSCI,128,1,1,1,4,5,17,15,8,9,11,56,Annual Review of Neuroscience
17,3.877,FRONT NEUROSCI-SWITZ,126,1,1,9,3,2,9,8,5,9,9,70,Annual Review of Neuroscience
18,2.871,FRONT HUM NEUROSCI,109,0,2,2,1,0,8,4,5,6,3,78,Annual Review of Neuroscience
19,8.032,CELL REP,103,7,3,5,5,9,6,9,4,8,7,40,Annual Review of Neuroscience
20,,ENEURO,102,0,2,6,2,5,6,11,5,5,6,54,Annual Review of Neuroscience
21,2.889,NEUROPSYCHOLOGIA,102,1,1,3,5,2,2,11,8,5,5,59,Annual Review of Neuroscience
22,19.912,NAT NEUROSCI,98,0,3,6,2,9,7,6,5,6,7,47,Annual Review of Neuroscience
23,3.173,BEHAV BRAIN RES,91,0,1,4,2,1,4,5,0,1,5,68,Annual Review of Neuroscience
