,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,4147,34,352,371,332,332,267,238,179,188,165,1689,Annual Review of Neuroscience
2, ,ALL OTHERS (391),391,6,33,41,30,27,22,18,10,13,13,178,Annual Review of Neuroscience
3,5.971,J NEUROSCI,368,1,13,27,21,43,28,27,18,17,17,156,Annual Review of Neuroscience
4,14.319,NEURON,316,8,32,31,29,30,31,26,12,24,16,77,Annual Review of Neuroscience
5,41.577,NATURE,250,0,19,18,21,14,25,15,12,12,10,104,Annual Review of Neuroscience
6,9.504,P NATL ACAD SCI USA,187,2,11,13,7,19,15,20,11,10,7,72,Annual Review of Neuroscience
7,19.912,NAT NEUROSCI,180,1,24,15,21,19,9,14,13,6,15,43,Annual Review of Neuroscience
8,41.058,SCIENCE,173,0,8,10,13,10,5,3,4,3,11,106,Annual Review of Neuroscience
9,2.502,J NEUROPHYSIOL,109,1,3,3,6,3,3,3,2,6,2,77,Annual Review of Neuroscience
10,9.251,CURR BIOL,86,1,9,15,17,10,6,3,8,1,6,10,Annual Review of Neuroscience
11,31.398,CELL,76,0,13,8,11,13,9,2,1,4,1,14,Annual Review of Neuroscience
12,3.400,J COMP NEUROL,66,0,1,1,3,4,0,6,2,0,0,49,Annual Review of Neuroscience
13,2.766,PLOS ONE,66,0,10,8,6,8,15,5,3,7,4,0,Annual Review of Neuroscience
14,6.541,CURR OPIN NEUROBIOL,50,0,7,1,10,6,3,4,3,0,1,15,Annual Review of Neuroscience
15,7.616,ELIFE,47,2,19,20,4,2,0,0,0,0,0,0,Annual Review of Neuroscience
16,32.635,NAT REV NEUROSCI,47,0,6,5,2,2,2,2,3,6,3,16,Annual Review of Neuroscience
17,6.308,CEREB CORTEX,45,0,4,3,2,2,6,3,0,5,1,19,Annual Review of Neuroscience
18,14.675,ANNU REV NEUROSCI,39,0,5,1,3,2,2,0,0,0,8,18,Annual Review of Neuroscience
19,4.418,HORM BEHAV,36,0,8,1,1,0,1,1,1,2,2,19,Annual Review of Neuroscience
20,10.848,BRAIN,32,1,2,0,2,2,2,1,2,0,1,19,Annual Review of Neuroscience
21,3.125,BRAIN RES,32,0,0,1,1,0,2,0,2,1,0,25,Annual Review of Neuroscience
22,4.540,J PHYSIOL-LONDON,32,0,5,1,0,0,2,0,0,0,3,21,Annual Review of Neuroscience
23,27.125,NAT GENET,31,0,1,0,2,4,3,1,1,2,2,15,Annual Review of Neuroscience
24,11.439,TRENDS NEUROSCI,31,1,1,1,0,1,1,3,4,0,0,19,Annual Review of Neuroscience
25,2.517,PHYSIOL BEHAV,30,0,1,1,1,1,0,0,0,1,0,25,Annual Review of Neuroscience
26,3.382,NEUROSCIENCE,29,0,0,4,1,0,0,0,2,4,1,17,Annual Review of Neuroscience
27,3.067,ANIM BEHAV,28,0,0,1,3,0,1,0,1,1,0,21,Annual Review of Neuroscience
28,2.832,EUR J NEUROSCI,28,0,2,0,2,4,2,1,1,0,1,15,Annual Review of Neuroscience
29,12.353,NAT COMMUN,26,0,3,9,10,2,1,1,0,0,0,0,Annual Review of Neuroscience
30,1.806,EXP BRAIN RES,24,0,0,0,0,1,0,0,0,1,0,22,Annual Review of Neuroscience
31,5.559,PAIN,23,0,0,1,2,1,1,1,4,2,2,9,Annual Review of Neuroscience
32,3.173,BEHAV BRAIN RES,22,0,3,2,3,0,3,2,1,0,2,6,Annual Review of Neuroscience
33,2.507,BEHAV NEUROSCI,21,0,0,1,2,0,0,0,0,2,1,15,Annual Review of Neuroscience
34,15.557,TRENDS COGN SCI,21,0,2,2,1,1,3,2,2,3,1,4,Annual Review of Neuroscience
35,10.250,ANN NEUROL,20,0,3,1,2,2,1,0,0,1,0,10,Annual Review of Neuroscience
36,8.032,CELL REP,20,1,7,5,3,3,1,0,0,0,0,0,Annual Review of Neuroscience
37,3.179,J EXP BIOL,20,1,0,2,1,0,1,1,0,0,2,12,Annual Review of Neuroscience
38,5.227,NEUROBIOL DIS,20,1,5,4,2,4,0,0,1,1,2,0,Annual Review of Neuroscience
39,26.919,NAT METHODS,19,0,3,4,2,5,1,1,0,1,1,1,Annual Review of Neuroscience
40,9.163,PLOS BIOL,18,0,4,2,0,0,1,1,2,2,0,6,Annual Review of Neuroscience
41,3.955,PLOS COMPUT BIOL,18,0,3,2,0,3,3,4,0,1,0,2,Annual Review of Neuroscience
42,7.230,PSYCHOL REV,18,0,0,1,0,0,1,0,0,0,0,16,Annual Review of Neuroscience
43,15.876,ACTA NEUROPATHOL,17,0,1,2,3,0,0,3,0,0,0,8,Annual Review of Neuroscience
44,1.651,NEURAL COMPUT,17,0,0,1,1,1,0,0,0,0,1,13,Annual Review of Neuroscience
45,4.122,SCI REP-UK,17,0,6,7,1,3,0,0,0,0,0,0,Annual Review of Neuroscience
46,1.927,VISUAL NEUROSCI,17,0,0,0,1,0,1,1,0,0,0,14,Annual Review of Neuroscience
47,4.011,J BIOL CHEM,16,0,0,1,0,0,1,2,1,1,1,9,Annual Review of Neuroscience
48,8.324,MOVEMENT DISORD,16,0,4,2,1,0,0,0,0,1,0,8,Annual Review of Neuroscience
49,4.483,EXP NEUROL,15,0,0,0,1,5,0,1,2,2,1,3,Annual Review of Neuroscience
50,3.131,FRONT NEURAL CIRCUIT,15,0,1,1,1,10,1,0,0,1,0,0,Annual Review of Neuroscience
51,5.666,PHILOS T R SOC B,14,0,1,1,0,0,0,2,0,0,1,9,Annual Review of Neuroscience
52,3.966,HIPPOCAMPUS,13,0,1,2,1,1,2,1,0,1,0,4,Annual Review of Neuroscience
53,1.970,J COMP PHYSIOL A,13,0,0,0,2,0,1,0,0,0,0,10,Annual Review of Neuroscience
54,6.306,BRAIN BEHAV IMMUN,12,0,2,4,1,1,1,1,1,0,1,0,Annual Review of Neuroscience
55,11.640,MOL PSYCHIATR,12,0,3,3,2,2,0,1,0,0,0,1,Annual Review of Neuroscience
56,4.454,NEUROBIOL AGING,12,0,0,1,1,0,3,1,1,0,1,4,Annual Review of Neuroscience
57,5.426,NEUROIMAGE,11,0,1,0,1,2,0,1,1,2,1,2,Annual Review of Neuroscience
58,8.055,NEUROLOGY,11,0,1,1,2,0,1,2,0,0,0,4,Annual Review of Neuroscience
59,79.260,NEW ENGL J MED,11,0,0,0,0,1,0,1,2,0,0,7,Annual Review of Neuroscience
60,3.490,J NEUROPATH EXP NEUR,10,0,0,1,0,1,0,0,0,1,1,6,Annual Review of Neuroscience
61,8.037,NEUROSCI BIOBEHAV R,10,0,1,1,0,0,1,1,2,0,1,3,Annual Review of Neuroscience
62,2.069,VISION RES,10,0,1,0,1,0,0,0,1,0,0,7,Annual Review of Neuroscience
63,4.419,BIOESSAYS,9,0,1,0,1,0,2,1,0,0,0,4,Annual Review of Neuroscience
64,11.984,BIOL PSYCHIAT,9,1,1,2,0,1,1,0,0,0,0,3,Annual Review of Neuroscience
65,10.557,EMBO J,9,0,1,1,1,0,0,0,0,0,0,6,Annual Review of Neuroscience
66,3.961,ENDOCRINOLOGY,9,0,1,1,0,0,0,0,1,0,0,6,Annual Review of Neuroscience
67,1.606,J COMPUT NEUROSCI,9,0,0,0,0,1,0,1,0,1,0,6,Annual Review of Neuroscience
68,3.392,J NEUROENDOCRINOL,9,0,0,1,0,0,0,3,1,0,0,4,Annual Review of Neuroscience
69,3.842,NEUROGASTROENT MOTIL,9,0,2,0,3,3,0,1,0,0,0,0,Annual Review of Neuroscience
70,3.174,PROG BRAIN RES,9,0,1,0,0,0,0,1,0,0,0,7,Annual Review of Neuroscience
