Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"13,320",14.675,14.525,19.878,2.444,27,12.8,7.8,0.016,10.172,0.00,1.88200,97.89300,Annual Review of Neuroscience
2016,"13,211",15.630,15.586,22.067,1.474,19,>10.0,7.6,0.02061,11.942,0.00,2.36745,99.03500,Annual Review of Neuroscience
2015,"13,125",14.265,14.204,22.563,3.000,21,>10.0,7.6,0.02068,11.493,0.00,2.35736,98.24200,Annual Review of Neuroscience
2014,"13,226",19.320,19.200,25.920,1.320,25,>10.0,6.4,0.02423,13.624,0.00,2.71361,98.61100,Annual Review of Neuroscience
2013,"13,345",22.660,22.520,28.613,1.542,24,>10.0,7.0,0.02776,15.009,0.00,3.05949,99.40500,Annual Review of Neuroscience
2012,"12,638",20.614,20.522,31.028,3.115,26,>10.0,6.7,0.03183,17.030,0.00,Not Available,99.40500,Annual Review of Neuroscience
2011,"11,948",25.737,25.578,31.058,2.458,24,9.9,7.9,0.03054,16.169,0.00,Not Available,99.38500,Annual Review of Neuroscience
2010,"11,465",26.756,26.560,30.559,2.350,20,9.2,7.0,0.03328,16.820,0.00,Not Available,99.37200,Annual Review of Neuroscience
2009,"10,990",24.822,24.711,32.618,2.667,18,8.5,6.1,0.04416,19.291,0.00,Not Available,99.35100,Annual Review of Neuroscience
2008,"10,132",26.405,26.190,31.209,3.348,23,7.7,6.8,0.04611,18.915,0.00,Not Available,99.77400,Annual Review of Neuroscience
2007,"9,652",26.077,25.948,30.495,2.409,22,7.1,7.0,0.04277,17.191,0.00,Not Available,99.76300,Annual Review of Neuroscience
2006,"9,139",28.533,28.222,Not Available,3.050,20,6.8,5.7,Not Available,Not Available,5.00,Not Available,99.75000,Annual Review of Neuroscience
2005,"8,563",24.184,23.938,Not Available,2.263,19,6.3,5.8,Not Available,Not Available,0.00,Not Available,99.75000,Annual Review of Neuroscience
2004,"8,093",23.143,22.976,Not Available,2.154,26,6.3,5.9,Not Available,Not Available,0.00,Not Available,99.74700,Annual Review of Neuroscience
2003,"7,925",30.167,29.966,Not Available,2.000,23,6.5,4.4,Not Available,Not Available,0.00,Not Available,99.74700,Annual Review of Neuroscience
2002,"7,348",24.091,23.909,Not Available,2.053,19,6.7,5.9,Not Available,Not Available,0.00,Not Available,99.74600,Annual Review of Neuroscience
2001,"7,063",27.152,26.826,Not Available,3.537,41,6.9,5.8,Not Available,Not Available,0.00,Not Available,99.74700,Annual Review of Neuroscience
2000,"6,708",26.676,26.270,Not Available,3.840,25,6.9,5.9,Not Available,Not Available,0.00,Not Available,99.75400,Annual Review of Neuroscience
1999,"6,824",22.605,22.368,Not Available,6.048,21,6.3,5.5,Not Available,Not Available,0.00,Not Available,99.75100,Annual Review of Neuroscience
1998,"6,463",23.023,22.954,Not Available,3.625,16,6.2,5.8,Not Available,Not Available,0.00,Not Available,99.75200,Annual Review of Neuroscience
1997,"6,023",21.952,21.928,Not Available,2.682,22,6.2,5.2,Not Available,Not Available,0.00,Not Available,99.66700,Annual Review of Neuroscience
