,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,14923,282,1757,1684,1810,1521,1723,1387,1103,1039,1123,1494,Autophagy
2,,ALL OTHERS (476),476,4,46,67,63,58,60,40,31,38,32,37,Autophagy
3,11.100,AUTOPHAGY,679,3,82,75,99,61,69,61,54,44,51,80,Autophagy
4,4.122,SCI REP-UK,656,6,77,79,72,76,96,64,40,41,36,69,Autophagy
5,,ONCOTARGET,616,18,73,62,63,64,70,68,50,44,37,67,Autophagy
6,3.687,INT J MOL SCI,339,17,40,38,52,23,27,28,34,26,28,26,Autophagy
7,5.638,CELL DEATH DIS,294,10,37,42,44,29,22,20,18,20,24,28,Autophagy
8,2.766,PLOS ONE,244,3,25,24,30,26,37,15,19,21,18,26,Autophagy
9,1.984,METHOD ENZYMOL,222,0,28,19,22,20,19,26,12,19,20,37,Autophagy
10,4.829,CELLS-BASEL,170,8,20,18,14,13,18,23,13,11,14,18,Autophagy
11,3.902,FRONT MOL NEUROSCI,148,2,14,23,16,16,16,14,22,8,8,9,Autophagy
12,4.936,OXID MED CELL LONGEV,148,2,21,19,11,21,16,20,10,13,5,10,Autophagy
13,5.511,FRONT IMMUNOL,132,6,23,14,15,9,9,12,8,13,8,15,Autophagy
14,2.559,BIOCHEM BIOPH RES CO,125,8,15,21,12,9,12,8,12,6,12,10,Autophagy
15,12.353,NAT COMMUN,119,2,17,14,14,12,15,8,6,7,9,15,Autophagy
16,5.500,CELL PHYSIOL BIOCHEM,116,4,19,5,14,9,15,15,10,3,5,17,Autophagy
17,4.011,J BIOL CHEM,114,0,9,7,9,15,11,18,8,11,11,15,Autophagy
18,,AUT CANC OTH PATHXB,102,0,5,4,11,5,15,18,4,15,6,19,Autophagy
19,3.761,VIRUSES-BASEL,100,2,15,11,12,9,9,6,4,7,16,9,Autophagy
20,5.076,MOL NEUROBIOL,97,0,3,7,13,12,20,9,9,5,11,8,Autophagy
21,3.457,BIOMED PHARMACOTHER,94,2,8,5,7,9,20,9,9,6,9,10,Autophagy
22,1.922,MOL MED REP,83,0,9,10,9,7,12,11,4,6,3,12,Autophagy
23,9.504,P NATL ACAD SCI USA,83,2,10,6,13,11,12,6,7,1,6,9,Autophagy
24,10.557,EMBO J,79,1,11,4,10,7,6,4,15,5,6,10,Autophagy
25,1.664,ONCOL LETT,76,0,5,9,4,7,11,10,6,5,9,10,Autophagy
26,6.491,CANCER LETT,75,6,10,13,12,7,9,6,3,4,2,3,Autophagy
27,3.520,FRONT CELL INFECT MI,74,1,10,5,9,3,7,5,3,7,5,19,Autophagy
28,8.000,CELL DEATH DIFFER,71,0,8,9,11,5,10,6,6,6,4,6,Autophagy
29,7.616,ELIFE,70,0,6,9,9,7,3,8,6,8,7,7,Autophagy
30,6.158,PLOS PATHOG,70,1,11,3,4,5,6,7,10,6,5,12,Autophagy
31,14.163,PROG NEUROBIOL,70,1,14,9,8,5,7,2,9,7,1,7,Autophagy
32,6.854,ONCOGENE,67,0,12,10,12,8,10,1,2,5,2,5,Autophagy
33,7.126,REDOX BIOL,67,3,14,6,5,10,8,1,4,1,3,12,Autophagy
34,4.651,BBA-MOL CELL RES,63,0,8,10,4,12,3,10,9,0,2,5,Autophagy
35,2.976,ONCOL REP,63,2,7,5,11,7,4,7,3,4,8,5,Autophagy
36,4.894,J MOL BIOL,62,1,7,6,9,11,7,4,8,2,5,2,Autophagy
37,6.020,FREE RADICAL BIO MED,61,0,8,10,7,5,10,9,4,2,2,4,Autophagy
38,4.416,FRONT ONCOL,59,3,8,6,11,10,3,6,4,2,2,4,Autophagy
39,2.159,NEUROSCI LETT,57,0,1,9,7,5,5,7,3,5,8,7,Autophagy
40,8.973,AGEING RES REV,54,1,2,7,6,4,6,8,3,5,5,7,Autophagy
41,4.902,HUM MOL GENET,52,1,10,3,6,5,5,7,5,3,4,3,Autophagy
42,4.302,J CELL MOL MED,52,0,2,3,5,8,13,6,2,7,4,2,Autophagy
43,6.530,ANTIOXID REDOX SIGN,47,0,4,3,8,3,10,5,7,4,1,2,Autophagy
44,4.235,BIOCHEM PHARMACOL,47,0,5,4,14,4,3,3,5,2,3,4,Autophagy
45,3.895,CELL MOL NEUROBIOL,46,0,2,7,10,1,7,1,3,0,10,5,Autophagy
46,4.401,J CELL SCI,46,6,3,5,4,8,4,5,3,1,2,5,Autophagy
