,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,9470,51,558,932,969,955,798,744,689,586,495,2693,Autophagy
2, ,ALL OTHERS (579),579,1,39,73,71,60,54,32,32,30,21,166,Autophagy
3,11.100,AUTOPHAGY,679,3,82,75,99,61,69,61,54,44,51,80,Autophagy
4,4.011,J BIOL CHEM,460,0,9,18,19,18,32,25,37,26,24,252,Autophagy
5,41.577,NATURE,326,0,7,31,18,36,19,18,16,16,41,124,Autophagy
6,31.398,CELL,298,1,6,8,19,32,28,31,42,20,21,90,Autophagy
7,9.504,P NATL ACAD SCI USA,254,0,9,16,15,14,21,21,23,14,18,103,Autophagy
8,8.784,J CELL BIOL,240,0,9,10,14,25,8,12,22,6,25,109,Autophagy
9,41.058,SCIENCE,204,0,5,11,4,11,16,42,12,13,9,81,Autophagy
10,19.064,NAT CELL BIOL,192,1,4,27,8,24,8,23,31,16,14,36,Autophagy
11,2.766,PLOS ONE,152,2,5,15,29,28,29,17,13,8,5,1,Autophagy
12,10.557,EMBO J,147,2,5,12,3,11,14,17,10,7,4,62,Autophagy
13,14.248,MOL CELL,140,2,11,23,25,9,9,13,11,20,7,10,Autophagy
14,3.512,MOL BIOL CELL,119,0,0,5,7,6,7,1,5,15,22,51,Autophagy
15,4.401,J CELL SCI,104,0,2,7,8,20,15,5,2,5,2,38,Autophagy
16,9.130,CANCER RES,103,0,0,3,9,10,9,4,7,7,7,47,Autophagy
17,35.612,NAT REV MOL CELL BIO,93,0,1,4,7,10,5,10,1,12,5,38,Autophagy
18,13.251,J CLIN INVEST,82,0,2,24,9,6,4,4,6,4,4,19,Autophagy
19,8.000,CELL DEATH DIFFER,80,1,3,11,8,9,2,5,4,16,1,20,Autophagy
20,3.813,MOL CELL BIOL,78,0,3,3,1,3,6,2,5,4,4,47,Autophagy
21,2.559,BIOCHEM BIOPH RES CO,69,0,8,4,8,9,8,6,5,5,4,12,Autophagy
22,4.902,HUM MOL GENET,68,0,3,9,4,6,5,7,3,6,5,20,Autophagy
23,12.353,NAT COMMUN,66,0,10,20,21,13,2,0,0,0,0,0,Autophagy
24,9.616,DEV CELL,63,1,2,11,6,2,3,7,0,6,5,20,Autophagy
25,2.999,FEBS LETT,62,0,5,2,3,4,1,2,23,0,1,21,Autophagy
26,9.462,GENE DEV,62,0,3,3,1,7,2,7,3,1,4,31,Autophagy
27, ,ONCOTARGET,62,1,20,26,11,3,1,0,0,0,0,0,Autophagy
28,6.854,ONCOGENE,59,0,4,8,3,10,2,4,5,2,3,18,Autophagy
29,18.564,TRENDS CELL BIOL,54,0,13,10,7,1,4,4,7,1,1,6,Autophagy
30,20.565,CELL METAB,51,0,4,1,12,3,3,7,5,2,6,8,Autophagy
31,5.971,J NEUROSCI,50,0,1,3,7,5,3,5,1,4,3,18,Autophagy
32,42.784,NAT REV CANCER,50,0,2,2,4,2,9,0,4,1,4,22,Autophagy
33,4.539,J IMMUNOL,49,0,2,8,4,2,4,6,3,6,2,12,Autophagy
