,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,8900,70,258,164,308,703,325,179,613,287,286,5707,BEHAVIORAL AND BRAIN SCIENCES
2,,ALL OTHERS (1001),1001,5,9,15,35,29,35,31,89,32,24,697,BEHAVIORAL AND BRAIN SCIENCES
3,,FRONT PSYCHOL,419,16,16,12,12,38,8,6,26,11,21,253,BEHAVIORAL AND BRAIN SCIENCES
4,2.766,PLOS ONE,182,2,4,2,5,15,5,2,14,5,7,121,BEHAVIORAL AND BRAIN SCIENCES
5,4.122,SCI REP-UK,169,1,5,1,2,14,11,0,7,3,4,121,BEHAVIORAL AND BRAIN SCIENCES
6,,CONSCIOUS COGN,113,0,9,1,2,16,3,1,2,5,2,72,BEHAVIORAL AND BRAIN SCIENCES
7,8.037,NEUROSCI BIOBEHAV R,110,0,2,2,10,5,4,2,7,1,10,67,BEHAVIORAL AND BRAIN SCIENCES
8,,COGNITION,108,0,3,2,2,16,3,9,14,0,5,54,BEHAVIORAL AND BRAIN SCIENCES
9,2.871,FRONT HUM NEUROSCI,86,2,5,3,2,11,5,0,3,0,1,54,BEHAVIORAL AND BRAIN SCIENCES
10,15.071,BEHAV BRAIN SCI,78,1,3,4,4,12,4,3,4,5,2,36,BEHAVIORAL AND BRAIN SCIENCES
11,,PSYCHON B REV,78,2,2,1,12,1,0,3,1,1,3,52,BEHAVIORAL AND BRAIN SCIENCES
12,,PERS INDIV DIFFER,76,2,1,0,1,2,2,0,11,13,1,43,BEHAVIORAL AND BRAIN SCIENCES
13,9.504,P NATL ACAD SCI USA,75,0,10,2,6,6,1,0,9,1,2,38,BEHAVIORAL AND BRAIN SCIENCES
14,,COGNITIVE SCI,70,0,2,1,0,6,0,6,4,5,9,37,BEHAVIORAL AND BRAIN SCIENCES
15,3.623,EVOL HUM BEHAV,64,2,3,0,0,9,5,0,4,7,0,34,BEHAVIORAL AND BRAIN SCIENCES
16,,J EXP PSYCHOL GEN,62,0,2,1,4,5,0,1,14,4,3,28,BEHAVIORAL AND BRAIN SCIENCES
17,15.557,TRENDS COGN SCI,60,0,6,2,1,7,1,0,5,3,7,28,BEHAVIORAL AND BRAIN SCIENCES
18,2.889,NEUROPSYCHOLOGIA,57,0,0,1,0,5,2,2,1,3,4,39,BEHAVIORAL AND BRAIN SCIENCES
19,2.086,LANG COGN NEUROSCI,53,0,0,1,0,9,1,0,1,3,1,37,BEHAVIORAL AND BRAIN SCIENCES
20,5.426,NEUROIMAGE,53,0,0,1,3,7,2,0,2,3,1,34,BEHAVIORAL AND BRAIN SCIENCES
21,2.289,J EXP PSYCHOL HUMAN,52,0,7,1,1,7,0,0,0,1,1,34,BEHAVIORAL AND BRAIN SCIENCES
22,3.500,SOC COGN AFFECT NEUR,50,1,1,0,7,6,14,1,2,0,1,17,BEHAVIORAL AND BRAIN SCIENCES
23,1.034,SYNTHESE,48,0,2,0,3,1,0,2,1,3,2,34,BEHAVIORAL AND BRAIN SCIENCES
24,,PHILOS PSYCHOL,47,0,4,0,2,3,1,3,3,3,3,25,BEHAVIORAL AND BRAIN SCIENCES
25,,J CONSCIOUSNESS STUD,45,0,2,0,3,5,0,0,0,1,0,34,BEHAVIORAL AND BRAIN SCIENCES
26,2.319,J EXP PSYCHOL LEARN,43,0,0,0,1,5,1,0,0,0,0,36,BEHAVIORAL AND BRAIN SCIENCES
27,2.574,BRAIN COGNITION,42,0,0,0,0,21,2,0,0,0,0,19,BEHAVIORAL AND BRAIN SCIENCES
28,1.806,EXP BRAIN RES,42,0,1,1,2,5,0,0,3,0,0,30,BEHAVIORAL AND BRAIN SCIENCES
29,,PSYCHOL SCI,42,0,4,0,3,4,4,2,2,7,0,16,BEHAVIORAL AND BRAIN SCIENCES
30,,NAT HUM BEHAV,40,2,5,6,3,7,0,0,2,2,1,12,BEHAVIORAL AND BRAIN SCIENCES
31,4.907,CORTEX,39,0,0,0,1,3,2,0,0,1,0,32,BEHAVIORAL AND BRAIN SCIENCES
32,,PERSPECT PSYCHOL SCI,39,0,3,3,1,6,2,0,14,1,0,9,BEHAVIORAL AND BRAIN SCIENCES
33,,PSYCHOL RES-PSYCH FO,38,0,0,0,0,2,0,0,1,3,1,31,BEHAVIORAL AND BRAIN SCIENCES
34,1.678,ATTEN PERCEPT PSYCHO,36,1,6,1,0,1,0,0,0,0,2,25,BEHAVIORAL AND BRAIN SCIENCES
35,,LANG SCI,36,0,2,0,0,0,0,1,1,0,5,27,BEHAVIORAL AND BRAIN SCIENCES
36,13.250,PSYCHOL BULL,34,0,0,1,0,4,0,0,2,1,0,26,BEHAVIORAL AND BRAIN SCIENCES
37,4.847,P ROY SOC B-BIOL SCI,33,2,3,0,2,4,1,0,3,1,2,15,BEHAVIORAL AND BRAIN SCIENCES
38,2.190,Q J EXP PSYCHOL,33,0,0,0,0,0,1,1,1,1,4,25,BEHAVIORAL AND BRAIN SCIENCES
39,5.971,J NEUROSCI,32,0,2,1,1,4,2,0,0,2,3,17,BEHAVIORAL AND BRAIN SCIENCES
40,,MEM COGNITION,32,0,2,0,0,5,1,2,0,1,1,20,BEHAVIORAL AND BRAIN SCIENCES
41,,PERS SOC PSYCHOL B,32,1,0,0,3,7,6,1,4,1,0,9,BEHAVIORAL AND BRAIN SCIENCES
42,,PHENOMENOL COGN SCI,32,0,0,0,0,7,1,0,0,0,6,18,BEHAVIORAL AND BRAIN SCIENCES
43,,REV PHILOS PSYCHOL,32,0,2,1,2,6,0,0,0,1,1,19,BEHAVIORAL AND BRAIN SCIENCES
44,1.555,BEHAV PROCESS,31,0,0,0,0,0,0,0,0,0,1,30,BEHAVIORAL AND BRAIN SCIENCES
45,7.230,PSYCHOL REV,31,0,1,0,1,3,0,3,0,1,2,20,BEHAVIORAL AND BRAIN SCIENCES
46,,SOC COGNITION,31,2,1,3,19,0,0,0,0,0,0,6,BEHAVIORAL AND BRAIN SCIENCES
47,3.468,J COGNITIVE NEUROSCI,30,0,0,1,0,6,0,0,1,1,0,21,BEHAVIORAL AND BRAIN SCIENCES
48,,J EXP SOC PSYCHOL,30,0,3,2,3,5,3,2,3,2,2,5,BEHAVIORAL AND BRAIN SCIENCES
49,,RELIG BRAIN BEHAV,30,0,5,0,0,7,2,0,3,0,0,13,BEHAVIORAL AND BRAIN SCIENCES
50,,J EXP CHILD PSYCHOL,29,0,0,0,1,3,0,1,3,1,1,19,BEHAVIORAL AND BRAIN SCIENCES
51,3.877,FRONT NEUROSCI-SWITZ,28,0,0,0,0,4,0,0,1,0,1,22,BEHAVIORAL AND BRAIN SCIENCES
52,1.547,J NEUROLINGUIST,28,0,0,0,0,0,2,0,0,3,0,23,BEHAVIORAL AND BRAIN SCIENCES
53,2.266,J VISION,28,3,2,0,0,0,0,0,2,0,0,21,BEHAVIORAL AND BRAIN SCIENCES
54,,ARCH SEX BEHAV,27,0,0,0,0,0,0,0,6,3,0,18,BEHAVIORAL AND BRAIN SCIENCES
55,,HUM NATURE-INT BIOS,27,0,4,2,0,1,4,0,7,0,0,9,BEHAVIORAL AND BRAIN SCIENCES
56,,J PERS SOC PSYCHOL,27,1,1,0,1,1,2,4,6,0,0,11,BEHAVIORAL AND BRAIN SCIENCES
57,1.906,J SPEECH LANG HEAR R,27,0,0,1,1,0,0,0,0,0,0,25,BEHAVIORAL AND BRAIN SCIENCES
58,,TOP COGN SCI,27,0,4,0,0,2,0,0,0,0,1,20,BEHAVIORAL AND BRAIN SCIENCES
59,,TOPOI-INT REV PHILOS,27,0,0,0,0,1,0,0,0,0,0,26,BEHAVIORAL AND BRAIN SCIENCES
60,,ACTA PSYCHOL,26,0,0,0,0,1,0,0,1,1,0,23,BEHAVIORAL AND BRAIN SCIENCES
61,,INTERACT STUD,26,0,0,0,1,1,0,1,1,1,2,19,BEHAVIORAL AND BRAIN SCIENCES
62,2.504,ROY SOC OPEN SCI,26,0,1,0,1,0,0,0,5,1,2,16,BEHAVIORAL AND BRAIN SCIENCES
63,,CURR OPIN PSYCHOL,25,0,1,0,1,3,7,1,5,0,0,7,BEHAVIORAL AND BRAIN SCIENCES
64,4.418,HORM BEHAV,25,0,0,0,0,0,0,1,1,0,0,23,BEHAVIORAL AND BRAIN SCIENCES
65,2.223,PSYCHIAT RES,25,0,0,2,0,1,1,0,0,3,1,17,BEHAVIORAL AND BRAIN SCIENCES
66,,SOC PSYCHOL PERS SCI,25,0,2,5,2,2,1,0,7,2,0,4,BEHAVIORAL AND BRAIN SCIENCES
67,2.805,ANIM COGN,24,6,0,0,0,0,0,1,0,0,0,17,BEHAVIORAL AND BRAIN SCIENCES
