,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,7629,149,446,507,469,497,431,412,335,341,310,3732,BEHAVIORAL AND BRAIN SCIENCES
2, ,ALL OTHERS (1793),1793,47,105,110,93,95,74,74,46,72,43,1034,BEHAVIORAL AND BRAIN SCIENCES
3, ,J PERS SOC PSYCHOL,208,2,3,6,6,4,5,17,3,4,3,155,BEHAVIORAL AND BRAIN SCIENCES
4, ,PSYCHOL SCI,151,1,7,9,10,20,10,7,12,8,9,58,BEHAVIORAL AND BRAIN SCIENCES
5, ,COGNITION,121,0,6,11,6,11,7,9,6,8,13,44,BEHAVIORAL AND BRAIN SCIENCES
6,41.058,SCIENCE,113,0,1,6,9,11,7,7,3,4,6,59,BEHAVIORAL AND BRAIN SCIENCES
7,9.504,P NATL ACAD SCI USA,105,0,6,12,8,6,12,12,6,12,8,23,BEHAVIORAL AND BRAIN SCIENCES
8,2.766,PLOS ONE,94,3,5,15,18,13,22,7,5,4,1,1,BEHAVIORAL AND BRAIN SCIENCES
9,7.230,PSYCHOL REV,92,1,0,0,1,5,1,2,5,4,1,72,BEHAVIORAL AND BRAIN SCIENCES
10,15.557,TRENDS COGN SCI,80,0,5,5,8,4,5,5,7,6,2,33,BEHAVIORAL AND BRAIN SCIENCES
11,15.071,BEHAV BRAIN SCI,78,1,3,4,4,12,4,3,4,5,2,36,BEHAVIORAL AND BRAIN SCIENCES
12, ,FRONT PSYCHOL,74,5,9,17,17,16,5,3,2,0,0,0,BEHAVIORAL AND BRAIN SCIENCES
13,13.250,PSYCHOL BULL,74,0,0,4,1,1,0,7,0,4,4,53,BEHAVIORAL AND BRAIN SCIENCES
14,41.577,NATURE,69,0,3,5,1,1,1,0,2,0,2,54,BEHAVIORAL AND BRAIN SCIENCES
15, ,DEVELOPMENTAL SCI,60,3,3,4,5,5,3,4,5,3,0,25,BEHAVIORAL AND BRAIN SCIENCES
16,2.829,J MEM LANG,60,2,11,1,4,1,5,2,2,0,4,28,BEHAVIORAL AND BRAIN SCIENCES
17,3.104,COGNITIVE PSYCHOL,56,1,1,1,3,1,3,1,4,2,0,39,BEHAVIORAL AND BRAIN SCIENCES
18, ,DEV PSYCHOL,53,1,4,0,2,4,6,3,1,1,3,28,BEHAVIORAL AND BRAIN SCIENCES
19,2.069,VISION RES,53,0,3,1,2,2,0,5,4,2,3,31,BEHAVIORAL AND BRAIN SCIENCES
20, ,J EXP SOC PSYCHOL,52,1,2,0,1,2,7,2,8,4,1,24,BEHAVIORAL AND BRAIN SCIENCES
21,4.847,P ROY SOC B-BIOL SCI,51,0,1,6,3,5,5,5,3,0,2,21,BEHAVIORAL AND BRAIN SCIENCES
22,2.289,J EXP PSYCHOL HUMAN,50,0,5,4,6,2,4,3,1,0,2,23,BEHAVIORAL AND BRAIN SCIENCES
23,3.623,EVOL HUM BEHAV,48,0,1,4,7,5,1,2,0,3,5,20,BEHAVIORAL AND BRAIN SCIENCES
24,14.319,NEURON,48,0,0,4,0,5,6,2,5,1,2,23,BEHAVIORAL AND BRAIN SCIENCES
25,2.266,J VISION,47,0,3,4,3,11,4,2,4,5,5,6,BEHAVIORAL AND BRAIN SCIENCES
26,5.971,J NEUROSCI,45,0,3,6,2,2,8,1,3,0,3,17,BEHAVIORAL AND BRAIN SCIENCES
27, ,CHILD DEV,44,1,2,1,1,1,1,4,2,1,2,28,BEHAVIORAL AND BRAIN SCIENCES
28,5.666,PHILOS T R SOC B,44,0,4,1,5,4,6,7,2,4,1,10,BEHAVIORAL AND BRAIN SCIENCES
29, ,PERS SOC PSYCHOL B,43,0,0,0,1,0,1,8,2,1,3,27,BEHAVIORAL AND BRAIN SCIENCES
30, ,PERCEPT PSYCHOPHYS,42,0,0,0,0,0,0,0,0,0,1,41,BEHAVIORAL AND BRAIN SCIENCES
31, ,CURR DIR PSYCHOL SCI,41,1,0,7,1,5,4,3,1,0,2,17,BEHAVIORAL AND BRAIN SCIENCES
32, ,COGNITIVE SCI,40,3,1,1,3,2,1,1,5,3,3,17,BEHAVIORAL AND BRAIN SCIENCES
33,9.251,CURR BIOL,39,0,3,6,5,0,4,1,4,6,4,6,BEHAVIORAL AND BRAIN SCIENCES
34, ,COGNITION EMOTION,37,0,2,0,0,2,0,1,2,5,2,23,BEHAVIORAL AND BRAIN SCIENCES
35, ,PERS INDIV DIFFER,37,0,6,5,1,2,2,1,7,2,1,10,BEHAVIORAL AND BRAIN SCIENCES
36, ,J EXP PSYCHOL GEN,34,1,2,6,2,2,2,0,2,1,1,15,BEHAVIORAL AND BRAIN SCIENCES
37,3.174,APPETITE,32,0,2,4,2,2,0,4,0,0,5,13,BEHAVIORAL AND BRAIN SCIENCES
38,3.468,J COGNITIVE NEUROSCI,31,0,3,3,2,3,1,3,1,2,2,11,BEHAVIORAL AND BRAIN SCIENCES
39, ,PERSPECT PSYCHOL SCI,31,2,3,1,4,1,4,4,5,2,1,4,BEHAVIORAL AND BRAIN SCIENCES
40, ,EMOTION,30,1,2,0,4,2,4,2,0,4,2,9,BEHAVIORAL AND BRAIN SCIENCES
41, ,INFANT BEHAV DEV,30,0,0,0,0,0,3,2,0,0,1,24,BEHAVIORAL AND BRAIN SCIENCES
42, ,J EXP CHILD PSYCHOL,30,2,3,3,3,4,0,4,0,1,0,10,BEHAVIORAL AND BRAIN SCIENCES
43,3.007,SOC SCI MED,30,0,2,2,0,1,3,0,2,4,2,14,BEHAVIORAL AND BRAIN SCIENCES
44, ,THESIS,29,0,1,3,6,2,2,1,0,0,0,14,BEHAVIORAL AND BRAIN SCIENCES
