Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"8,900",15.071,14.821,21.181,4.375,16,13.7,9.7,0.01,8.860,100.00,1.18300,97.25400,BEHAVIORAL AND BRAIN SCIENCES
2016,"8,195",14.200,13.900,20.948,1.944,18,>10.0,10.0,0.01092,9.859,100.00,1.25306,97.25000,BEHAVIORAL AND BRAIN SCIENCES
2015,"7,873",20.415,20.000,23.842,1.700,10,>10.0,7.9,0.01286,11.186,100.00,1.46536,98.28700,BEHAVIORAL AND BRAIN SCIENCES
2014,"7,562",20.771,20.428,24.308,2.750,20,>10.0,8.6,0.01103,10.686,95.00,1.23524,97.49800,BEHAVIORAL AND BRAIN SCIENCES
2013,"7,017",14.962,14.500,22.821,4.476,21,>10.0,9.1,0.00965,10.342,100.00,1.06355,96.92900,BEHAVIORAL AND BRAIN SCIENCES
2012,"6,402",18.571,18.000,23.173,2.286,14,>10.0,7.5,0.00996,10.969,100.00,Not Available,98.13900,BEHAVIORAL AND BRAIN SCIENCES
2011,"6,081",25.056,24.222,22.558,3.714,7,>10.0,>10.0,0.01026,10.760,100.00,Not Available,98.12100,BEHAVIORAL AND BRAIN SCIENCES
2010,"5,902",21.952,21.523,24.509,3.667,6,>10.0,8.6,0.01261,11.401,83.33,Not Available,98.11400,BEHAVIORAL AND BRAIN SCIENCES
2009,"6,290",19.045,18.181,23.548,3.000,9,>10.0,8.6,0.01203,9.320,0.00,Not Available,98.10900,BEHAVIORAL AND BRAIN SCIENCES
2008,"5,274",12.818,11.318,19.355,2.667,12,9.5,7.7,0.01173,8.533,16.67,Not Available,97.77600,BEHAVIORAL AND BRAIN SCIENCES
2007,"4,721",17.462,16.846,16.391,3.500,2,9.0,9.3,0.01089,7.317,0.00,Not Available,98.12400,BEHAVIORAL AND BRAIN SCIENCES
2006,"4,425",14.964,13.964,Not Available,1.100,10,8.2,8.9,Not Available,Not Available,30.00,Not Available,98.07500,BEHAVIORAL AND BRAIN SCIENCES
2005,"4,029",9.885,8.730,Not Available,1.857,14,8.7,8.5,Not Available,Not Available,14.29,Not Available,97.24200,BEHAVIORAL AND BRAIN SCIENCES
2004,"3,926",7.125,6.416,Not Available,0.833,6,8.6,8.8,Not Available,Not Available,16.67,Not Available,95.63400,BEHAVIORAL AND BRAIN SCIENCES
2003,"3,575",10.625,9.906,Not Available,Not Available,Not Available,9.2,9.7,Not Available,Not Available,Not Available,Not Available,97.44700,BEHAVIORAL AND BRAIN SCIENCES
2002,"3,451",8.730,8.486,Not Available,Not Available,Not Available,9.1,>10.0,Not Available,Not Available,Not Available,Not Available,97.02300,BEHAVIORAL AND BRAIN SCIENCES
2001,"3,478",17.312,16.593,Not Available,3.000,8,9.1,9.3,Not Available,Not Available,12.50,Not Available,98.20900,BEHAVIORAL AND BRAIN SCIENCES
2000,"3,008",14.250,13.321,Not Available,2.200,10,8.9,8.4,Not Available,Not Available,10.00,Not Available,97.88700,BEHAVIORAL AND BRAIN SCIENCES
1999,"3,063",11.276,9.965,Not Available,3.200,15,9.4,7.7,Not Available,Not Available,20.00,Not Available,97.87000,BEHAVIORAL AND BRAIN SCIENCES
1998,"2,934",8.800,7.166,Not Available,1.077,13,9.2,8.0,Not Available,Not Available,30.77,Not Available,97.62300,BEHAVIORAL AND BRAIN SCIENCES
1997,"2,642",8.118,6.764,Not Available,0.667,6,8.7,9.5,Not Available,Not Available,33.33,Not Available,97.07500,BEHAVIORAL AND BRAIN SCIENCES
