,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,42495,755,2109,2445,2163,2829,2210,2760,3211,2583,2527,18903,BIOLOGICAL PSYCHIATRY
2,,ALL OTHERS (1132),1132,21,47,56,29,57,47,30,73,51,58,663,BIOLOGICAL PSYCHIATRY
3,4.122,SCI REP-UK,1048,24,54,86,52,68,51,84,72,67,70,420,BIOLOGICAL PSYCHIATRY
4,8.037,NEUROSCI BIOBEHAV R,905,1,67,41,45,51,37,73,61,54,59,416,BIOLOGICAL PSYCHIATRY
5,11.984,BIOL PSYCHIAT,796,149,68,79,49,50,45,44,56,43,39,174,BIOLOGICAL PSYCHIATRY
6,3.786,J AFFECT DISORDERS,730,1,15,22,33,60,46,46,50,44,29,384,BIOLOGICAL PSYCHIATRY
7,2.766,PLOS ONE,680,13,24,47,40,31,26,40,56,39,40,324,BIOLOGICAL PSYCHIATRY
8,4.691,TRANSL PSYCHIAT,678,28,33,64,51,60,40,48,56,48,43,207,BIOLOGICAL PSYCHIATRY
9,6.544,NEUROPSYCHOPHARMACOL,660,9,50,53,50,54,47,39,73,57,33,195,BIOLOGICAL PSYCHIATRY
10,4.249,NEUROPHARMACOLOGY,458,7,45,29,24,27,30,37,40,35,36,148,BIOLOGICAL PSYCHIATRY
11,3.173,BEHAV BRAIN RES,444,4,13,27,17,33,16,32,38,38,30,196,BIOLOGICAL PSYCHIATRY
12,4.731,PSYCHONEUROENDOCRINO,424,3,62,23,14,28,17,17,30,34,20,176,BIOLOGICAL PSYCHIATRY
13,2.455,PSYCHIAT RES-NEUROIM,417,1,13,19,18,25,19,38,25,26,30,203,BIOLOGICAL PSYCHIATRY
14,2.223,PSYCHIAT RES,407,2,13,13,14,17,19,20,29,22,33,225,BIOLOGICAL PSYCHIATRY
15,11.640,MOL PSYCHIATR,397,7,27,42,36,40,22,31,30,29,23,110,BIOLOGICAL PSYCHIATRY
16,2.857,FRONT PSYCHIATRY,395,7,20,26,30,21,20,29,25,21,26,170,BIOLOGICAL PSYCHIATRY
17,3.958,SCHIZOPHR RES,389,1,15,31,18,30,25,43,33,16,33,144,BIOLOGICAL PSYCHIATRY
18,5.426,NEUROIMAGE,380,2,10,31,23,31,25,43,30,29,31,125,BIOLOGICAL PSYCHIATRY
19,3.222,PSYCHOPHARMACOLOGY,364,3,19,16,28,19,16,25,33,24,18,163,BIOLOGICAL PSYCHIATRY
20,3.382,NEUROSCIENCE,361,3,10,23,15,25,17,27,30,36,19,156,BIOLOGICAL PSYCHIATRY
21,4.927,HUM BRAIN MAPP,359,3,13,26,32,38,20,35,27,25,21,119,BIOLOGICAL PSYCHIATRY
22,4.000,J PSYCHIATR RES,349,1,16,17,14,33,16,27,35,27,19,144,BIOLOGICAL PSYCHIATRY
23,4.185,PROG NEURO-PSYCHOPH,340,1,8,24,14,32,15,22,42,24,23,135,BIOLOGICAL PSYCHIATRY
24,,FRONT PSYCHOL,313,4,12,11,8,17,19,19,25,17,21,160,BIOLOGICAL PSYCHIATRY
25,3.500,SOC COGN AFFECT NEUR,301,2,15,19,9,14,14,25,23,36,23,121,BIOLOGICAL PSYCHIATRY
26,4.129,EUR NEUROPSYCHOPHARM,294,2,18,15,20,25,14,18,24,9,16,133,BIOLOGICAL PSYCHIATRY
27,5.475,PSYCHOL MED,291,1,13,12,17,21,20,28,24,23,21,111,BIOLOGICAL PSYCHIATRY
28,3.869,NEUROIMAGE-CLIN,290,3,8,15,16,23,14,34,21,14,30,112,BIOLOGICAL PSYCHIATRY
29,5.971,J NEUROSCI,288,9,31,27,21,17,21,27,31,15,16,73,BIOLOGICAL PSYCHIATRY
30,6.944,SCHIZOPHRENIA BULL,288,7,11,21,13,22,19,30,17,14,23,111,BIOLOGICAL PSYCHIATRY
31,6.308,CEREB CORTEX,274,3,7,14,16,16,25,35,23,16,14,105,BIOLOGICAL PSYCHIATRY
32,6.306,BRAIN BEHAV IMMUN,254,0,16,24,35,20,9,14,41,30,11,54,BIOLOGICAL PSYCHIATRY
33,4.738,J PSYCHOPHARMACOL,254,5,5,18,10,22,15,19,19,17,12,112,BIOLOGICAL PSYCHIATRY
34,3.981,INT J NEUROPSYCHOPH,243,5,16,15,16,13,15,16,19,15,15,98,BIOLOGICAL PSYCHIATRY
35,3.877,FRONT NEUROSCI-SWITZ,241,11,13,16,14,24,8,18,21,11,16,89,BIOLOGICAL PSYCHIATRY
36,2.871,FRONT HUM NEUROSCI,231,2,14,10,11,11,12,20,16,14,18,103,BIOLOGICAL PSYCHIATRY
37,3.138,FRONT BEHAV NEUROSCI,222,7,16,9,12,9,11,20,20,13,17,88,BIOLOGICAL PSYCHIATRY
38,2.159,NEUROSCI LETT,212,2,6,5,6,16,12,14,17,11,16,107,BIOLOGICAL PSYCHIATRY
39,5.578,ADDICT BIOL,210,0,5,10,16,24,22,31,15,28,14,45,BIOLOGICAL PSYCHIATRY
40,4.247,J CLIN PSYCHIAT,208,1,4,1,14,20,10,4,10,7,11,126,BIOLOGICAL PSYCHIATRY
41,3.713,WORLD J BIOL PSYCHIA,205,0,5,2,12,18,6,11,10,15,10,116,BIOLOGICAL PSYCHIATRY
42,,DEV PSYCHOPATHOL,193,2,10,9,11,10,13,10,15,16,11,86,BIOLOGICAL PSYCHIATRY
43,3.244,NEUROBIOL LEARN MEM,191,2,4,17,19,11,11,8,17,13,8,81,BIOLOGICAL PSYCHIATRY
44,2.891,BIOL PSYCHOL,183,0,6,5,10,5,8,16,21,11,17,84,BIOLOGICAL PSYCHIATRY
45,3.864,CURR PSYCHIAT REP,183,7,22,18,10,10,14,9,8,11,4,70,BIOLOGICAL PSYCHIATRY
46,3.719,BRAIN IMAGING BEHAV,177,0,2,4,17,22,9,20,11,8,10,74,BIOLOGICAL PSYCHIATRY
47,3.161,NEURAL PLAST,175,2,5,12,8,16,12,8,14,8,18,72,BIOLOGICAL PSYCHIATRY
48,5.076,MOL NEUROBIOL,173,0,3,9,6,7,6,9,17,9,13,94,BIOLOGICAL PSYCHIATRY
49,2.662,J NEUROSCI RES,165,2,8,15,7,8,12,6,12,9,8,78,BIOLOGICAL PSYCHIATRY
50,4.300,FRONT CELL NEUROSCI,163,8,9,12,8,6,15,5,18,14,6,62,BIOLOGICAL PSYCHIATRY
51,4.418,HORM BEHAV,159,1,20,8,16,3,6,10,8,15,15,57,BIOLOGICAL PSYCHIATRY
52,16.642,JAMA PSYCHIAT,156,1,8,5,9,28,13,8,6,11,7,60,BIOLOGICAL PSYCHIATRY
53,3.687,INT J MOL SCI,152,6,7,8,6,9,13,5,10,6,10,72,BIOLOGICAL PSYCHIATRY
54,5.043,DEPRESS ANXIETY,149,3,9,9,5,4,7,9,10,11,3,79,BIOLOGICAL PSYCHIATRY
55,2.195,NEUROPSYCH DIS TREAT,149,3,5,8,2,7,8,8,14,12,7,75,BIOLOGICAL PSYCHIATRY
56,4.068,CURR NEUROPHARMACOL,147,0,5,9,4,20,13,8,13,8,6,61,BIOLOGICAL PSYCHIATRY
57,2.517,PHYSIOL BEHAV,147,2,11,4,3,16,3,10,9,9,4,76,BIOLOGICAL PSYCHIATRY
58,2.868,INT J PSYCHOPHYSIOL,146,0,1,8,3,3,6,16,8,7,11,83,BIOLOGICAL PSYCHIATRY
59,13.396,AM J PSYCHIAT,145,0,8,17,9,11,7,13,11,4,6,59,BIOLOGICAL PSYCHIATRY
60,5.365,J PSYCHIATR NEUROSCI,141,2,6,3,12,10,11,18,11,5,13,50,BIOLOGICAL PSYCHIATRY
61,3.322,DRUG ALCOHOL DEPEN,140,1,15,6,13,11,4,20,16,5,7,42,BIOLOGICAL PSYCHIATRY
62,2.538,PHARMACOL BIOCHEM BE,139,4,6,9,7,13,7,8,15,6,11,53,BIOLOGICAL PSYCHIATRY
63,4.231,BRAIN STRUCT FUNCT,134,3,3,11,10,12,9,13,14,5,2,52,BIOLOGICAL PSYCHIATRY
64,3.496,GENES BRAIN BEHAV,134,3,7,12,9,9,6,7,11,8,7,55,BIOLOGICAL PSYCHIATRY
65,,CURR OPIN BEHAV SCI,130,0,11,6,15,9,10,9,10,14,3,43,BIOLOGICAL PSYCHIATRY
66,3.617,EUR ARCH PSY CLIN N,130,1,7,7,8,6,6,8,10,6,11,60,BIOLOGICAL PSYCHIATRY
67,2.419,BMC PSYCHIATRY,128,1,5,3,2,8,5,6,3,6,9,80,BIOLOGICAL PSYCHIATRY
68,4.490,BIPOLAR DISORD,126,1,6,4,2,13,7,7,8,7,7,64,BIOLOGICAL PSYCHIATRY
69,2.779,J NEURAL TRANSM,125,0,4,6,5,7,4,11,8,2,7,71,BIOLOGICAL PSYCHIATRY
70,4.984,ACTA PSYCHIAT SCAND,123,0,5,7,7,15,3,8,12,10,4,52,BIOLOGICAL PSYCHIATRY
71,3.476,J ALZHEIMERS DIS,122,0,1,14,12,14,8,5,11,6,7,44,BIOLOGICAL PSYCHIATRY
