,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,13939,277,838,1358,1278,1254,1142,978,881,733,607,4593,BIOLOGICAL PSYCHIATRY
2, ,ALL OTHERS (808),808,8,47,79,75,52,51,46,37,29,29,355,BIOLOGICAL PSYCHIATRY
3,11.984,BIOL PSYCHIAT,796,149,68,79,49,50,45,44,56,43,39,174,BIOLOGICAL PSYCHIATRY
4,5.971,J NEUROSCI,676,2,23,48,57,61,45,56,55,46,33,250,BIOLOGICAL PSYCHIATRY
5,9.504,P NATL ACAD SCI USA,393,0,18,44,21,41,25,30,34,34,12,134,BIOLOGICAL PSYCHIATRY
6,41.577,NATURE,385,2,25,26,60,23,40,56,19,24,17,93,BIOLOGICAL PSYCHIATRY
7,14.319,NEURON,377,0,18,38,57,30,42,27,21,13,14,117,BIOLOGICAL PSYCHIATRY
8,6.544,NEUROPSYCHOPHARMACOL,346,10,33,36,32,23,32,32,40,22,22,64,BIOLOGICAL PSYCHIATRY
9,19.912,NAT NEUROSCI,343,1,32,46,35,24,35,28,22,9,11,100,BIOLOGICAL PSYCHIATRY
10,13.396,AM J PSYCHIAT,338,5,18,11,17,20,17,24,27,10,17,172,BIOLOGICAL PSYCHIATRY
11,11.640,MOL PSYCHIATR,272,10,38,42,35,29,35,25,10,6,12,30,BIOLOGICAL PSYCHIATRY
12, ,ARCH GEN PSYCHIAT,257,0,0,0,0,0,29,18,22,20,7,161,BIOLOGICAL PSYCHIATRY
13,41.058,SCIENCE,250,1,11,16,18,24,21,8,16,10,8,117,BIOLOGICAL PSYCHIATRY
14,5.426,NEUROIMAGE,249,2,9,8,38,18,41,22,27,11,8,65,BIOLOGICAL PSYCHIATRY
15,32.635,NAT REV NEUROSCI,197,3,4,27,5,20,18,20,14,25,10,51,BIOLOGICAL PSYCHIATRY
16,2.766,PLOS ONE,186,0,4,23,23,38,36,32,14,11,4,1,BIOLOGICAL PSYCHIATRY
17,3.222,PSYCHOPHARMACOLOGY,173,1,6,11,11,19,9,14,4,7,10,81,BIOLOGICAL PSYCHIATRY
18,6.944,SCHIZOPHRENIA BULL,143,3,8,16,28,13,16,11,6,12,5,25,BIOLOGICAL PSYCHIATRY
19,3.382,NEUROSCIENCE,133,1,7,7,9,9,4,19,7,5,6,59,BIOLOGICAL PSYCHIATRY
20,3.958,SCHIZOPHR RES,133,3,8,16,12,15,12,9,7,6,6,39,BIOLOGICAL PSYCHIATRY
21,16.642,JAMA PSYCHIAT,127,4,11,46,38,28,0,0,0,0,0,0,BIOLOGICAL PSYCHIATRY
22,3.125,BRAIN RES,119,0,3,9,1,6,4,5,10,8,3,70,BIOLOGICAL PSYCHIATRY
23,6.308,CEREB CORTEX,102,6,15,9,12,5,4,5,7,4,8,27,BIOLOGICAL PSYCHIATRY
24,31.398,CELL,100,0,2,12,4,12,10,9,6,5,8,32,BIOLOGICAL PSYCHIATRY
25,2.832,EUR J NEUROSCI,97,1,2,7,5,4,15,4,7,7,6,39,BIOLOGICAL PSYCHIATRY
26,4.249,NEUROPHARMACOLOGY,95,4,4,6,15,13,18,2,7,5,7,14,BIOLOGICAL PSYCHIATRY
27,8.037,NEUROSCI BIOBEHAV R,94,0,5,13,6,12,8,7,7,8,6,22,BIOLOGICAL PSYCHIATRY
28,27.125,NAT GENET,88,1,8,11,5,16,5,7,1,4,6,24,BIOLOGICAL PSYCHIATRY
29,4.691,TRANSL PSYCHIAT,82,2,12,19,18,17,10,4,0,0,0,0,BIOLOGICAL PSYCHIATRY
30,3.400,J COMP NEUROL,81,0,1,1,5,3,5,2,2,8,1,53,BIOLOGICAL PSYCHIATRY
31,5.475,PSYCHOL MED,81,2,12,11,8,4,4,3,8,4,1,24,BIOLOGICAL PSYCHIATRY
32,3.173,BEHAV BRAIN RES,80,0,5,9,5,8,6,11,4,5,5,22,BIOLOGICAL PSYCHIATRY
33,6.306,BRAIN BEHAV IMMUN,80,2,5,17,6,10,9,8,5,5,6,7,BIOLOGICAL PSYCHIATRY
34,11.439,TRENDS NEUROSCI,79,0,2,8,6,7,9,3,7,4,7,26,BIOLOGICAL PSYCHIATRY
35,4.731,PSYCHONEUROENDOCRINO,69,0,5,12,7,15,5,2,5,6,2,10,BIOLOGICAL PSYCHIATRY
36,10.848,BRAIN,67,0,7,7,2,7,5,2,7,2,7,21,BIOLOGICAL PSYCHIATRY
37,5.867,BRIT J PSYCHIAT,66,0,0,3,10,2,1,3,3,3,4,37,BIOLOGICAL PSYCHIATRY
38,4.247,J CLIN PSYCHIAT,65,1,6,4,4,2,5,6,4,3,3,27,BIOLOGICAL PSYCHIATRY
39,4.927,HUM BRAIN MAPP,63,0,7,12,7,11,5,2,3,3,2,11,BIOLOGICAL PSYCHIATRY
40,3.786,J AFFECT DISORDERS,62,1,7,5,4,7,5,2,3,5,4,19,BIOLOGICAL PSYCHIATRY
41, ,J AUTISM DEV DISORD,57,0,1,7,4,4,6,0,3,5,1,26,BIOLOGICAL PSYCHIATRY
42,15.557,TRENDS COGN SCI,57,0,4,6,2,6,16,9,2,2,1,9,BIOLOGICAL PSYCHIATRY
43,4.000,J PSYCHIATR RES,56,0,2,7,3,7,5,4,3,4,2,19,BIOLOGICAL PSYCHIATRY
44,2.159,NEUROSCI LETT,55,1,1,6,2,2,4,1,4,5,4,25,BIOLOGICAL PSYCHIATRY
45,2.455,PSYCHIAT RES-NEUROIM,53,0,1,8,1,4,6,5,6,6,3,13,BIOLOGICAL PSYCHIATRY
46,2.871,FRONT HUM NEUROSCI,51,0,4,7,14,17,1,4,3,1,0,0,BIOLOGICAL PSYCHIATRY
47,2.502,J NEUROPHYSIOL,51,0,1,2,1,1,3,4,1,3,5,30,BIOLOGICAL PSYCHIATRY
48,4.277,ANN NY ACAD SCI,50,0,0,5,0,1,2,6,2,2,4,28,BIOLOGICAL PSYCHIATRY
49,3.706,J PHARMACOL EXP THER,49,0,0,1,2,1,1,0,0,0,2,42,BIOLOGICAL PSYCHIATRY
50,6.541,CURR OPIN NEUROBIOL,48,0,1,6,4,10,5,3,2,2,0,15,BIOLOGICAL PSYCHIATRY
51,4.011,J BIOL CHEM,47,0,3,0,3,6,5,2,2,2,1,23,BIOLOGICAL PSYCHIATRY
52,12.353,NAT COMMUN,47,2,9,18,8,5,5,0,0,0,0,0,BIOLOGICAL PSYCHIATRY
53,4.609,J NEUROCHEM,46,0,2,3,4,0,4,1,2,0,2,28,BIOLOGICAL PSYCHIATRY
54,3.981,INT J NEUROPSYCHOPH,45,0,5,4,5,9,4,5,3,5,1,4,BIOLOGICAL PSYCHIATRY
55,6.250,J AM ACAD CHILD PSY,45,0,0,3,3,6,4,1,3,2,1,22,BIOLOGICAL PSYCHIATRY
56,14.675,ANNU REV NEUROSCI,44,0,0,3,0,0,4,9,0,5,1,22,BIOLOGICAL PSYCHIATRY
57,3.040,EUR J PHARMACOL,44,0,0,4,1,0,0,1,0,0,3,35,BIOLOGICAL PSYCHIATRY
58,2.889,NEUROPSYCHOLOGIA,42,0,0,2,3,2,1,6,7,2,1,18,BIOLOGICAL PSYCHIATRY
59,2.517,PHYSIOL BEHAV,42,1,2,2,2,0,2,6,2,2,4,19,BIOLOGICAL PSYCHIATRY
60,2.857,FRONT PSYCHIATRY,40,0,5,7,6,17,3,2,0,0,0,0,BIOLOGICAL PSYCHIATRY
61,53.254,LANCET,40,0,3,1,3,6,4,1,1,4,2,15,BIOLOGICAL PSYCHIATRY
62,6.486,J CHILD PSYCHOL PSYC,37,0,2,3,2,3,3,4,2,3,3,12,BIOLOGICAL PSYCHIATRY
63,8.855,AM J HUM GENET,36,1,1,4,4,1,2,6,3,1,1,12,BIOLOGICAL PSYCHIATRY
64, ,DIAGN STAT MAN MENT,36,0,0,0,1,22,0,0,0,0,0,13,BIOLOGICAL PSYCHIATRY
65,3.961,ENDOCRINOLOGY,36,0,1,4,5,1,2,1,4,2,3,13,BIOLOGICAL PSYCHIATRY
66, ,J ABNORM PSYCHOL,36,1,2,3,2,0,3,0,2,4,1,18,BIOLOGICAL PSYCHIATRY
67,47.661,JAMA-J AM MED ASSOC,36,0,0,3,4,3,1,2,4,0,1,18,BIOLOGICAL PSYCHIATRY
68,2.538,PHARMACOL BIOCHEM BE,36,0,0,0,5,1,2,3,3,3,2,17,BIOLOGICAL PSYCHIATRY
69,5.365,J PSYCHIATR NEUROSCI,35,0,2,2,4,5,5,2,2,2,3,8,BIOLOGICAL PSYCHIATRY
70,3.244,NEUROBIOL LEARN MEM,35,0,4,3,11,1,2,4,3,1,1,5,BIOLOGICAL PSYCHIATRY
71,5.540,PLOS GENET,35,0,1,7,2,8,5,2,5,3,1,1,BIOLOGICAL PSYCHIATRY
72,11.561,NUCLEIC ACIDS RES,33,0,5,3,5,6,2,0,5,4,2,1,BIOLOGICAL PSYCHIATRY
73,4.738,J PSYCHOPHARMACOL,32,1,2,4,1,1,7,2,0,1,2,11,BIOLOGICAL PSYCHIATRY
74,4.984,ACTA PSYCHIAT SCAND,31,0,0,1,4,1,3,0,3,2,1,16,BIOLOGICAL PSYCHIATRY
75,2.507,BEHAV NEUROSCI,31,0,1,4,2,0,2,1,2,2,0,17,BIOLOGICAL PSYCHIATRY
76,3.877,FRONT NEUROSCI-SWITZ,31,0,2,12,0,7,4,2,2,0,1,1,BIOLOGICAL PSYCHIATRY
77,4.418,HORM BEHAV,31,1,2,3,0,6,6,1,0,1,1,10,BIOLOGICAL PSYCHIATRY
78,5.515,PEDIATRICS,31,0,0,7,2,0,4,2,2,5,1,8,BIOLOGICAL PSYCHIATRY
79,3.955,PLOS COMPUT BIOL,31,0,4,6,4,3,2,4,2,2,2,2,BIOLOGICAL PSYCHIATRY
80,5.578,ADDICT BIOL,30,5,4,1,4,3,5,4,1,1,1,1,BIOLOGICAL PSYCHIATRY
81,4.129,EUR NEUROPSYCHOPHARM,30,0,2,9,4,6,2,5,0,2,0,0,BIOLOGICAL PSYCHIATRY
82,4.902,HUM MOL GENET,30,0,1,3,1,5,6,2,0,1,3,8,BIOLOGICAL PSYCHIATRY
83,2.655,J NEUROIMMUNOL,30,0,0,1,0,0,2,3,1,6,3,14,BIOLOGICAL PSYCHIATRY
84,32.621,NAT MED,30,2,3,0,1,5,2,0,5,0,3,9,BIOLOGICAL PSYCHIATRY
85,3.016,AM J MED GENET B,29,0,1,3,3,2,2,2,4,2,3,7,BIOLOGICAL PSYCHIATRY
86,10.250,ANN NEUROL,29,0,0,1,2,1,2,1,1,0,0,21,BIOLOGICAL PSYCHIATRY
87,3.496,GENES BRAIN BEHAV,29,1,0,4,0,1,4,1,0,5,3,10,BIOLOGICAL PSYCHIATRY
88,3.966,HIPPOCAMPUS,29,0,0,3,5,2,1,0,4,3,0,11,BIOLOGICAL PSYCHIATRY
89,4.185,PROG NEURO-PSYCHOPH,29,0,0,4,1,8,1,3,1,3,1,7,BIOLOGICAL PSYCHIATRY
90,4.490,BIPOLAR DISORD,28,0,1,2,4,5,6,4,2,1,0,3,BIOLOGICAL PSYCHIATRY
91,4.231,BRAIN STRUCT FUNCT,28,1,6,7,2,4,2,0,2,1,3,0,BIOLOGICAL PSYCHIATRY
92,5.043,DEPRESS ANXIETY,28,2,5,3,7,2,1,0,1,3,1,3,BIOLOGICAL PSYCHIATRY
93,8.055,NEUROLOGY,28,0,0,3,0,0,0,5,0,2,1,17,BIOLOGICAL PSYCHIATRY
94,5.666,PHILOS T R SOC B,28,0,2,1,9,3,0,0,0,1,4,8,BIOLOGICAL PSYCHIATRY
95,14.163,PROG NEUROBIOL,28,1,0,2,3,1,2,2,6,0,1,10,BIOLOGICAL PSYCHIATRY
96,4.540,J PHYSIOL-LONDON,27,0,0,1,1,1,1,1,1,0,0,21,BIOLOGICAL PSYCHIATRY
97,1.266,NEUROREPORT,27,0,1,1,0,0,1,1,0,1,2,20,BIOLOGICAL PSYCHIATRY
98,3.174,PROG BRAIN RES,27,0,2,1,2,1,4,0,2,0,2,13,BIOLOGICAL PSYCHIATRY
99,5.481,BIOINFORMATICS,26,1,1,2,5,2,2,0,5,4,0,4,BIOLOGICAL PSYCHIATRY
100,3.768,AUTISM RES,25,0,5,1,5,3,4,2,0,2,3,0,BIOLOGICAL PSYCHIATRY
