,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,108908,1304,5495,6886,9286,9243,8615,9103,8949,6595,4711,38721,BIOMATERIALS
2,,ALL OTHERS (984),984,7,52,77,52,78,71,59,59,52,38,439,BIOMATERIALS
3,5.080,MAT SCI ENG C-MATER,4013,22,73,146,235,261,205,247,289,212,208,2115,BIOMATERIALS
4,6.383,ACTA BIOMATER,3167,27,154,227,292,282,259,314,314,207,142,949,BIOMATERIALS
5,8.097,ACS APPL MATER INTER,3024,72,284,262,367,332,250,257,246,158,109,687,BIOMATERIALS
6,4.776,J MATER CHEM B,2767,62,254,237,304,294,264,252,197,159,125,619,BIOMATERIALS
7,8.806,BIOMATERIALS,2500,66,288,275,320,258,252,215,209,115,77,425,BIOMATERIALS
8,4.122,SCI REP-UK,2476,30,155,191,251,264,215,231,216,146,117,660,BIOMATERIALS
9,,WOODH PUBL SER BIOM,1781,3,26,51,76,67,75,100,118,104,121,1040,BIOMATERIALS
10,2.936,RSC ADV,1695,19,100,103,142,141,136,153,137,108,91,565,BIOMATERIALS
11,3.231,J BIOMED MATER RES A,1464,4,49,67,84,88,123,113,131,94,90,621,BIOMATERIALS
12,3.997,COLLOID SURFACE B,1429,8,51,79,151,161,129,145,130,99,56,420,BIOMATERIALS
13,4.432,ACS BIOMATER SCI ENG,1393,13,75,99,135,106,109,132,131,79,75,439,BIOMATERIALS
14,5.609,ADV HEALTHC MATER,1347,27,89,94,145,131,137,120,131,83,45,345,BIOMATERIALS
15,3.508,TISSUE ENG,1287,10,56,70,115,95,108,123,119,93,59,439,BIOMATERIALS
16,4.370,INT J NANOMED,1276,14,84,116,192,182,138,134,96,95,36,189,BIOMATERIALS
17,7.877,J CONTROL RELEASE,1172,15,118,113,138,166,125,125,99,72,31,170,BIOMATERIALS
18,5.831,BIOMATER SCI-UK,1049,25,85,93,106,124,85,111,76,63,37,244,BIOMATERIALS
19,3.862,INT J PHARMACEUT,1039,8,58,62,104,108,114,110,89,66,46,274,BIOMATERIALS
20,4.089,J TISSUE ENG REGEN M,1021,0,5,10,59,73,92,120,110,71,64,417,BIOMATERIALS
21,5.738,BIOMACROMOLECULES,1004,24,69,60,97,72,84,98,100,89,38,273,BIOMATERIALS
22,7.233,NANOSCALE,995,28,106,126,136,122,113,103,72,41,27,121,BIOMATERIALS
23,3.373,J BIOMED MATER RES B,954,0,3,14,35,46,38,45,72,61,49,591,BIOMATERIALS
24,5.158,CARBOHYD POLYM,930,4,32,40,64,57,63,61,70,52,39,448,BIOMATERIALS
25,2.467,MATERIALS,814,6,10,23,13,36,30,36,61,49,34,516,BIOMATERIALS
26,3.909,INT J BIOL MACROMOL,712,8,26,22,36,40,46,35,53,50,31,365,BIOMATERIALS
27,2.757,CURR PHARM DESIGN,664,2,39,51,67,72,63,73,53,55,37,152,BIOMATERIALS
28,3.392,MACROMOL BIOSCI,644,6,26,38,52,59,62,53,62,51,41,194,BIOMATERIALS
