,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,34622,519,2997,3575,3539,3162,2839,2506,2178,1714,1544,10049,BIOMATERIALS
2, ,ALL OTHERS (1717),1717,32,127,169,133,161,114,92,99,89,60,641,BIOMATERIALS
3,8.806,BIOMATERIALS,2500,66,288,275,320,258,252,215,209,115,77,425,BIOMATERIALS
4,13.709,ACS NANO,806,36,116,156,144,105,93,85,37,25,7,2,BIOMATERIALS
5,9.504,P NATL ACAD SCI USA,735,6,38,33,58,65,64,66,66,56,29,254,BIOMATERIALS
6,7.877,J CONTROL RELEASE,693,3,88,97,77,59,89,45,43,20,26,146,BIOMATERIALS
7,14.357,J AM CHEM SOC,643,8,41,61,77,66,62,63,51,26,29,159,BIOMATERIALS
8,21.950,ADV MATER,555,14,85,89,86,85,63,35,23,23,10,42,BIOMATERIALS
9,12.102,ANGEW CHEM INT EDIT,473,3,60,63,66,64,38,47,30,33,17,52,BIOMATERIALS
10,6.383,ACTA BIOMATER,452,21,70,73,74,58,40,35,41,21,6,13,BIOMATERIALS
11,2.766,PLOS ONE,446,1,38,57,77,85,70,49,26,20,16,7,BIOMATERIALS
12,3.508,TISSUE ENG,440,2,24,39,38,41,40,49,60,50,25,72,BIOMATERIALS
13,41.577,NATURE,429,2,30,30,26,28,19,27,12,21,28,206,BIOMATERIALS
14,41.058,SCIENCE,391,1,4,15,11,28,33,8,22,32,17,220,BIOMATERIALS
15,13.660,ADV DRUG DELIVER REV,372,4,39,22,24,47,51,30,25,23,25,82,BIOMATERIALS
16,5.738,BIOMACROMOLECULES,309,3,30,30,39,31,23,33,22,12,15,71,BIOMATERIALS
17,9.130,CANCER RES,292,1,12,5,8,21,17,8,13,14,13,180,BIOMATERIALS
18,13.325,ADV FUNCT MATER,278,10,64,71,42,33,20,15,9,3,2,9,BIOMATERIALS
19,4.011,J BIOL CHEM,271,0,3,5,12,6,9,11,13,12,13,187,BIOMATERIALS
20,31.398,CELL,262,1,14,18,12,10,14,23,15,22,12,121,BIOMATERIALS
21,39.235,NAT MATER,252,3,33,17,32,35,22,23,17,28,6,36,BIOMATERIALS
22,40.182,CHEM SOC REV,240,1,14,56,24,28,46,28,9,15,7,12,BIOMATERIALS
23,4.122,SCI REP-UK,236,11,94,66,34,25,4,2,0,0,0,0,BIOMATERIALS
24,42.784,NAT REV CANCER,230,10,6,5,15,16,21,18,7,9,8,115,BIOMATERIALS
25,9.598,SMALL,220,4,41,38,37,20,13,18,20,19,4,6,BIOMATERIALS
26,35.724,NAT BIOTECHNOL,216,2,8,22,24,5,12,8,9,7,9,110,BIOMATERIALS
27,3.231,J BIOMED MATER RES A,213,2,20,22,10,14,17,13,26,12,15,62,BIOMATERIALS
28,12.080,NANO LETT,206,4,34,25,21,13,17,18,15,8,12,39,BIOMATERIALS
29,8.097,ACS APPL MATER INTER,201,8,76,60,27,21,5,2,1,1,0,0,BIOMATERIALS
30,6.290,CHEM COMMUN,195,6,19,31,30,31,24,16,10,3,8,17,BIOMATERIALS
31,7.233,NANOSCALE,192,3,38,44,25,41,17,13,11,0,0,0,BIOMATERIALS
32,52.613,CHEM REV,188,0,18,52,23,9,14,4,28,3,8,29,BIOMATERIALS
33,37.490,NAT NANOTECHNOL,188,4,17,18,21,25,12,23,9,15,15,29,BIOMATERIALS
34,32.621,NAT MED,186,0,5,14,12,20,19,6,9,7,8,86,BIOMATERIALS
35,12.353,NAT COMMUN,181,5,40,43,52,20,20,1,0,0,0,0,BIOMATERIALS
36,4.539,J IMMUNOL,179,0,4,7,9,15,9,7,7,11,13,97,BIOMATERIALS
37,5.609,ADV HEALTHC MATER,170,8,40,47,39,26,10,0,0,0,0,0,BIOMATERIALS
38,4.776,J MATER CHEM B,156,7,30,42,49,28,0,0,0,0,0,0,BIOMATERIALS
39,18.881,CIRCULATION,155,1,8,4,5,4,8,7,6,6,17,89,BIOMATERIALS
40,4.556,MOL PHARMACEUT,154,2,13,22,22,14,22,13,15,10,16,5,BIOMATERIALS
41,8.784,J CELL BIOL,145,1,4,7,2,5,14,2,15,4,1,90,BIOMATERIALS
42,79.260,NEW ENGL J MED,145,0,2,5,8,10,12,7,11,2,3,85,BIOMATERIALS
43,15.132,BLOOD,141,2,3,4,5,11,9,12,6,7,14,68,BIOMATERIALS
44,50.167,NAT REV DRUG DISCOV,139,2,2,16,13,7,9,10,16,9,15,40,BIOMATERIALS
45,4.485,BIOCONJUGATE CHEM,137,3,9,17,18,10,3,10,14,7,11,35,BIOMATERIALS
46,3.789,LANGMUIR,137,0,7,5,14,11,14,16,10,13,8,39,BIOMATERIALS
47,15.211,CIRC RES,135,0,7,7,18,6,9,12,7,4,10,55,BIOMATERIALS
48,41.982,NAT REV IMMUNOL,130,2,2,9,5,13,8,11,13,7,19,41,BIOMATERIALS
49,13.251,J CLIN INVEST,127,0,4,8,8,11,8,6,8,6,1,67,BIOMATERIALS
50,3.862,INT J PHARMACEUT,122,2,7,8,8,12,9,11,11,7,9,38,BIOMATERIALS
51,10.199,CLIN CANCER RES,120,1,5,10,5,4,13,6,11,8,11,46,BIOMATERIALS
52,4.370,INT J NANOMED,116,2,17,21,15,17,24,5,3,1,1,10,BIOMATERIALS
53,7.008,MOL THER,114,1,6,9,8,12,10,10,13,8,11,26,BIOMATERIALS
54,6.042,ANAL CHEM,107,3,13,10,23,11,8,7,6,2,4,20,BIOMATERIALS
