Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"108,908",8.806,8.405,9.315,2.393,545,7.5,6.3,0.115,1.960,94.13,13.38300,98.92200,BIOMATERIALS
2016,"100,214",8.402,7.955,8.946,1.941,649,6.9,6.2,0.12843,1.941,93.22,14.73748,98.26800,BIOMATERIALS
2015,"95,025",8.387,7.840,8.978,1.683,757,6.4,6.1,0.14853,2.022,99.08,16.92931,98.25600,BIOMATERIALS
2014,"93,432",8.557,7.748,9.305,1.711,948,6.3,6.1,0.14867,2.005,98.31,16.65126,98.25600,BIOMATERIALS
2013,"81,229",8.312,7.440,8.911,1.425,991,6.3,5.8,0.13712,1.965,98.49,15.11292,98.23200,BIOMATERIALS
2012,"69,792",7.604,6.785,8.496,1.597,898,6.1,5.8,0.14125,2.101,97.10,Not Available,98.12500,BIOMATERIALS
2011,"60,902",7.404,6.469,8.415,1.514,"1,007",5.9,5.7,0.13065,2.031,98.81,Not Available,97.95800,BIOMATERIALS
2010,"57,047",7.883,6.786,9.076,1.207,"1,013",5.7,6.0,0.1346,2.102,98.91,Not Available,95.92900,BIOMATERIALS
2009,"46,835",7.365,6.420,8.153,1.117,760,5.3,6.1,0.12969,1.961,97.76,Not Available,97.72900,BIOMATERIALS
2008,"39,782",6.646,5.995,7.325,1.074,511,5.0,5.9,0.13141,1.848,98.83,Not Available,97.30800,BIOMATERIALS
2007,"32,942",6.262,5.615,6.378,1.100,558,4.7,6.1,0.1195,1.610,92.65,Not Available,96.73300,BIOMATERIALS
2006,"25,875",5.196,4.466,Not Available,1.150,665,4.4,6.4,Not Available,Not Available,96.24,Not Available,96.42900,BIOMATERIALS
2005,"20,558",4.698,3.815,Not Available,1.083,806,4.6,6.6,Not Available,Not Available,98.14,Not Available,96.50400,BIOMATERIALS
2004,"15,361",3.799,3.223,Not Available,0.741,637,4.8,7.3,Not Available,Not Available,97.17,Not Available,95.35700,BIOMATERIALS
2003,"11,407",2.903,2.318,Not Available,0.457,543,5.1,7.1,Not Available,Not Available,98.34,Not Available,94.04800,BIOMATERIALS
2002,"9,249",3.008,2.515,Not Available,0.426,542,5.4,7.6,Not Available,Not Available,99.82,Not Available,95.85200,BIOMATERIALS
2001,"6,729",2.489,2.151,Not Available,0.284,377,5.6,7.7,Not Available,Not Available,98.41,Not Available,95.80400,BIOMATERIALS
2000,"5,507",1.796,1.493,Not Available,0.238,281,5.8,7.2,Not Available,Not Available,96.09,Not Available,85.79300,BIOMATERIALS
1999,"4,726",1.486,1.277,Not Available,0.146,261,5.7,7.1,Not Available,Not Available,98.08,Not Available,81.45300,BIOMATERIALS
1998,"4,160",1.817,1.577,Not Available,0.143,258,5.5,7.5,Not Available,Not Available,96.90,Not Available,93.83800,BIOMATERIALS
1997,"3,099",1.284,1.083,Not Available,0.193,207,5.3,7.3,Not Available,Not Available,97.10,Not Available,74.52600,BIOMATERIALS
