,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,12583,537,1302,1662,1327,1292,977,1224,811,682,552,2217,BRAIN BEHAVIOR AND IMMUNITY
2,,ALL OTHERS (916),916,30,67,109,86,87,95,74,44,71,53,200,BRAIN BEHAVIOR AND IMMUNITY
3,6.306,BRAIN BEHAV IMMUN,816,75,121,99,78,67,58,78,63,33,35,109,BRAIN BEHAVIOR AND IMMUNITY
4,6.544,NEUROPSYCHOPHARMACOL,339,0,38,44,34,49,21,33,26,19,19,56,BRAIN BEHAVIOR AND IMMUNITY
5,4.122,SCI REP-UK,299,7,39,47,49,16,29,33,13,9,11,46,BRAIN BEHAVIOR AND IMMUNITY
6,2.766,PLOS ONE,267,8,24,30,43,15,23,21,17,10,8,68,BRAIN BEHAVIOR AND IMMUNITY
7,5.193,J NEUROINFLAMM,205,13,30,29,25,20,15,25,16,9,7,16,BRAIN BEHAVIOR AND IMMUNITY
8,5.511,FRONT IMMUNOL,183,14,29,26,16,14,10,15,7,10,4,38,BRAIN BEHAVIOR AND IMMUNITY
9,3.173,BEHAV BRAIN RES,167,4,27,30,18,20,14,16,8,10,4,16,BRAIN BEHAVIOR AND IMMUNITY
10,4.731,PSYCHONEUROENDOCRINO,149,3,11,16,13,20,21,5,13,10,7,30,BRAIN BEHAVIOR AND IMMUNITY
11,4.691,TRANSL PSYCHIAT,143,0,16,20,17,16,9,26,13,8,3,15,BRAIN BEHAVIOR AND IMMUNITY
12,8.037,NEUROSCI BIOBEHAV R,140,3,15,14,12,25,20,14,4,6,9,18,BRAIN BEHAVIOR AND IMMUNITY
13,3.687,INT J MOL SCI,114,10,14,9,8,16,7,9,11,6,4,20,BRAIN BEHAVIOR AND IMMUNITY
14,,ONCOTARGET,108,13,14,15,12,15,4,6,6,1,4,18,BRAIN BEHAVIOR AND IMMUNITY
15,5.076,MOL NEUROBIOL,104,0,7,15,12,14,9,13,9,9,2,14,BRAIN BEHAVIOR AND IMMUNITY
16,3.382,NEUROSCIENCE,95,2,8,17,10,14,6,8,5,7,6,12,BRAIN BEHAVIOR AND IMMUNITY
17,4.249,NEUROPHARMACOLOGY,88,1,8,17,7,6,5,21,8,2,2,11,BRAIN BEHAVIOR AND IMMUNITY
18,2.655,J NEUROIMMUNOL,87,4,9,11,7,4,7,14,6,5,5,15,BRAIN BEHAVIOR AND IMMUNITY
