,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,18575,223,1363,1763,1607,1468,1415,1202,1149,984,910,6491,BRAIN BEHAVIOR AND IMMUNITY
2, ,ALL OTHERS (1190),1190,18,101,104,110,94,93,73,67,65,58,407,BRAIN BEHAVIOR AND IMMUNITY
3,6.306,BRAIN BEHAV IMMUN,816,75,121,99,78,67,58,78,63,33,35,109,BRAIN BEHAVIOR AND IMMUNITY
4,5.971,J NEUROSCI,557,3,22,36,39,44,40,50,31,33,28,231,BRAIN BEHAVIOR AND IMMUNITY
5,2.766,PLOS ONE,342,2,20,48,53,88,52,40,13,16,10,0,BRAIN BEHAVIOR AND IMMUNITY
6,9.504,P NATL ACAD SCI USA,318,1,18,14,20,15,25,27,22,20,18,138,BRAIN BEHAVIOR AND IMMUNITY
7,11.984,BIOL PSYCHIAT,254,0,16,24,35,20,9,14,41,30,11,54,BRAIN BEHAVIOR AND IMMUNITY
8,4.539,J IMMUNOL,248,1,5,9,7,11,15,17,24,19,12,128,BRAIN BEHAVIOR AND IMMUNITY
9,3.382,NEUROSCIENCE,236,2,11,29,14,16,16,16,15,19,8,90,BRAIN BEHAVIOR AND IMMUNITY
10,3.125,BRAIN RES,225,0,11,14,3,11,7,15,15,12,16,121,BRAIN BEHAVIOR AND IMMUNITY
11,41.577,NATURE,222,1,8,11,16,14,13,14,13,10,15,107,BRAIN BEHAVIOR AND IMMUNITY
12,5.193,J NEUROINFLAMM,218,1,29,31,26,12,42,36,10,0,18,13,BRAIN BEHAVIOR AND IMMUNITY
13,41.058,SCIENCE,208,1,21,3,6,20,17,17,12,5,4,102,BRAIN BEHAVIOR AND IMMUNITY
14,3.173,BEHAV BRAIN RES,183,1,17,22,16,14,19,23,11,12,9,39,BRAIN BEHAVIOR AND IMMUNITY
15,2.655,J NEUROIMMUNOL,179,0,5,7,5,9,5,10,11,12,9,106,BRAIN BEHAVIOR AND IMMUNITY
16,19.912,NAT NEUROSCI,171,3,10,28,17,18,16,9,6,2,6,56,BRAIN BEHAVIOR AND IMMUNITY
17,4.731,PSYCHONEUROENDOCRINO,169,4,15,16,19,19,30,12,6,6,10,32,BRAIN BEHAVIOR AND IMMUNITY
18,6.239,STROKE,156,1,2,12,7,13,11,15,9,13,9,64,BRAIN BEHAVIOR AND IMMUNITY
19,4.011,J BIOL CHEM,148,0,4,8,5,10,9,8,5,9,4,86,BRAIN BEHAVIOR AND IMMUNITY
20,4.609,J NEUROCHEM,148,0,12,13,8,3,17,6,9,8,7,65,BRAIN BEHAVIOR AND IMMUNITY
21,6.544,NEUROPSYCHOPHARMACOL,142,15,9,17,14,7,10,9,12,7,15,27,BRAIN BEHAVIOR AND IMMUNITY
22,11.640,MOL PSYCHIATR,140,4,28,16,21,9,7,8,10,9,10,18,BRAIN BEHAVIOR AND IMMUNITY
23,6.045,J CEREBR BLOOD F MET,139,3,13,17,20,15,6,5,7,5,2,46,BRAIN BEHAVIOR AND IMMUNITY
24,5.846,GLIA,138,0,9,15,14,14,13,2,7,4,6,54,BRAIN BEHAVIOR AND IMMUNITY
25,32.635,NAT REV NEUROSCI,136,1,1,14,15,3,18,10,9,9,24,32,BRAIN BEHAVIOR AND IMMUNITY
26,4.483,EXP NEUROL,127,0,11,10,10,10,10,7,4,8,11,46,BRAIN BEHAVIOR AND IMMUNITY
27,14.319,NEURON,123,0,6,9,9,10,18,5,11,9,5,41,BRAIN BEHAVIOR AND IMMUNITY
28,41.982,NAT REV IMMUNOL,115,1,18,6,9,7,7,10,4,10,11,32,BRAIN BEHAVIOR AND IMMUNITY
29,10.250,ANN NEUROL,105,0,2,1,7,1,17,16,3,7,2,49,BRAIN BEHAVIOR AND IMMUNITY
30,10.848,BRAIN,105,0,13,11,5,14,5,3,4,8,8,34,BRAIN BEHAVIOR AND IMMUNITY
31,8.055,NEUROLOGY,104,1,4,5,1,6,5,3,4,9,4,62,BRAIN BEHAVIOR AND IMMUNITY
32,4.249,NEUROPHARMACOLOGY,104,3,13,23,12,10,17,5,2,1,3,15,BRAIN BEHAVIOR AND IMMUNITY
33,8.037,NEUROSCI BIOBEHAV R,102,1,13,9,8,6,6,2,10,14,4,29,BRAIN BEHAVIOR AND IMMUNITY
34,2.159,NEUROSCI LETT,100,0,7,4,7,8,8,6,5,4,5,46,BRAIN BEHAVIOR AND IMMUNITY
35,31.398,CELL,98,0,12,7,9,8,1,2,7,8,6,38,BRAIN BEHAVIOR AND IMMUNITY
36,5.002,J NEUROTRAUM,98,1,7,9,10,3,18,4,14,7,2,23,BRAIN BEHAVIOR AND IMMUNITY
37,5.227,NEUROBIOL DIS,98,0,2,7,7,13,3,5,14,6,16,25,BRAIN BEHAVIOR AND IMMUNITY
38,3.222,PSYCHOPHARMACOLOGY,90,0,16,7,3,5,4,5,2,4,7,37,BRAIN BEHAVIOR AND IMMUNITY
39,13.251,J CLIN INVEST,87,0,3,8,1,7,8,3,6,5,3,43,BRAIN BEHAVIOR AND IMMUNITY
40,4.454,NEUROBIOL AGING,87,2,5,9,11,11,14,5,2,1,3,24,BRAIN BEHAVIOR AND IMMUNITY
41,3.810,PSYCHOSOM MED,87,0,5,3,6,2,0,0,4,14,3,50,BRAIN BEHAVIOR AND IMMUNITY
42,4.277,ANN NY ACAD SCI,84,0,0,2,0,1,6,1,9,5,9,51,BRAIN BEHAVIOR AND IMMUNITY
43,2.832,EUR J NEUROSCI,83,0,1,2,5,0,5,3,4,3,19,41,BRAIN BEHAVIOR AND IMMUNITY
44,13.396,AM J PSYCHIAT,81,0,5,6,7,4,2,2,11,2,2,40,BRAIN BEHAVIOR AND IMMUNITY
45,11.439,TRENDS NEUROSCI,80,0,2,22,0,12,5,2,2,0,1,34,BRAIN BEHAVIOR AND IMMUNITY
46,32.621,NAT MED,79,0,8,6,4,6,2,7,4,4,6,32,BRAIN BEHAVIOR AND IMMUNITY
47,3.961,ENDOCRINOLOGY,77,0,3,4,2,2,7,5,7,6,8,33,BRAIN BEHAVIOR AND IMMUNITY
48,10.790,J EXP MED,76,0,5,6,2,4,4,6,3,1,3,42,BRAIN BEHAVIOR AND IMMUNITY
49,5.426,NEUROIMAGE,75,1,4,4,6,3,10,0,4,6,8,29,BRAIN BEHAVIOR AND IMMUNITY
50,79.260,NEW ENGL J MED,75,0,2,4,6,6,0,2,1,0,5,49,BRAIN BEHAVIOR AND IMMUNITY
51,2.517,PHYSIOL BEHAV,71,0,5,7,3,4,2,2,2,3,3,40,BRAIN BEHAVIOR AND IMMUNITY
52,3.400,J COMP NEUROL,69,0,1,0,2,2,1,0,3,2,2,56,BRAIN BEHAVIOR AND IMMUNITY
53,15.876,ACTA NEUROPATHOL,67,0,5,6,7,9,6,0,8,3,2,21,BRAIN BEHAVIOR AND IMMUNITY
54,4.691,TRANSL PSYCHIAT,67,3,23,7,11,11,11,1,0,0,0,0,BRAIN BEHAVIOR AND IMMUNITY
55,6.810,BRIT J PHARMACOL,65,1,8,10,4,6,4,6,4,3,3,16,BRAIN BEHAVIOR AND IMMUNITY
56,4.000,J PSYCHIATR RES,65,0,9,6,3,6,3,3,6,2,6,21,BRAIN BEHAVIOR AND IMMUNITY
57,6.944,SCHIZOPHRENIA BULL,65,0,4,9,5,7,5,7,5,9,2,12,BRAIN BEHAVIOR AND IMMUNITY
58,3.958,SCHIZOPHR RES,63,0,3,8,4,9,9,3,4,3,4,16,BRAIN BEHAVIOR AND IMMUNITY
59,5.076,MOL NEUROBIOL,61,2,33,15,4,4,0,1,0,0,0,2,BRAIN BEHAVIOR AND IMMUNITY
60, ,ARCH GEN PSYCHIAT,60,0,0,0,0,0,2,3,4,4,5,42,BRAIN BEHAVIOR AND IMMUNITY
61,2.662,J NEUROSCI RES,60,3,2,2,5,3,0,4,7,2,4,28,BRAIN BEHAVIOR AND IMMUNITY
62,3.040,EUR J PHARMACOL,59,0,5,6,4,2,0,4,3,2,5,28,BRAIN BEHAVIOR AND IMMUNITY
63,5.559,PAIN,59,1,2,3,3,5,4,3,4,2,7,25,BRAIN BEHAVIOR AND IMMUNITY
64,4.185,PROG NEURO-PSYCHOPH,58,0,5,5,8,7,1,4,3,2,5,18,BRAIN BEHAVIOR AND IMMUNITY
65,3.786,J AFFECT DISORDERS,57,2,5,5,8,6,8,2,6,4,0,11,BRAIN BEHAVIOR AND IMMUNITY
66,19.734,IMMUNITY,56,0,1,10,6,7,8,3,0,6,3,12,BRAIN BEHAVIOR AND IMMUNITY
67,3.706,J PHARMACOL EXP THER,56,0,2,1,2,2,2,2,3,2,1,39,BRAIN BEHAVIOR AND IMMUNITY
68,3.082,AM J PHYSIOL-REG I,54,0,0,4,2,1,1,2,2,0,2,40,BRAIN BEHAVIOR AND IMMUNITY
69,5.595,FASEB J,53,0,2,3,4,2,4,0,5,2,1,30,BRAIN BEHAVIOR AND IMMUNITY
70,47.661,JAMA-J AM MED ASSOC,53,0,0,4,3,3,1,1,2,5,2,32,BRAIN BEHAVIOR AND IMMUNITY
71,53.254,LANCET,53,0,2,1,5,4,1,0,0,4,5,31,BRAIN BEHAVIOR AND IMMUNITY
72,16.642,JAMA PSYCHIAT,52,0,4,11,14,23,0,0,0,0,0,0,BRAIN BEHAVIOR AND IMMUNITY
73,4.122,SCI REP-UK,52,3,28,12,5,2,2,0,0,0,0,0,BRAIN BEHAVIOR AND IMMUNITY
74,21.809,NAT IMMUNOL,51,0,2,1,5,2,3,8,3,2,6,19,BRAIN BEHAVIOR AND IMMUNITY
75,3.183,ALCOHOL CLIN EXP RES,50,0,2,3,6,3,3,1,6,2,0,24,BRAIN BEHAVIOR AND IMMUNITY
76,4.300,FRONT CELL NEUROSCI,50,0,7,20,17,5,0,1,0,0,0,0,BRAIN BEHAVIOR AND IMMUNITY
77,15.132,BLOOD,48,0,0,0,1,2,1,5,9,3,1,26,BRAIN BEHAVIOR AND IMMUNITY
78,20.773,GASTROENTEROLOGY,46,1,0,0,3,5,3,7,2,3,3,19,BRAIN BEHAVIOR AND IMMUNITY
