Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"12,583",6.306,5.838,6.514,2.050,262,5.2,7.2,0.027,1.935,93.51,3.13500,87.72600,BRAIN BEHAVIOR AND IMMUNITY
2016,"10,719",5.964,5.435,6.183,1.522,232,5.1,7.3,0.0264,1.887,95.26,3.03220,85.99900,BRAIN BEHAVIOR AND IMMUNITY
2015,"9,464",5.874,5.376,6.020,1.462,238,4.9,7.6,0.02397,1.791,94.12,2.73202,87.04300,BRAIN BEHAVIOR AND IMMUNITY
2014,"8,218",5.889,5.265,5.895,1.278,205,4.7,7.1,0.02239,1.728,92.20,2.50782,87.95600,BRAIN BEHAVIOR AND IMMUNITY
2013,"7,365",6.128,5.452,5.813,1.389,185,4.5,7.3,0.0212,1.657,90.81,2.33700,88.31800,BRAIN BEHAVIOR AND IMMUNITY
2012,"6,137",5.612,5.172,5.698,1.082,147,4.3,7.2,0.02194,1.719,92.52,Not Available,85.30800,BRAIN BEHAVIOR AND IMMUNITY
2011,"4,819",4.720,4.097,4.946,1.288,198,4.2,6.4,0.01558,1.421,90.40,Not Available,80.01500,BRAIN BEHAVIOR AND IMMUNITY
2010,"3,761",3.956,3.615,4.646,1.147,150,3.9,6.8,0.01418,1.445,90.67,Not Available,73.42400,BRAIN BEHAVIOR AND IMMUNITY
2009,"3,403",5.061,4.417,4.691,1.037,136,4.1,6.9,0.01266,1.424,83.82,Not Available,83.87500,BRAIN BEHAVIOR AND IMMUNITY
2008,"2,885",4.909,4.245,4.860,1.044,137,4.6,7.5,0.01076,1.363,89.05,Not Available,83.72300,BRAIN BEHAVIOR AND IMMUNITY
2007,"2,290",4.659,3.869,4.480,1.564,110,4.5,7.0,0.00859,1.207,87.27,Not Available,83.86800,BRAIN BEHAVIOR AND IMMUNITY
2006,"1,747",3.757,3.417,Not Available,0.877,65,4.5,7.2,Not Available,Not Available,83.08,Not Available,73.91300,BRAIN BEHAVIOR AND IMMUNITY
2005,"1,576",3.520,3.243,Not Available,0.931,58,4.5,6.7,Not Available,Not Available,86.21,Not Available,72.79900,BRAIN BEHAVIOR AND IMMUNITY
2004,"1,270",2.937,2.611,Not Available,0.684,57,5.7,7.1,Not Available,Not Available,85.96,Not Available,67.21600,BRAIN BEHAVIOR AND IMMUNITY
2003,"1,079",2.790,2.419,Not Available,0.652,66,6.8,6.6,Not Available,Not Available,87.88,Not Available,66.00200,BRAIN BEHAVIOR AND IMMUNITY
2002,949,2.949,2.615,Not Available,0.333,60,7.0,7.4,Not Available,Not Available,93.33,Not Available,72.00400,BRAIN BEHAVIOR AND IMMUNITY
2001,895,2.023,1.931,Not Available,0.571,21,6.9,7.4,Not Available,Not Available,80.95,Not Available,54.69200,BRAIN BEHAVIOR AND IMMUNITY
2000,817,2.184,2.061,Not Available,0.000,18,6.7,6.8,Not Available,Not Available,100.00,Not Available,59.57500,BRAIN BEHAVIOR AND IMMUNITY
1999,760,1.688,1.604,Not Available,0.192,26,6.3,7.4,Not Available,Not Available,100.00,Not Available,46.64500,BRAIN BEHAVIOR AND IMMUNITY
1998,884,2.111,1.888,Not Available,0.056,18,6.1,6.2,Not Available,Not Available,100.00,Not Available,64.93200,BRAIN BEHAVIOR AND IMMUNITY
1997,708,1.750,1.716,Not Available,0.000,17,6.1,7.2,Not Available,Not Available,100.00,Not Available,49.11500,BRAIN BEHAVIOR AND IMMUNITY
