,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,4952,151,366,395,359,315,273,219,406,229,307,1932,BRAIN PATHOLOGY
2,,ALL OTHERS (622),622,13,28,40,44,31,34,28,67,25,46,266,BRAIN PATHOLOGY
3,4.122,SCI REP-UK,128,5,14,7,4,11,10,8,8,7,9,45,BRAIN PATHOLOGY
4,6.187,BRAIN PATHOL,107,14,10,12,11,7,3,6,7,7,7,23,BRAIN PATHOLOGY
5,2.766,PLOS ONE,105,0,10,11,6,5,5,4,9,5,3,47,BRAIN PATHOLOGY
6,15.876,ACTA NEUROPATHOL,84,10,8,7,6,7,5,3,12,3,4,19,BRAIN PATHOLOGY
7,3.476,J ALZHEIMERS DIS,68,4,12,9,4,0,4,2,6,4,9,14,BRAIN PATHOLOGY
8,,ONCOTARGET,67,1,4,4,5,6,5,4,8,6,5,19,BRAIN PATHOLOGY
9,3.490,J NEUROPATH EXP NEUR,62,3,8,10,10,2,3,2,4,5,3,12,BRAIN PATHOLOGY
10,5.076,MOL NEUROBIOL,56,2,2,5,2,4,3,3,6,4,5,20,BRAIN PATHOLOGY
11,3.060,J NEURO-ONCOL,42,3,2,3,5,6,3,4,3,1,1,11,BRAIN PATHOLOGY
12,9.384,NEURO-ONCOLOGY,41,2,3,2,9,4,0,2,3,2,0,14,BRAIN PATHOLOGY
13,4.300,FRONT CELL NEUROSCI,40,6,2,1,3,1,1,0,6,1,3,16,BRAIN PATHOLOGY
14,6.059,NEUROPATH APPL NEURO,40,2,8,3,1,3,6,0,2,4,6,5,BRAIN PATHOLOGY
15,3.687,INT J MOL SCI,37,2,7,1,2,5,0,2,0,0,6,12,BRAIN PATHOLOGY
16,14.163,PROG NEUROBIOL,36,0,2,1,4,3,4,1,0,3,7,11,BRAIN PATHOLOGY
17,1.924,WORLD NEUROSURG,36,1,1,6,0,3,3,1,2,1,0,18,BRAIN PATHOLOGY
18,6.045,J CEREBR BLOOD F MET,35,0,0,3,4,5,2,0,2,0,3,16,BRAIN PATHOLOGY
