,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,5196,70,323,465,456,461,365,335,292,280,235,1914,BRAIN PATHOLOGY
2, ,ALL OTHERS (498),498,8,19,53,45,49,41,31,21,33,23,175,BRAIN PATHOLOGY
3,15.876,ACTA NEUROPATHOL,271,4,16,24,23,23,26,21,13,17,10,94,BRAIN PATHOLOGY
4,5.971,J NEUROSCI,154,2,5,9,6,6,14,2,8,12,17,73,BRAIN PATHOLOGY
5,9.504,P NATL ACAD SCI USA,122,1,3,3,7,17,8,8,6,12,3,54,BRAIN PATHOLOGY
6,41.577,NATURE,120,1,9,8,12,11,14,17,5,5,6,32,BRAIN PATHOLOGY
7,10.848,BRAIN,116,0,10,10,3,7,12,11,4,6,10,43,BRAIN PATHOLOGY
8,8.055,NEUROLOGY,116,0,3,5,8,6,4,6,4,7,5,68,BRAIN PATHOLOGY
9,3.490,J NEUROPATH EXP NEUR,112,4,3,15,6,2,5,3,6,8,4,56,BRAIN PATHOLOGY
10,6.187,BRAIN PATHOL,107,14,10,12,11,7,3,6,7,7,7,23,BRAIN PATHOLOGY
11,10.250,ANN NEUROL,99,0,6,12,3,5,5,5,3,3,6,51,BRAIN PATHOLOGY
12,5.846,GLIA,89,3,7,4,6,9,6,6,7,3,5,33,BRAIN PATHOLOGY
13,14.319,NEURON,87,1,4,4,8,12,4,8,3,6,6,31,BRAIN PATHOLOGY
14,41.058,SCIENCE,86,0,4,3,4,12,7,4,3,5,5,39,BRAIN PATHOLOGY
15,6.059,NEUROPATH APPL NEURO,71,4,5,13,2,8,4,6,6,1,6,16,BRAIN PATHOLOGY
16,4.454,NEUROBIOL AGING,68,0,3,5,10,9,5,2,2,4,2,26,BRAIN PATHOLOGY
17,2.766,PLOS ONE,68,0,5,11,11,16,9,9,3,1,3,0,BRAIN PATHOLOGY
18,4.011,J BIOL CHEM,67,0,3,1,2,2,6,5,7,0,4,37,BRAIN PATHOLOGY
19,3.125,BRAIN RES,60,0,3,2,0,2,0,3,2,1,1,46,BRAIN PATHOLOGY
20,19.912,NAT NEUROSCI,59,1,5,6,8,10,3,1,3,1,2,19,BRAIN PATHOLOGY
21,31.398,CELL,58,0,6,3,2,6,0,6,10,2,4,19,BRAIN PATHOLOGY
22,6.239,STROKE,51,0,1,6,1,4,1,4,1,6,0,27,BRAIN PATHOLOGY
23,6.045,J CEREBR BLOOD F MET,47,0,4,3,5,5,4,2,2,5,4,13,BRAIN PATHOLOGY
24,27.144,LANCET NEUROL,46,0,0,7,3,5,3,5,7,3,1,12,BRAIN PATHOLOGY
25,27.125,NAT GENET,43,0,0,3,6,5,3,1,1,5,1,18,BRAIN PATHOLOGY
26,4.902,HUM MOL GENET,42,0,5,7,4,4,1,3,4,0,1,13,BRAIN PATHOLOGY
27,4.483,EXP NEUROL,41,0,2,2,2,6,1,0,1,2,3,22,BRAIN PATHOLOGY
28,4.609,J NEUROCHEM,39,0,1,3,0,0,4,2,2,2,4,21,BRAIN PATHOLOGY
29,2.448,J NEUROL SCI,39,0,1,2,4,0,2,0,3,1,3,23,BRAIN PATHOLOGY
30,5.227,NEUROBIOL DIS,39,2,3,6,4,3,2,1,3,1,2,12,BRAIN PATHOLOGY
31,3.382,NEUROSCIENCE,38,0,4,1,1,1,1,1,3,1,1,24,BRAIN PATHOLOGY
32,32.621,NAT MED,37,0,2,7,8,0,0,7,0,0,0,13,BRAIN PATHOLOGY
33,32.635,NAT REV NEUROSCI,37,0,0,5,4,3,1,3,6,2,1,12,BRAIN PATHOLOGY
34,2.159,NEUROSCI LETT,36,0,1,3,6,0,0,0,1,2,0,23,BRAIN PATHOLOGY
35,4.069,AM J PATHOL,33,0,0,0,1,3,1,3,1,0,2,22,BRAIN PATHOLOGY
36,11.439,TRENDS NEUROSCI,32,0,0,1,1,5,3,1,1,5,2,13,BRAIN PATHOLOGY
37,7.144,J NEUROL NEUROSUR PS,31,0,2,3,3,3,1,2,1,2,1,13,BRAIN PATHOLOGY
38,23.290,CELL STEM CELL,30,0,2,3,2,8,1,1,5,1,7,0,BRAIN PATHOLOGY
39,79.260,NEW ENGL J MED,28,0,0,4,0,1,1,2,1,4,1,14,BRAIN PATHOLOGY
40,5.414,ACTA NEUROPATHOL COM,27,0,9,8,7,3,0,0,0,0,0,0,BRAIN PATHOLOGY
41,3.476,J ALZHEIMERS DIS,27,2,0,2,8,3,2,2,3,2,0,3,BRAIN PATHOLOGY
42,5.193,J NEUROINFLAMM,26,0,4,2,4,2,3,4,2,0,0,5,BRAIN PATHOLOGY
43, ,ARCH NEUROL-CHICAGO,25,0,0,0,0,0,3,3,2,2,1,14,BRAIN PATHOLOGY
44,5.280,MULT SCLER J,25,0,5,6,5,2,3,0,1,1,0,2,BRAIN PATHOLOGY
45,21.809,NAT IMMUNOL,25,0,3,2,3,2,5,2,2,3,2,1,BRAIN PATHOLOGY
46,1.887,NEUROPATHOLOGY,24,0,1,2,2,2,2,2,4,0,0,9,BRAIN PATHOLOGY
47,2.655,J NEUROIMMUNOL,23,1,0,2,2,1,1,1,0,1,2,12,BRAIN PATHOLOGY
48,8.000,CELL DEATH DIFFER,22,0,1,5,1,0,1,2,1,1,3,7,BRAIN PATHOLOGY
49,5.067,EPILEPSIA,22,0,1,0,0,5,1,2,3,0,2,8,BRAIN PATHOLOGY
50,53.254,LANCET,22,0,1,1,2,2,0,3,0,1,0,12,BRAIN PATHOLOGY
51,4.539,J IMMUNOL,21,0,2,1,1,0,3,3,3,4,0,4,BRAIN PATHOLOGY
52,5.076,MOL NEUROBIOL,21,1,5,5,2,2,1,1,1,0,1,2,BRAIN PATHOLOGY
53,12.353,NAT COMMUN,21,0,9,5,5,0,1,1,0,0,0,0,BRAIN PATHOLOGY
54,4.319,J NEUROSURG,20,0,0,2,0,2,3,1,0,0,1,11,BRAIN PATHOLOGY
55,5.638,CELL DEATH DIS,19,2,0,1,5,5,3,3,0,0,0,0,BRAIN PATHOLOGY
56,4.300,FRONT CELL NEUROSCI,19,0,3,8,6,2,0,0,0,0,0,0,BRAIN PATHOLOGY
57,2.662,J NEUROSCI RES,19,0,0,0,0,0,1,0,1,2,0,15,BRAIN PATHOLOGY
58,10.557,EMBO J,18,0,3,0,0,1,0,0,0,0,0,14,BRAIN PATHOLOGY
59,9.384,NEURO-ONCOLOGY,18,0,4,4,3,3,2,0,1,0,0,1,BRAIN PATHOLOGY
60,3.603,NEUROCHEM INT,18,0,0,1,3,6,1,1,1,2,0,3,BRAIN PATHOLOGY
61,19.734,IMMUNITY,17,0,1,1,0,1,8,3,0,0,0,3,BRAIN PATHOLOGY
62,3.400,J COMP NEUROL,17,0,2,1,1,1,0,0,0,1,0,11,BRAIN PATHOLOGY
63,6.308,CEREB CORTEX,16,0,1,1,1,1,0,1,0,2,1,8,BRAIN PATHOLOGY
64,13.251,J CLIN INVEST,16,0,1,0,3,2,3,0,0,0,2,5,BRAIN PATHOLOGY
65,22.844,CANCER CELL,15,0,1,2,1,0,0,1,5,1,0,4,BRAIN PATHOLOGY
66,8.032,CELL REP,15,0,4,3,2,4,2,0,0,0,0,0,BRAIN PATHOLOGY
67,3.783,J NEUROL,15,0,1,1,0,1,0,0,1,1,2,8,BRAIN PATHOLOGY
68,35.724,NAT BIOTECHNOL,15,1,0,1,0,2,0,5,0,3,2,1,BRAIN PATHOLOGY
69,2.772,NEUROCHEM RES,15,0,0,2,1,2,2,2,0,0,1,5,BRAIN PATHOLOGY
70,1.015,CLIN NEUROPATHOL,14,0,0,1,0,2,3,1,1,2,0,4,BRAIN PATHOLOGY
71,8.784,J CELL BIOL,14,0,0,1,1,0,0,0,0,2,1,9,BRAIN PATHOLOGY
72,11.460,JAMA NEUROL,14,0,3,3,4,4,0,0,0,0,0,0,BRAIN PATHOLOGY
73,14.163,PROG NEUROBIOL,14,0,3,0,0,2,1,0,1,1,1,5,BRAIN PATHOLOGY
74,12.764,ALZHEIMERS DEMENT,13,0,0,2,0,3,2,5,0,0,0,1,BRAIN PATHOLOGY
75,5.878,AM J SURG PATHOL,13,0,0,0,0,1,1,1,1,1,1,7,BRAIN PATHOLOGY
76,2.454,J MOL NEUROSCI,13,0,1,1,1,4,1,4,0,0,0,1,BRAIN PATHOLOGY
