Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"4,952",6.187,6.008,5.564,2.188,69,8.0,7.4,0.008,1.833,95.65,0.90500,91.63100,BRAIN PATHOLOGY
2016,"4,580",6.624,6.452,5.298,1.459,74,7.6,8.1,0.00844,1.899,95.95,0.96886,93.69400,BRAIN PATHOLOGY
2015,"4,403",5.256,5.105,4.485,1.026,77,7.5,7.8,0.00877,1.547,90.91,0.99989,90.42500,BRAIN PATHOLOGY
2014,"3,976",4.643,4.534,3.969,1.029,70,7.2,7.6,0.00814,1.325,90.00,0.91224,86.08300,BRAIN PATHOLOGY
2013,"4,114",4.354,4.270,4.316,1.373,75,6.5,6.4,0.0101,1.461,97.33,1.11322,82.76000,BRAIN PATHOLOGY
2012,"3,972",4.739,4.545,5.047,1.000,81,5.9,7.1,0.01063,1.593,96.30,Not Available,86.62900,BRAIN PATHOLOGY
2011,"3,852",3.995,3.810,4.767,1.302,63,6.8,6.3,0.01074,1.645,92.06,Not Available,82.04600,BRAIN PATHOLOGY
2010,"3,530",4.741,4.556,4.986,1.062,113,6.6,6.8,0.00935,1.661,92.04,Not Available,87.32700,BRAIN PATHOLOGY
2009,"3,260",5.903,5.846,5.225,0.963,82,6.7,6.8,0.00936,1.684,93.90,Not Available,92.72600,BRAIN PATHOLOGY
2008,"3,075",5.576,5.423,5.259,1.276,76,6.5,7.1,0.0101,1.788,94.74,Not Available,92.55200,BRAIN PATHOLOGY
2007,"2,696",3.655,3.595,4.278,0.708,48,7.2,6.3,0.00894,1.463,83.33,Not Available,79.74300,BRAIN PATHOLOGY
2006,"2,844",5.274,5.226,Not Available,1.297,37,6.5,6.8,Not Available,Not Available,94.59,Not Available,93.08100,BRAIN PATHOLOGY
2005,"2,633",4.041,3.934,Not Available,0.574,47,6.3,5.7,Not Available,Not Available,82.98,Not Available,86.48100,BRAIN PATHOLOGY
2004,"2,549",3.958,3.866,Not Available,0.678,59,5.8,5.8,Not Available,Not Available,84.75,Not Available,87.99700,BRAIN PATHOLOGY
2003,"2,584",3.838,3.676,Not Available,0.594,64,5.2,5.2,Not Available,Not Available,90.63,Not Available,87.70900,BRAIN PATHOLOGY
2002,"2,569",5.652,5.500,Not Available,0.768,56,4.6,5.2,Not Available,Not Available,85.71,Not Available,95.48500,BRAIN PATHOLOGY
2001,"2,719",8.654,8.480,Not Available,1.020,49,3.9,5.9,Not Available,Not Available,85.71,Not Available,97.85700,BRAIN PATHOLOGY
2000,"2,326",6.435,6.343,Not Available,1.000,43,4.1,4.9,Not Available,Not Available,95.35,Not Available,96.10000,BRAIN PATHOLOGY
1999,"2,085",4.154,3.986,Not Available,1.115,61,3.9,4.8,Not Available,Not Available,67.21,Not Available,91.35900,BRAIN PATHOLOGY
1998,"1,648",4.897,4.615,Not Available,1.029,70,3.8,4.5,Not Available,Not Available,82.86,Not Available,94.09000,BRAIN PATHOLOGY
1997,"1,376",5.663,5.462,Not Available,0.291,79,3.7,5.1,Not Available,Not Available,81.01,Not Available,95.77500,BRAIN PATHOLOGY
