,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,52067,589,2318,2954,3037,3034,3018,3270,2859,2989,2722,25277,BRAIN
2,,ALL OTHERS (1314),1314,7,39,38,63,87,68,64,57,67,62,762,BRAIN
3,4.122,SCI REP-UK,1365,16,71,80,111,93,81,85,82,80,59,607,BRAIN
4,10.848,BRAIN,982,105,137,91,77,62,51,52,45,47,37,278,BRAIN
5,2.766,PLOS ONE,951,5,28,42,38,60,50,57,40,68,56,507,BRAIN
6,3.508,FRONT NEUROL,730,6,24,37,19,31,42,59,34,35,33,410,BRAIN
7,5.426,NEUROIMAGE,669,4,34,43,39,28,36,38,30,34,36,347,BRAIN
8,3.869,NEUROIMAGE-CLIN,585,7,22,43,41,26,52,44,36,40,44,230,BRAIN
9,8.324,MOVEMENT DISORD,569,15,34,40,41,46,28,36,40,37,28,224,BRAIN
10,3.476,J ALZHEIMERS DIS,567,3,36,60,46,28,42,68,46,46,32,160,BRAIN
11,4.907,CORTEX,550,1,16,17,43,27,31,22,35,38,13,307,BRAIN
12,4.927,HUM BRAIN MAPP,547,1,21,42,43,26,21,32,23,38,32,268,BRAIN
13,2.871,FRONT HUM NEUROSCI,515,1,7,15,24,28,27,19,26,25,25,318,BRAIN
14,8.055,NEUROLOGY,501,4,39,53,26,35,38,43,32,26,35,170,BRAIN
15,2.889,NEUROPSYCHOLOGIA,482,3,9,11,16,20,23,30,31,29,16,294,BRAIN
16,3.614,CLIN NEUROPHYSIOL,472,3,7,31,16,13,21,24,19,35,29,274,BRAIN
17,3.877,FRONT NEUROSCI-SWITZ,422,9,26,21,30,22,22,19,18,28,31,196,BRAIN
18,5.971,J NEUROSCI,415,4,24,22,29,32,21,18,17,25,28,195,BRAIN
19,8.037,NEUROSCI BIOBEHAV R,382,0,16,24,23,21,19,22,19,20,9,209,BRAIN
20,6.308,CEREB CORTEX,378,0,8,20,22,16,14,16,23,16,16,227,BRAIN
21,2.448,J NEUROL SCI,378,1,15,13,18,21,17,26,22,29,26,190,BRAIN
22,4.454,NEUROBIOL AGING,356,0,31,40,35,19,18,23,27,24,36,103,BRAIN
23,3.582,FRONT AGING NEUROSCI,351,8,24,16,26,27,19,18,28,27,21,137,BRAIN
24,5.067,EPILEPSIA,326,7,15,19,20,11,21,32,15,20,28,138,BRAIN
25,3.382,NEUROSCIENCE,323,0,9,17,7,29,11,13,11,16,27,183,BRAIN
26,10.250,ANN NEUROL,313,3,34,34,18,20,15,24,17,14,15,119,BRAIN
27,2.371,INT REV NEUROBIOL,297,5,14,17,20,15,17,19,32,26,15,117,BRAIN
28,6.045,J CEREBR BLOOD F MET,286,0,6,11,23,18,34,30,19,26,4,115,BRAIN
29,3.783,J NEUROL,286,2,15,18,14,17,15,17,16,16,11,145,BRAIN
30,7.144,J NEUROL NEUROSUR PS,286,3,18,20,21,11,24,19,22,19,8,121,BRAIN
31,5.280,MULT SCLER J,274,1,17,20,2,7,19,14,23,16,15,140,BRAIN
32,15.876,ACTA NEUROPATHOL,270,5,28,21,21,30,25,20,13,14,13,80,BRAIN
33,,FRONT PSYCHOL,250,1,2,5,12,9,6,9,17,17,7,165,BRAIN
34,5.076,MOL NEUROBIOL,248,0,6,23,22,11,22,15,18,27,16,88,BRAIN
35,4.721,PARKINSONISM RELAT D,245,2,4,7,14,22,16,10,16,17,12,125,BRAIN
36,19.819,NAT REV NEUROL,239,10,17,18,19,17,20,15,8,16,12,87,BRAIN
37,5.002,J NEUROTRAUM,233,1,6,8,19,33,18,24,10,10,16,88,BRAIN
38,4.231,BRAIN STRUCT FUNCT,232,0,6,9,14,17,13,14,17,14,10,118,BRAIN
39,3.687,INT J MOL SCI,224,9,13,17,15,20,15,20,11,13,13,78,BRAIN
40,4.483,EXP NEUROL,209,3,3,18,15,15,6,12,6,11,13,107,BRAIN
41,2.502,J NEUROPHYSIOL,208,1,9,7,6,4,10,5,3,8,6,149,BRAIN
42,1.924,WORLD NEUROSURG,204,1,7,5,9,8,12,6,6,10,4,136,BRAIN
43,4.010,CURR OPIN NEUROL,200,11,32,16,16,7,14,8,17,6,12,61,BRAIN
44,3.719,BRAIN IMAGING BEHAV,198,0,0,13,18,12,7,19,13,20,8,88,BRAIN
45,2.219,BRAIN BEHAV,196,2,6,9,6,13,9,14,9,13,11,104,BRAIN
46,2.600,EPILEPSY BEHAV,190,1,9,12,10,4,8,14,9,13,14,96,BRAIN
47,2.839,SEIZURE-EUR J EPILEP,186,0,7,9,10,4,14,16,5,11,7,103,BRAIN
48,2.159,NEUROSCI LETT,184,1,3,10,20,19,10,8,7,13,10,83,BRAIN
49,9.504,P NATL ACAD SCI USA,183,4,6,12,10,18,16,11,9,14,8,75,BRAIN
50,1.806,EXP BRAIN RES,181,0,2,4,5,6,7,7,4,4,6,136,BRAIN
51,2.851,BRAIN LANG,180,0,3,3,7,10,11,8,7,12,6,113,BRAIN
52,3.199,CEREBELLUM,175,0,1,13,6,15,8,7,6,5,10,104,BRAIN
53,14.163,PROG NEUROBIOL,175,1,5,21,10,17,9,6,10,13,13,70,BRAIN
54,1.762,REV NEUROL-FRANCE,175,2,9,15,6,6,13,11,18,7,8,80,BRAIN
55,5.227,NEUROBIOL DIS,174,2,9,17,14,20,11,14,8,8,14,57,BRAIN
56,3.478,CURR NEUROL NEUROSCI,173,8,10,14,11,8,11,13,13,10,6,69,BRAIN
57,3.902,FRONT MOL NEUROSCI,170,8,17,14,13,19,15,6,14,6,7,51,BRAIN
58,5.511,FRONT IMMUNOL,169,6,5,11,4,11,21,14,12,18,8,59,BRAIN
59,4.902,HUM MOL GENET,168,7,9,14,22,10,13,14,10,11,10,48,BRAIN
