,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,15905,398,1284,1412,1351,1332,1222,973,945,820,650,5518,BRAIN
2, ,ALL OTHERS (993),993,17,66,74,76,80,63,63,56,36,35,427,BRAIN
3,10.848,BRAIN,982,105,137,91,77,62,51,52,45,47,37,278,BRAIN
4,8.055,NEUROLOGY,576,5,34,50,37,39,31,28,31,30,26,265,BRAIN
5,5.426,NEUROIMAGE,510,11,29,28,39,27,68,36,41,31,23,177,BRAIN
6,5.971,J NEUROSCI,484,5,20,34,41,44,39,33,35,29,19,185,BRAIN
7,10.250,ANN NEUROL,387,7,47,32,29,21,20,26,22,12,17,154,BRAIN
8,9.504,P NATL ACAD SCI USA,352,0,24,19,25,26,23,17,19,30,14,155,BRAIN
9,14.319,NEURON,290,7,18,36,22,33,28,26,18,22,10,70,BRAIN
10,41.577,NATURE,247,2,26,27,16,15,24,13,14,6,4,100,BRAIN
11,2.766,PLOS ONE,222,1,10,30,32,51,37,31,11,7,10,2,BRAIN
12,5.067,EPILEPSIA,220,5,10,18,7,20,31,13,18,3,11,84,BRAIN
13,8.324,MOVEMENT DISORD,198,3,21,27,10,17,17,15,16,7,7,58,BRAIN
14,27.144,LANCET NEUROL,189,2,23,29,17,19,19,23,9,9,7,32,BRAIN
15,15.876,ACTA NEUROPATHOL,181,6,18,9,25,18,13,15,17,8,4,48,BRAIN
16,41.058,SCIENCE,179,0,12,10,5,16,9,8,6,15,3,95,BRAIN
17,7.144,J NEUROL NEUROSUR PS,169,3,14,10,8,11,21,7,8,4,10,73,BRAIN
18,6.239,STROKE,161,0,6,9,14,13,8,8,11,19,6,67,BRAIN
19,4.011,J BIOL CHEM,159,1,7,8,2,10,12,10,12,9,9,79,BRAIN
20,27.125,NAT GENET,142,2,1,6,15,18,8,6,9,5,4,68,BRAIN
21,8.855,AM J HUM GENET,136,3,17,3,9,9,12,13,13,5,7,45,BRAIN
22,32.635,NAT REV NEUROSCI,135,4,7,12,10,7,11,6,10,13,5,50,BRAIN
23,19.912,NAT NEUROSCI,133,4,5,13,13,22,14,9,5,7,2,39,BRAIN
24,4.902,HUM MOL GENET,128,3,11,16,19,14,16,5,9,7,2,26,BRAIN
25,4.454,NEUROBIOL AGING,119,1,11,15,17,14,13,9,6,4,1,28,BRAIN
26,4.927,HUM BRAIN MAPP,114,8,13,13,21,6,7,2,2,8,5,29,BRAIN
27,6.308,CEREB CORTEX,109,6,8,12,7,6,5,5,9,10,3,38,BRAIN
28,6.045,J CEREBR BLOOD F MET,104,9,9,7,14,5,8,6,6,4,4,32,BRAIN
29, ,ARCH NEUROL-CHICAGO,103,0,0,0,0,0,6,7,8,8,8,66,BRAIN
30,79.260,NEW ENGL J MED,102,2,8,3,5,8,4,7,8,8,5,44,BRAIN
31,3.125,BRAIN RES,87,1,4,3,4,5,4,2,7,5,2,50,BRAIN
32,5.227,NEUROBIOL DIS,87,1,10,10,9,8,11,8,3,5,6,16,BRAIN
33,53.254,LANCET,86,2,8,6,8,3,5,8,0,2,1,43,BRAIN
34,31.398,CELL,83,0,6,7,4,10,8,6,4,5,1,32,BRAIN
35,2.889,NEUROPSYCHOLOGIA,83,3,3,9,3,1,2,2,7,10,2,41,BRAIN
36,4.609,J NEUROCHEM,80,0,9,4,6,3,1,5,8,4,7,33,BRAIN
37,11.984,BIOL PSYCHIAT,79,1,9,11,4,6,3,7,8,3,5,22,BRAIN
38,3.382,NEUROSCIENCE,76,1,0,4,5,11,3,4,1,5,2,40,BRAIN
39,12.764,ALZHEIMERS DEMENT,75,3,14,20,9,8,7,10,3,0,1,0,BRAIN
40,5.280,MULT SCLER J,75,7,14,9,6,5,6,3,3,4,0,18,BRAIN
41,3.490,J NEUROPATH EXP NEUR,73,0,0,2,3,5,1,7,4,7,2,42,BRAIN
42,32.621,NAT MED,73,1,6,6,8,2,5,4,3,2,7,29,BRAIN
43,3.614,CLIN NEUROPHYSIOL,72,1,5,7,8,6,3,4,4,2,1,31,BRAIN
44,11.460,JAMA NEUROL,72,4,10,16,21,21,0,0,0,0,0,0,BRAIN
45,2.502,J NEUROPHYSIOL,71,0,1,2,1,2,6,8,8,4,2,37,BRAIN
46,3.476,J ALZHEIMERS DIS,69,3,15,7,4,13,4,2,10,2,5,4,BRAIN
47,15.557,TRENDS COGN SCI,63,0,1,3,3,11,4,9,7,1,1,23,BRAIN
48,2.448,J NEUROL SCI,61,0,5,3,7,6,4,3,4,8,2,19,BRAIN
49,2.491,EPILEPSY RES,59,0,3,5,3,7,5,3,8,3,12,10,BRAIN
50,4.907,CORTEX,58,3,7,8,6,8,7,1,4,4,2,8,BRAIN
51,2.832,EUR J NEUROSCI,57,0,1,0,3,1,4,3,2,4,5,34,BRAIN
52,12.353,NAT COMMUN,57,1,14,14,10,7,11,0,0,0,0,0,BRAIN
53,11.439,TRENDS NEUROSCI,56,0,7,0,3,2,3,4,1,0,1,35,BRAIN
54,19.819,NAT REV NEUROL,53,0,5,7,10,15,4,5,6,1,0,0,BRAIN
55,4.483,EXP NEUROL,50,0,4,3,5,5,2,3,5,2,1,20,BRAIN
56,4.082,MAGN RESON MED,50,1,1,3,1,2,4,1,2,7,2,26,BRAIN
57,3.653,AM J NEURORADIOL,48,1,4,3,2,3,3,1,1,4,3,23,BRAIN
58,3.783,J NEUROL,48,0,6,5,6,8,2,3,1,3,3,11,BRAIN
59,5.359,HUM MUTAT,46,1,4,10,4,1,4,6,3,3,5,5,BRAIN
60,3.400,J COMP NEUROL,45,0,2,0,1,0,0,0,4,1,2,35,BRAIN
61,11.561,NUCLEIC ACIDS RES,45,0,3,4,6,0,6,2,8,2,1,13,BRAIN
62,4.122,SCI REP-UK,44,5,23,10,0,4,2,0,0,0,0,0,BRAIN
63,5.846,GLIA,43,1,2,3,4,4,2,1,1,4,2,19,BRAIN
64,3.468,J COGNITIVE NEUROSCI,43,0,1,4,2,1,3,3,4,3,0,22,BRAIN
65,2.668,J NEUROSCI METH,43,1,7,1,4,1,3,1,3,1,1,20,BRAIN
66,5.559,PAIN,43,1,5,2,8,1,5,2,2,0,2,15,BRAIN
67,14.675,ANNU REV NEUROSCI,42,0,0,5,3,0,3,2,1,2,3,23,BRAIN
68,7.439,J NUCL MED,42,3,5,4,3,3,3,2,2,2,0,15,BRAIN
69,8.784,J CELL BIOL,41,1,4,2,3,1,0,1,2,2,5,20,BRAIN
70,3.869,NEUROIMAGE-CLIN,41,1,7,11,12,8,2,0,0,0,0,0,BRAIN
71,4.721,PARKINSONISM RELAT D,39,1,4,8,7,5,4,5,0,1,0,4,BRAIN
72,4.277,ANN NY ACAD SCI,38,0,0,2,0,1,1,0,6,3,9,16,BRAIN
73,2.871,FRONT HUM NEUROSCI,37,2,5,0,13,10,1,3,3,0,0,0,BRAIN
74,13.251,J CLIN INVEST,37,0,1,0,4,5,9,3,2,2,2,9,BRAIN
75,4.540,J PHYSIOL-LONDON,37,1,0,0,2,4,3,3,1,2,0,21,BRAIN
76,13.396,AM J PSYCHIAT,36,0,0,3,1,0,1,2,0,1,0,28,BRAIN
77,10.557,EMBO J,36,0,3,4,1,1,2,3,5,1,1,15,BRAIN
78,5.193,J NEUROINFLAMM,36,1,5,7,4,4,5,4,1,0,4,1,BRAIN
79,8.037,NEUROSCI BIOBEHAV R,36,2,3,8,4,6,6,0,1,3,0,3,BRAIN
80,5.135,SLEEP,36,1,3,1,2,3,0,3,2,2,4,15,BRAIN
81,2.159,NEUROSCI LETT,35,0,1,1,3,0,2,1,2,5,1,19,BRAIN
82,6.541,CURR OPIN NEUROBIOL,34,0,2,3,1,6,4,2,2,0,0,14,BRAIN
83,4.539,J IMMUNOL,34,0,0,6,4,1,2,3,1,1,1,15,BRAIN
84,9.251,CURR BIOL,33,0,2,3,2,4,6,1,3,0,1,11,BRAIN
85,4.010,CURR OPIN NEUROL,33,3,3,3,2,2,4,4,2,0,1,9,BRAIN
86,7.469,RADIOLOGY,33,2,2,0,4,3,0,2,3,3,1,13,BRAIN
87,5.414,ACTA NEUROPATHOL COM,32,2,8,9,9,4,0,0,0,0,0,0,BRAIN
88,47.661,JAMA-J AM MED ASSOC,32,0,0,9,3,2,1,1,0,0,1,15,BRAIN
89,4.069,AM J PATHOL,31,0,1,0,1,0,0,2,4,3,0,20,BRAIN
90,2.559,BIOCHEM BIOPH RES CO,31,1,0,3,3,3,0,2,1,2,0,16,BRAIN
91,5.751,J MED GENET,31,1,3,3,5,5,2,0,1,1,1,9,BRAIN
92,2.779,J NEURAL TRANSM,31,1,1,1,2,1,3,3,1,1,1,16,BRAIN
93,14.163,PROG NEUROBIOL,31,0,0,1,3,2,7,3,2,1,0,12,BRAIN
94,2.600,EPILEPSY BEHAV,30,0,0,2,3,2,5,4,9,1,0,4,BRAIN
95,1.806,EXP BRAIN RES,29,2,0,1,1,0,1,0,3,2,0,19,BRAIN
96,5.595,FASEB J,29,0,0,2,2,3,0,0,8,3,6,5,BRAIN
97,3.955,PLOS COMPUT BIOL,29,0,1,6,7,0,4,0,0,4,2,5,BRAIN
98, ,ARCH GEN PSYCHIAT,28,0,0,0,0,0,2,3,2,4,0,17,BRAIN
99,4.319,J NEUROSURG,28,1,1,0,0,2,1,1,2,1,1,18,BRAIN
100,6.059,NEUROPATH APPL NEURO,28,3,0,1,1,4,2,3,0,3,2,9,BRAIN
