Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"52,067",10.848,10.378,11.202,2.561,230,9.7,7.0,0.075,4.254,96.09,8.77400,96.20900,BRAIN
2016,"48,061",10.292,9.785,10.767,2.483,238,9.2,7.2,0.07742,4.066,96.64,8.89100,96.68500,BRAIN
2015,"46,207",10.103,9.612,10.545,2.320,259,8.9,7.1,0.08378,4.110,95.37,9.54886,96.58800,BRAIN
2014,"44,379",9.196,8.878,10.418,2.422,244,8.5,7.6,0.08489,3.846,94.26,9.50755,95.88900,BRAIN
2013,"44,457",10.226,9.841,10.846,2.125,272,8.2,7.5,0.08991,3.874,95.22,9.90992,96.55800,BRAIN
2012,"41,189",9.915,9.481,10.870,2.261,280,7.8,7.0,0.09874,4.094,95.71,Not Available,96.94900,BRAIN
2011,"38,614",9.457,8.998,10.545,1.885,269,7.8,6.8,0.09964,3.914,95.91,Not Available,96.47200,BRAIN
2010,"35,378",9.232,8.828,10.143,1.530,283,7.6,7.3,0.09945,3.766,97.17,Not Available,96.91800,BRAIN
2009,"34,282",9.490,9.069,9.978,1.430,286,7.7,7.0,0.10027,3.678,92.66,Not Available,97.49500,BRAIN
2008,"31,310",9.603,9.152,9.808,1.593,275,7.3,6.8,0.09864,3.527,92.00,Not Available,97.04900,BRAIN
2007,"27,746",8.568,8.161,9.460,1.526,268,7.2,6.7,0.09959,3.600,92.54,Not Available,96.41900,BRAIN
2006,"26,132",7.617,7.207,Not Available,1.605,276,7.2,6.6,Not Available,Not Available,92.39,Not Available,95.77500,BRAIN
2005,"22,947",7.535,7.095,Not Available,1.266,256,7.0,6.9,Not Available,Not Available,91.02,Not Available,96.03000,BRAIN
2004,"20,990",8.201,7.756,Not Available,1.221,235,7.2,6.9,Not Available,Not Available,93.62,Not Available,97.57000,BRAIN
2003,"20,465",7.967,7.505,Not Available,1.445,227,7.1,6.6,Not Available,Not Available,94.71,Not Available,97.16300,BRAIN
2002,"18,669",7.122,6.710,Not Available,1.296,196,7.4,6.6,Not Available,Not Available,94.39,Not Available,96.28400,BRAIN
2001,"17,464",7.407,6.936,Not Available,1.050,202,7.3,6.6,Not Available,Not Available,92.57,Not Available,95.16700,BRAIN
2000,"16,725",7.303,6.828,Not Available,0.889,199,8.1,7.1,Not Available,Not Available,91.96,Not Available,96.12700,BRAIN
1999,"16,126",7.374,6.883,Not Available,1.011,179,8.2,6.5,Not Available,Not Available,93.30,Not Available,96.57100,BRAIN
1998,"13,582",5.952,5.356,Not Available,0.865,171,8.2,6.6,Not Available,Not Available,92.40,Not Available,96.30600,BRAIN
1997,"12,036",5.381,4.905,Not Available,0.515,163,8.8,6.4,Not Available,Not Available,89.57,Not Available,93.66500,BRAIN
