,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,2758,102,508,463,482,371,224,222,268,116,1,1,Biofabrication
2,,ALL OTHERS (263),263,7,46,38,51,31,19,21,30,20,0,0,Biofabrication
3,6.838,BIOFABRICATION,192,10,49,39,34,18,16,15,6,5,0,0,Biofabrication
4,,3D BIOPR FUND PRINXB,102,0,2,19,16,18,12,11,15,9,0,0,Biofabrication
5,3.405,ANN BIOMED ENG,91,0,7,13,19,18,9,6,18,1,0,0,Biofabrication
6,5.609,ADV HEALTHC MATER,90,3,19,18,19,9,6,6,9,0,1,0,Biofabrication
7,3.508,TISSUE ENG,87,2,18,15,10,9,4,7,15,7,0,0,Biofabrication
8,4.432,ACS BIOMATER SCI ENG,84,5,12,22,17,12,4,1,8,3,0,0,Biofabrication
9,6.383,ACTA BIOMATER,77,3,21,20,8,6,3,5,10,0,0,1,Biofabrication
10,4.122,SCI REP-UK,63,3,14,11,13,10,2,4,4,2,0,0,Biofabrication
11,,WOODH PUBL SER BIOM,61,1,6,11,7,8,7,12,5,4,0,0,Biofabrication
12,8.097,ACS APPL MATER INTER,51,1,10,10,9,10,4,5,1,1,0,0,Biofabrication
13,5.080,MAT SCI ENG C-MATER,51,1,6,13,9,12,4,1,4,1,0,0,Biofabrication
14,8.806,BIOMATERIALS,43,0,11,8,14,3,4,2,1,0,0,0,Biofabrication
15,21.950,ADV MATER,35,3,10,5,6,1,2,5,1,2,0,0,Biofabrication
16,4.814,MRS BULL,35,1,16,6,2,4,0,3,2,1,0,0,Biofabrication
17,3.507,BIOTECHNOL J,34,0,3,8,7,5,2,5,2,2,0,0,Biofabrication
18,2.222,MICROMACHINES-BASEL,34,6,5,7,8,2,1,2,3,0,0,0,Biofabrication
19,3.231,J BIOMED MATER RES A,32,0,4,5,5,5,5,5,3,0,0,0,Biofabrication
20,4.776,J MATER CHEM B,30,0,4,9,6,6,4,0,1,0,0,0,Biofabrication
21,5.995,LAB CHIP,29,2,9,1,5,4,2,2,3,1,0,0,Biofabrication
22,2.897,BIOMED MATER,28,0,3,2,9,5,3,3,2,1,0,0,Biofabrication
23,,INT J BIOPRINTING,27,0,7,4,5,3,2,2,4,0,0,0,Biofabrication
24,2.467,MATERIALS,27,0,4,4,5,3,3,4,1,3,0,0,Biofabrication
25,5.738,BIOMACROMOLECULES,26,1,15,4,2,1,1,1,1,0,0,0,Biofabrication
26,3.687,INT J MOL SCI,24,0,6,4,4,2,2,3,1,2,0,0,Biofabrication
27,2.578,J MANUF SCI E-T ASME,22,0,1,2,6,4,3,3,2,1,0,0,Biofabrication
28,3.239,J MECH BEHAV BIOMED,22,0,2,3,4,5,3,5,0,0,0,0,Biofabrication
29,11.452,BIOTECHNOL ADV,21,0,1,4,6,4,1,3,1,1,0,0,Biofabrication
30,4.920,COMPOS PART B-ENG,21,2,2,1,7,3,2,1,2,1,0,0,Biofabrication
31,5.831,BIOMATER SCI-UK,19,2,4,2,2,2,3,1,3,0,0,0,Biofabrication
32,5.239,CRIT REV BIOTECHNOL,19,0,0,0,2,5,1,2,7,2,0,0,Biofabrication
33,3.414,J ORTHOP RES,19,1,8,2,1,3,2,1,0,1,0,0,Biofabrication
34,4.927,POLYM CHEM-UK,18,2,6,4,2,3,0,1,0,0,0,0,Biofabrication
35,2.571,BIOMICROFLUIDICS,17,0,6,2,2,3,2,1,1,0,0,0,Biofabrication
36,52.613,CHEM REV,17,2,4,2,3,1,2,2,1,0,0,0,Biofabrication
37,2.936,RSC ADV,16,2,1,2,3,1,2,3,1,1,0,0,Biofabrication
38,2.621,CARTILAGE,15,0,4,2,3,3,0,1,2,0,0,0,Biofabrication
39,2.757,CURR PHARM DESIGN,15,1,1,3,3,2,1,2,1,1,0,0,Biofabrication
40,0.385,PESQUI VET BRASIL,15,0,0,7,2,0,2,0,3,1,0,0,Biofabrication
41,2.766,PLOS ONE,15,1,4,0,1,2,2,1,3,1,0,0,Biofabrication
42,8.537,THERANOSTICS,15,1,8,3,2,0,0,0,1,0,0,0,Biofabrication
43,3.373,J BIOMED MATER RES B,14,0,1,2,5,1,1,2,2,0,0,0,Biofabrication
44,3.008,MRS COMMUN,14,2,9,2,1,0,0,0,0,0,0,0,Biofabrication
45,1.888,J MICROMECH MICROENG,13,0,3,2,4,2,1,0,1,0,0,0,Biofabrication
46,,J MOL ENG MATER,12,0,0,2,4,0,1,2,3,0,0,0,Biofabrication
47,,P ASM 12 INT MANXB,12,0,2,4,1,1,2,1,0,1,0,0,Biofabrication
48,,PROC SPIE,12,0,1,6,0,0,1,3,1,0,0,0,Biofabrication
49,5.158,CARBOHYD POLYM,11,1,0,0,2,1,2,1,3,1,0,0,Biofabrication
50,4.929,STEM CELL TRANSL MED,11,0,3,2,1,2,0,1,2,0,0,0,Biofabrication
51,,IND INST MET SER,10,0,0,1,4,4,0,0,1,0,0,0,Biofabrication
52,3.612,STEM CELL REV REP,10,0,2,3,3,1,0,1,0,0,0,0,Biofabrication
53,3.862,INT J PHARMACEUT,9,0,2,1,3,2,0,0,1,0,0,0,Biofabrication
54,1.901,J APPL POLYM SCI,9,0,1,3,0,1,3,0,0,1,0,0,Biofabrication
55,4.089,J TISSUE ENG REGEN M,9,0,0,1,2,1,0,3,1,1,0,0,Biofabrication
56,2.690,MACROMOL MATER ENG,9,0,1,4,1,3,0,0,0,0,0,0,Biofabrication
57,24.537,MATER TODAY,9,1,1,2,0,0,4,0,1,0,0,0,Biofabrication
58,9.598,SMALL,9,1,1,3,1,0,2,1,0,0,0,0,Biofabrication
59,13.325,ADV FUNCT MATER,8,0,1,3,1,1,1,0,1,0,0,0,Biofabrication
60,1.689,APPL SCI-BASEL,8,0,3,0,0,1,2,0,1,1,0,0,Biofabrication
61,3.952,BIOTECHNOL BIOENG,8,1,2,0,2,1,1,0,1,0,0,0,Biofabrication
62,3.997,COLLOID SURFACE B,8,0,1,1,0,2,0,0,2,2,0,0,Biofabrication
63,,FUTUR SCI OA,8,0,4,1,0,0,2,1,0,0,0,0,Biofabrication
64,1.815,J ZHEJIANG UNIV-SC B,8,0,0,0,1,1,2,2,1,1,0,0,Biofabrication
65,1.184,JOVE-J VIS EXP,8,1,0,2,2,3,0,0,0,0,0,0,Biofabrication
66,,PROC CIRP,8,0,4,0,1,1,0,0,1,1,0,0,Biofabrication
67,,RSC SMART MATER,8,0,0,0,1,5,0,1,1,0,0,0,Biofabrication
68,2.168,CURR STEM CELL RES T,7,0,2,0,3,1,0,0,0,1,0,0,Biofabrication
69,2.448,J MATER SCI-MATER M,7,0,2,1,1,3,0,0,0,0,0,0,Biofabrication
70,0.685,M S-MED SCI,7,0,1,0,3,0,0,0,3,0,0,0,Biofabrication
71,3.392,MACROMOL BIOSCI,7,1,2,0,1,1,0,1,1,0,0,0,Biofabrication
72,2.687,MATER LETT,7,0,3,3,0,1,0,0,0,0,0,0,Biofabrication
73,7.233,NANOSCALE,7,0,1,0,1,1,1,2,1,0,0,0,Biofabrication
74,1.124,P I MECH ENG H,7,0,0,1,0,2,1,1,1,1,0,0,Biofabrication
75,13.578,TRENDS BIOTECHNOL,7,1,1,3,1,0,1,0,0,0,0,0,Biofabrication
