,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,6124,105,568,659,583,516,503,426,380,345,266,1773,Biofabrication
2, ,ALL OTHERS (759),759,15,53,84,59,54,69,51,38,38,36,262,Biofabrication
3,8.806,BIOMATERIALS,525,6,24,26,45,34,41,43,63,45,12,186,Biofabrication
4,3.508,TISSUE ENG,208,4,14,9,18,14,16,22,17,14,21,59,Biofabrication
5,6.838,BIOFABRICATION,192,10,49,39,34,18,16,15,6,5,0,0,Biofabrication
6,6.383,ACTA BIOMATER,166,5,20,26,34,18,12,15,20,8,5,3,Biofabrication
7,5.995,LAB CHIP,133,1,14,14,13,18,20,7,10,14,8,14,Biofabrication
8,21.950,ADV MATER,99,1,10,19,17,17,3,8,3,7,4,10,Biofabrication
9,9.504,P NATL ACAD SCI USA,91,0,13,4,4,4,6,7,7,4,1,41,Biofabrication
10,3.231,J BIOMED MATER RES A,90,2,5,7,10,16,6,5,9,10,4,16,Biofabrication
11,41.058,SCIENCE,80,0,0,3,2,3,9,1,6,8,3,45,Biofabrication
12,5.738,BIOMACROMOLECULES,74,0,5,5,8,1,4,11,5,4,5,26,Biofabrication
13,2.766,PLOS ONE,74,1,10,13,11,13,11,7,4,2,1,1,Biofabrication
14,41.577,NATURE,66,0,1,3,2,7,2,11,2,6,2,30,Biofabrication
15,3.952,BIOTECHNOL BIOENG,61,2,5,6,2,3,9,3,5,6,2,18,Biofabrication
16,35.724,NAT BIOTECHNOL,58,0,8,0,26,0,0,0,2,1,6,15,Biofabrication
17,4.122,SCI REP-UK,58,2,28,19,7,2,0,0,0,0,0,0,Biofabrication
18,8.097,ACS APPL MATER INTER,54,2,14,14,10,11,0,2,0,1,0,0,Biofabrication
19,5.080,MAT SCI ENG C-MATER,52,3,10,12,4,5,0,1,1,3,1,12,Biofabrication
20,2.448,J MATER SCI-MATER M,51,0,2,2,7,3,10,6,7,3,3,8,Biofabrication
21,3.789,LANGMUIR,50,0,4,6,4,2,3,2,6,2,3,18,Biofabrication
22,3.405,ANN BIOMED ENG,46,8,2,6,1,1,5,2,3,1,0,17,Biofabrication
23,13.578,TRENDS BIOTECHNOL,46,1,10,4,0,8,5,1,2,3,2,10,Biofabrication
24,4.089,J TISSUE ENG REGEN M,42,4,5,15,2,2,2,4,3,1,1,3,Biofabrication
25,39.235,NAT MATER,42,2,6,6,1,4,4,4,0,0,1,14,Biofabrication
26,5.609,ADV HEALTHC MATER,41,2,13,11,0,10,5,0,0,0,0,0,Biofabrication
27, ,J BIOMED MATER RES,40,0,0,0,0,0,0,0,0,0,0,40,Biofabrication
28,13.660,ADV DRUG DELIVER REV,39,1,6,6,6,3,4,5,0,3,2,3,Biofabrication
29,31.398,CELL,38,0,2,1,2,0,1,1,1,1,1,28,Biofabrication
30,3.373,J BIOMED MATER RES B,38,0,1,6,4,1,5,1,0,5,4,11,Biofabrication
31,7.877,J CONTROL RELEASE,32,0,1,4,2,2,5,1,1,2,1,13,Biofabrication
32,12.353,NAT COMMUN,31,0,2,14,12,1,2,0,0,0,0,0,Biofabrication
33,4.776,J MATER CHEM B,30,0,8,10,8,4,0,0,0,0,0,0,Biofabrication
34,2.431,J BIOMECH,29,1,1,0,1,0,4,1,0,1,4,16,Biofabrication
35,12.423,NAT PROTOC,27,0,2,1,2,6,4,5,2,2,0,3,Biofabrication
36,13.325,ADV FUNCT MATER,26,0,0,4,5,3,2,4,0,2,1,5,Biofabrication
37,4.401,J CELL SCI,23,0,1,0,0,0,1,1,0,2,2,16,Biofabrication
38,3.483,POLYMER,22,0,0,1,1,1,2,0,3,3,3,8,Biofabrication
39,24.558,PROG POLYM SCI,22,0,1,0,2,2,8,0,2,0,0,7,Biofabrication
40,2.897,BIOMED MATER,21,0,5,4,1,3,1,5,0,0,0,2,Biofabrication
41,23.290,CELL STEM CELL,21,0,1,1,2,2,2,0,3,4,6,0,Biofabrication
42,3.997,COLLOID SURFACE B,21,1,4,5,3,1,2,2,0,0,2,1,Biofabrication
43,13.709,ACS NANO,20,0,1,2,4,6,4,2,1,0,0,0,Biofabrication
44,6.042,ANAL CHEM,20,0,0,1,3,3,1,3,1,2,0,6,Biofabrication
45,2.077,BIOMED MICRODEVICES,19,0,1,0,1,1,2,1,1,3,1,8,Biofabrication
46,5.158,CARBOHYD POLYM,19,0,3,3,4,2,1,1,1,0,0,4,Biofabrication
47,3.862,INT J PHARMACEUT,19,0,3,6,3,2,1,1,1,1,0,1,Biofabrication
48,4.439,APPL SURF SCI,18,0,1,1,0,4,2,2,0,1,0,7,Biofabrication
49,2.571,BIOMICROFLUIDICS,18,1,2,1,2,1,2,5,3,1,0,0,Biofabrication
50,3.495,BIOPHYS J,18,0,0,0,2,1,1,0,0,3,2,9,Biofabrication
