,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,977,81,298,295,147,156,0,0,0,0,0,0,Bone Research
2,,ALL OTHERS (224),224,12,57,50,53,52,0,0,0,0,0,0,Bone Research
3,2.917,NANOSCI NANOTECH LET,173,24,89,58,2,0,0,0,0,0,0,0,Bone Research
4,2.993,J BIOBASED MATER BIO,68,8,27,33,0,0,0,0,0,0,0,0,Bone Research
5,4.122,SCI REP-UK,38,4,10,12,3,9,0,0,0,0,0,0,Bone Research
6,5.068,J BIOMED NANOTECHNOL,31,8,14,8,1,0,0,0,0,0,0,0,Bone Research
7,4.936,CELL PROLIFERAT,24,3,2,17,1,1,0,0,0,0,0,0,Bone Research
8,1.354,J NANOSCI NANOTECHNO,22,0,1,14,7,0,0,0,0,0,0,0,Bone Research
9,2.766,PLOS ONE,21,0,7,7,5,2,0,0,0,0,0,0,Bone Research
10,8.097,ACS APPL MATER INTER,19,4,7,3,4,1,0,0,0,0,0,0,Bone Research
11,12.354,BONE RES,19,1,4,4,4,6,0,0,0,0,0,0,Bone Research
12,4.455,BONE,12,0,6,4,1,1,0,0,0,0,0,0,Bone Research
13,3.687,INT J MOL SCI,12,0,5,4,1,2,0,0,0,0,0,0,Bone Research
14,5.080,MAT SCI ENG C-MATER,11,0,1,4,1,5,0,0,0,0,0,0,Bone Research
15,3.989,STEM CELLS INT,11,2,4,1,0,4,0,0,0,0,0,0,Bone Research
16,6.314,J BONE MINER RES,8,1,2,3,1,1,0,0,0,0,0,0,Bone Research
17,3.508,TISSUE ENG,8,0,1,2,2,3,0,0,0,0,0,0,Bone Research
18,3.309,EXP CELL RES,7,0,2,4,1,0,0,0,0,0,0,0,Bone Research
19,4.651,BBA-MOL CELL RES,6,1,1,3,0,1,0,0,0,0,0,0,Bone Research
20,3.726,CURR OSTEOPOROS REP,6,1,2,2,0,1,0,0,0,0,0,0,Bone Research
21,3.923,J CELL PHYSIOL,6,0,2,2,1,1,0,0,0,0,0,0,Bone Research
22,1.922,MOL MED REP,6,0,1,0,1,4,0,0,0,0,0,0,Bone Research
23,4.432,ACS BIOMATER SCI ENG,5,0,2,2,0,1,0,0,0,0,0,0,Bone Research
24,6.383,ACTA BIOMATER,5,0,0,1,1,3,0,0,0,0,0,0,Bone Research
25,8.806,BIOMATERIALS,5,0,1,1,2,1,0,0,0,0,0,0,Bone Research
26,3.457,BIOMED PHARMACOTHER,5,1,2,1,0,1,0,0,0,0,0,0,Bone Research
27,2.631,CHINESE CHEM LETT,5,1,3,1,0,0,0,0,0,0,0,0,Bone Research
28,4.776,J MATER CHEM B,5,0,0,1,3,1,0,0,0,0,0,0,Bone Research
29,6.500,NANOMED-NANOTECHNOL,5,0,1,3,1,0,0,0,0,0,0,0,Bone Research
30,7.233,NANOSCALE,5,1,1,2,0,1,0,0,0,0,0,0,Bone Research
31,,ONCOTARGET,5,0,1,1,2,1,0,0,0,0,0,0,Bone Research
32,24.014,PHYSIOL REV,5,0,1,0,0,4,0,0,0,0,0,0,Bone Research
33,3.179,ENDOCRINE,4,0,0,1,0,3,0,0,0,0,0,0,Bone Research
34,3.909,INT J BIOL MACROMOL,4,0,0,3,1,0,0,0,0,0,0,0,Bone Research
35,4.370,INT J NANOMED,4,0,1,1,1,1,0,0,0,0,0,0,Bone Research
36,5.383,J DENT RES,4,1,1,1,0,1,0,0,0,0,0,0,Bone Research
37,3.857,OSTEOPOROSIS INT,4,0,0,1,2,1,0,0,0,0,0,0,Bone Research
38,6.138,SEMIN CELL DEV BIOL,4,0,1,1,0,2,0,0,0,0,0,0,Bone Research
39,,ACS OMEGA,3,0,0,0,3,0,0,0,0,0,0,0,Bone Research
40,5.609,ADV HEALTHC MATER,3,1,1,1,0,0,0,0,0,0,0,0,Bone Research
41,4.351,ANGIOGENESIS,3,0,0,0,0,3,0,0,0,0,0,0,Bone Research
42,2.583,BIOMED RES INT,3,0,2,0,0,1,0,0,0,0,0,0,Bone Research
43,2.092,CLIN EXP PHARMACOL P,3,0,2,1,0,0,0,0,0,0,0,0,Bone Research
44,3.997,COLLOID SURFACE B,3,0,1,1,0,1,0,0,0,0,0,0,Bone Research
45,3.667,EUR CELLS MATER,3,0,1,2,0,0,0,0,0,0,0,0,Bone Research
46,1.410,EXP THER MED,3,0,2,0,1,0,0,0,0,0,0,0,Bone Research
47,4.057,INT J BIOL SCI,3,0,0,1,2,0,0,0,0,0,0,0,Bone Research
48,1.396,INT J CLIN EXP PATHO,3,1,0,1,0,1,0,0,0,0,0,0,Bone Research
49,3.231,J BIOMED MATER RES A,3,0,0,1,2,0,0,0,0,0,0,0,Bone Research
50,4.401,J CELL SCI,3,0,1,2,0,0,0,0,0,0,0,0,Bone Research
51,,J CLIN DIAGN RES,3,0,0,1,2,0,0,0,0,0,0,0,Bone Research
52,4.012,J ENDOCRINOL,3,0,1,1,0,1,0,0,0,0,0,0,Bone Research
53,0.312,J JPN I MET,3,0,0,1,0,2,0,0,0,0,0,0,Bone Research
54,3.414,J ORTHOP RES,3,0,2,0,1,0,0,0,0,0,0,0,Bone Research
55,2.078,J ORTHOP TRANSL,3,1,1,1,0,0,0,0,0,0,0,0,Bone Research
56,3.392,J PERIODONTOL,3,0,1,0,1,1,0,0,0,0,0,0,Bone Research
57,4.089,J TISSUE ENG REGEN M,3,0,0,0,2,1,0,0,0,0,0,0,Bone Research
58,2.467,MATERIALS,3,0,0,1,0,2,0,0,0,0,0,0,Bone Research
59,5.454,OSTEOARTHR CARTILAGE,3,0,0,0,3,0,0,0,0,0,0,0,Bone Research
60,2.118,PEERJ,3,0,0,0,2,1,0,0,0,0,0,0,Bone Research
61,2.936,RSC ADV,3,0,1,1,0,1,0,0,0,0,0,0,Bone Research
62,9.598,SMALL,3,0,1,2,0,0,0,0,0,0,0,0,Bone Research
63,4.929,STEM CELL TRANSL MED,3,0,1,2,0,0,0,0,0,0,0,0,Bone Research
64,13.709,ACS NANO,2,0,1,0,0,1,0,0,0,0,0,0,Bone Research
65,7.346,ADV COLLOID INTERFAC,2,0,0,0,1,1,0,0,0,0,0,0,Bone Research
66,21.950,ADV MATER,2,0,0,0,2,0,0,0,0,0,0,0,Bone Research
67,4.277,ANN NY ACAD SCI,2,0,1,0,1,0,0,0,0,0,0,0,Bone Research
68,2.050,ARCH ORAL BIOL,2,0,1,0,1,0,0,0,0,0,0,0,Bone Research
69,2.382,ARCH OSTEOPOROS,2,0,0,0,2,0,0,0,0,0,0,0,Bone Research
70,0.872,BIO-MED MATER ENG,2,0,0,0,1,1,0,0,0,0,0,0,Bone Research
71,2.897,BIOMED MATER,2,0,0,0,0,2,0,0,0,0,0,0,Bone Research
72,2.881,BIOORGAN MED CHEM,2,0,0,1,1,0,0,0,0,0,0,0,Bone Research
73,1.998,BMC MUSCULOSKEL DIS,2,0,0,2,0,0,0,0,0,0,0,0,Bone Research
74,2.413,BMJ OPEN,2,0,1,0,1,0,0,0,0,0,0,0,Bone Research
75,2.362,BONE JOINT RES,2,0,0,1,1,0,0,0,0,0,0,0,Bone Research
76,5.158,CARBOHYD POLYM,2,0,0,2,0,0,0,0,0,0,0,0,Bone Research
77,5.500,CELL PHYSIOL BIOCHEM,2,0,1,0,0,1,0,0,0,0,0,0,Bone Research
78,4.277,CURR OPIN RHEUMATOL,2,0,0,0,2,0,0,0,0,0,0,0,Bone Research
79,3.079,CURR RHEUMATOL REP,2,2,0,0,0,0,0,0,0,0,0,0,Bone Research
80,3.262,DEV BIOL,2,0,1,0,0,1,0,0,0,0,0,0,Bone Research
81,5.413,DEVELOPMENT,2,0,1,0,1,0,0,0,0,0,0,0,Bone Research
82,15.545,ENDOCR REV,2,0,1,0,0,1,0,0,0,0,0,0,Bone Research
83,2.667,ENGINEERING-PRC,2,0,0,1,1,0,0,0,0,0,0,0,Bone Research
84,2.004,EUR J MED GENET,2,0,0,1,0,1,0,0,0,0,0,0,Bone Research
85,3.519,FRONT ENDOCRINOL,2,0,0,0,0,2,0,0,0,0,0,0,Bone Research
86,5.511,FRONT IMMUNOL,2,0,0,1,0,1,0,0,0,0,0,0,Bone Research
87,3.831,FRONT PHARMACOL,2,1,0,0,1,0,0,0,0,0,0,0,Bone Research
88,,FUTUR SCI OA,2,0,1,0,1,0,0,0,0,0,0,0,Bone Research
89,4.902,HUM MOL GENET,2,0,1,1,0,0,0,0,0,0,0,0,Bone Research
90,1.116,IN VIVO,2,0,2,0,0,0,0,0,0,0,0,0,Bone Research
91,2.990,INFLAMM RES,2,1,0,0,1,0,0,0,0,0,0,0,Bone Research
92,2.199,INJURY,2,1,0,0,1,0,0,0,0,0,0,0,Bone Research
93,2.784,INT J MOL MED,2,0,1,0,1,0,0,0,0,0,0,0,Bone Research
94,4.138,INT J ORAL SCI,2,0,1,0,1,0,0,0,0,0,0,0,Bone Research
95,4.011,J BIOL CHEM,2,0,1,0,1,0,0,0,0,0,0,0,Bone Research
96,1.397,J BIOL REG HOMEOS AG,2,0,1,0,0,1,0,0,0,0,0,0,Bone Research
