,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,2537,81,236,277,245,232,199,161,142,106,103,755,Bone Research
2, ,ALL OTHERS (430),430,13,39,48,43,38,38,24,21,20,24,122,Bone Research
3,8.806,BIOMATERIALS,110,2,8,6,11,8,6,12,9,8,2,38,Bone Research
4,6.383,ACTA BIOMATER,79,10,6,13,11,10,11,8,8,2,0,0,Bone Research
5,6.314,J BONE MINER RES,75,1,3,2,6,11,6,8,2,4,4,28,Bone Research
6,4.455,BONE,54,0,5,6,1,5,4,3,1,0,3,26,Bone Research
7,5.789,J CLIN ENDOCR METAB,40,0,3,3,5,1,8,3,5,1,0,11,Bone Research
8,5.080,MAT SCI ENG C-MATER,40,7,11,7,4,3,0,2,5,1,0,0,Bone Research
9,9.504,P NATL ACAD SCI USA,40,0,2,2,3,0,3,5,4,1,3,17,Bone Research
10, ,ARTHRITIS RHEUM-US,39,0,0,0,0,3,14,0,4,1,5,12,Bone Research
11,5.454,OSTEOARTHR CARTILAGE,39,0,3,8,2,8,1,3,4,2,0,8,Bone Research
12,2.766,PLOS ONE,38,0,5,5,10,5,5,3,2,1,2,0,Bone Research
13,4.011,J BIOL CHEM,34,0,1,1,3,1,1,1,1,1,0,24,Bone Research
14,13.251,J CLIN INVEST,32,0,2,2,1,0,0,2,1,0,0,24,Bone Research
15,3.857,OSTEOPOROSIS INT,29,2,0,2,8,7,2,1,0,1,0,6,Bone Research
16,3.508,TISSUE ENG,27,1,1,4,2,3,1,1,3,2,1,8,Bone Research
17,31.398,CELL,24,0,0,2,3,1,1,0,2,2,0,13,Bone Research
18,32.621,NAT MED,21,0,2,1,0,5,0,2,3,2,2,4,Bone Research
19,2.792,SPINE,21,0,1,0,1,1,0,1,0,1,0,16,Bone Research
20,8.097,ACS APPL MATER INTER,20,5,7,2,4,2,0,0,0,0,0,0,Bone Research
21,3.961,ENDOCRINOLOGY,20,0,1,2,0,2,0,0,0,0,2,13,Bone Research
22,12.354,BONE RES,19,1,4,4,4,6,0,0,0,0,0,0,Bone Research
23,3.293,CALCIFIED TISSUE INT,19,0,0,2,1,3,1,1,1,0,1,9,Bone Research
24,3.231,J BIOMED MATER RES A,19,1,0,2,3,5,0,1,2,0,1,4,Bone Research
25,2.897,BIOMED MATER,18,2,4,2,2,2,2,1,1,2,0,0,Bone Research
26,4.122,SCI REP-UK,18,3,4,7,1,2,1,0,0,0,0,0,Bone Research
27,5.738,BIOMACROMOLECULES,17,0,1,0,4,2,4,3,0,0,0,3,Bone Research
28,4.862,CORROS SCI,17,1,4,2,3,1,1,0,2,0,1,2,Bone Research
29,4.398,J NUTR,17,0,1,0,1,0,0,1,1,3,0,10,Bone Research
30,41.577,NATURE,17,0,0,0,1,1,3,0,2,1,1,8,Bone Research
31,41.058,SCIENCE,17,0,1,0,0,0,4,1,0,0,0,11,Bone Research
32,3.414,J ORTHOP RES,16,0,2,3,1,2,0,0,3,0,1,4,Bone Research
33,79.260,NEW ENGL J MED,14,0,2,0,0,0,0,1,1,0,0,10,Bone Research
34,12.350,ANN RHEUM DIS,13,0,2,1,3,1,0,0,2,0,0,4,Bone Research
35,53.254,LANCET,13,0,0,1,0,1,2,0,2,0,1,6,Bone Research
36,6.549,AM J CLIN NUTR,12,0,2,0,0,1,0,0,0,0,2,7,Bone Research
37,4.269,ARTHRITIS RES THER,12,0,1,0,3,1,0,0,6,1,0,0,Bone Research
38,2.559,BIOCHEM BIOPH RES CO,12,0,0,0,1,0,2,0,1,1,0,7,Bone Research
39,3.373,J BIOMED MATER RES B,12,2,1,2,1,1,1,0,0,0,2,2,Bone Research
40,7.877,J CONTROL RELEASE,12,1,1,3,2,1,0,1,0,0,0,3,Bone Research
41,3.923,J CELL PHYSIOL,11,0,1,0,1,3,0,0,0,0,1,5,Bone Research
42,2.448,J MATER SCI-MATER M,11,0,3,1,1,1,1,0,1,0,0,3,Bone Research
43,4.089,J TISSUE ENG REGEN M,11,2,1,3,2,0,0,2,1,0,0,0,Bone Research
44,5.158,CARBOHYD POLYM,10,0,1,3,0,0,2,2,1,0,1,0,Bone Research
45,2.431,J BIOMECH,10,0,0,3,1,1,0,0,1,0,1,3,Bone Research
46, ,J BIOMED MATER RES,10,0,0,0,0,0,0,0,0,0,0,10,Bone Research
47,2.472,J BONE MINER METAB,10,2,2,0,0,0,1,0,1,0,0,4,Bone Research
48,4.776,J MATER CHEM B,10,0,2,3,2,3,0,0,0,0,0,0,Bone Research
