,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,4263,140,562,815,713,652,501,152,118,219,390,1,Brain Stimulation
2,,ALL OTHERS (227),227,8,33,37,41,40,24,11,5,7,21,0,Brain Stimulation
3,3.614,CLIN NEUROPHYSIOL,284,11,32,72,59,34,23,11,11,9,22,0,Brain Stimulation
4,6.120,BRAIN STIMUL,277,19,48,55,48,37,25,8,6,11,20,0,Brain Stimulation
5,2.871,FRONT HUM NEUROSCI,192,11,20,43,27,20,27,5,7,11,21,0,Brain Stimulation
6,4.122,SCI REP-UK,140,4,23,21,23,21,18,7,6,6,11,0,Brain Stimulation
7,3.877,FRONT NEUROSCI-SWITZ,117,5,17,24,18,19,15,6,0,4,9,0,Brain Stimulation
8,5.426,NEUROIMAGE,117,3,15,23,17,26,6,3,4,12,7,1,Brain Stimulation
9,2.766,PLOS ONE,90,7,8,17,14,14,12,1,3,6,8,0,Brain Stimulation
10,4.907,CORTEX,66,0,10,22,10,7,10,1,0,3,3,0,Brain Stimulation
11,,INT REV PSYCHIATR,59,0,4,14,11,14,8,1,0,1,6,0,Brain Stimulation
12,3.508,FRONT NEUROL,58,4,5,9,9,13,6,3,1,6,2,0,Brain Stimulation
13,3.382,NEUROSCIENCE,58,0,9,14,10,10,5,6,1,1,2,0,Brain Stimulation
14,,FRONT PSYCHOL,52,0,7,8,10,8,8,2,2,2,5,0,Brain Stimulation
15,2.889,NEUROPSYCHOLOGIA,50,0,6,12,5,6,13,1,1,2,4,0,Brain Stimulation
16,2.832,EUR J NEUROSCI,49,2,4,5,5,13,7,3,2,3,5,0,Brain Stimulation
17,5.971,J NEUROSCI,49,1,4,17,7,4,9,2,0,3,2,0,Brain Stimulation
18,3.582,FRONT AGING NEUROSCI,47,6,6,10,7,3,6,3,0,1,5,0,Brain Stimulation
19,2.502,J NEUROPHYSIOL,44,3,3,7,9,7,4,1,1,2,7,0,Brain Stimulation
20,1.896,J ECT,38,0,5,3,7,6,2,1,2,5,7,0,Brain Stimulation
21,2.101,RESTOR NEUROL NEUROS,34,0,0,9,4,7,3,3,1,3,4,0,Brain Stimulation
22,3.786,J AFFECT DISORDERS,33,0,10,5,2,5,4,3,0,2,2,0,Brain Stimulation
23,8.037,NEUROSCI BIOBEHAV R,33,0,3,5,7,6,6,1,2,0,3,0,Brain Stimulation
24,6.308,CEREB CORTEX,30,0,0,5,8,5,4,0,1,2,5,0,Brain Stimulation
25,1.806,EXP BRAIN RES,30,1,7,5,4,5,2,0,1,0,5,0,Brain Stimulation
26,3.199,CEREBELLUM,29,0,2,2,10,6,3,1,3,0,2,0,Brain Stimulation
27,3.138,FRONT BEHAV NEUROSCI,29,3,4,5,5,3,3,0,2,0,4,0,Brain Stimulation
28,2.774,NEUROMODULATION,29,0,3,7,3,4,5,1,1,1,4,0,Brain Stimulation
29,3.125,BRAIN RES,26,0,6,6,1,3,6,1,0,1,2,0,Brain Stimulation
30,4.540,J PHYSIOL-LONDON,26,0,2,2,6,4,5,1,0,4,2,0,Brain Stimulation
31,3.161,NEURAL PLAST,26,2,3,9,4,3,3,0,1,0,1,0,Brain Stimulation
32,3.869,NEUROIMAGE-CLIN,25,2,3,5,1,7,2,1,1,3,0,0,Brain Stimulation
33,3.468,J COGNITIVE NEUROSCI,24,0,7,1,7,3,1,2,2,0,1,0,Brain Stimulation
34,2.779,J NEURAL TRANSM,24,0,4,5,2,4,3,1,0,1,4,0,Brain Stimulation
35,3.500,SOC COGN AFFECT NEUR,23,0,5,4,3,4,3,1,0,0,3,0,Brain Stimulation
36,2.435,DOSE-RESPONSE,21,0,0,6,2,2,3,2,0,2,4,0,Brain Stimulation
37,2.857,FRONT PSYCHIATRY,21,1,1,7,5,0,2,2,0,2,1,0,Brain Stimulation
38,8.324,MOVEMENT DISORD,21,3,4,2,4,0,3,0,0,0,5,0,Brain Stimulation
39,2.159,NEUROSCI LETT,21,1,4,2,5,2,1,1,0,3,2,0,Brain Stimulation
40,,P ANN INT IEEE EMBS,21,0,2,6,2,4,1,3,1,1,1,0,Brain Stimulation
41,2.067,TRIALS,20,0,1,4,5,3,3,1,2,1,0,0,Brain Stimulation
42,1.676,BIOMED ENG ONLINE,19,0,2,1,3,5,3,0,1,2,2,0,Brain Stimulation
43,,BRAIN SCI,19,0,4,6,2,2,1,0,0,1,3,0,Brain Stimulation
44,7.616,ELIFE,19,3,2,3,1,3,1,1,0,3,2,0,Brain Stimulation
45,4.000,J PSYCHIATR RES,18,0,0,3,3,3,3,1,2,0,3,0,Brain Stimulation
46,4.483,EXP NEUROL,17,0,3,2,4,6,1,0,0,1,0,0,Brain Stimulation
47,4.300,FRONT CELL NEUROSCI,17,1,5,3,1,1,1,1,0,1,3,0,Brain Stimulation
48,,INN NEURXB,17,0,0,1,4,2,2,2,1,2,3,0,Brain Stimulation
49,2.448,J NEUROL SCI,16,0,4,1,3,4,2,0,0,1,1,0,Brain Stimulation
50,1.184,JOVE-J VIS EXP,16,1,2,3,4,3,2,0,0,0,1,0,Brain Stimulation
51,2.086,LANG COGN NEUROSCI,16,0,1,6,1,2,1,1,0,2,2,0,Brain Stimulation
52,5.719,NEUROTHERAPEUTICS,16,0,0,4,3,3,2,1,1,0,2,0,Brain Stimulation
53,,RHYTHM STIM PROCXB,16,0,1,4,1,2,3,0,1,2,2,0,Brain Stimulation
54,,AIMS NEUROSCI,15,0,4,4,2,0,3,0,0,1,1,0,Brain Stimulation
55,10.848,BRAIN,15,1,1,2,4,1,3,0,0,0,3,0,Brain Stimulation
56,2.094,EXPERT REV MED DEVIC,15,0,2,3,4,2,1,0,1,1,1,0,Brain Stimulation
57,4.185,PROG NEURO-PSYCHOPH,15,0,4,4,0,0,3,1,2,0,1,0,Brain Stimulation
58,3.173,BEHAV BRAIN RES,14,1,2,2,1,2,4,0,1,0,1,0,Brain Stimulation
59,2.371,INT REV NEUROBIOL,14,0,5,3,2,3,0,0,0,1,0,0,Brain Stimulation
60,16.642,JAMA PSYCHIAT,14,0,1,5,2,2,0,0,0,1,3,0,Brain Stimulation
61,7.461,NEUROSCIENTIST,14,0,0,5,4,2,2,0,1,0,0,0,Brain Stimulation
62,2.590,REV NEUROSCIENCE,14,0,2,3,1,2,2,2,0,0,2,0,Brain Stimulation
63,2.839,SEIZURE-EUR J EPILEP,14,0,3,2,1,2,4,1,0,0,1,0,Brain Stimulation
64,9.251,CURR BIOL,13,2,3,2,1,3,1,0,0,1,0,0,Brain Stimulation
65,3.478,CURR NEUROL NEUROSCI,13,0,4,2,1,3,2,0,0,0,1,0,Brain Stimulation
66,3.617,EUR ARCH PSY CLIN N,13,0,1,2,3,2,2,0,1,0,2,0,Brain Stimulation
67,3.865,J NEUROENG REHABIL,13,0,3,2,1,3,1,1,0,0,2,0,Brain Stimulation
68,4.454,NEUROBIOL AGING,13,0,1,4,3,2,0,0,0,0,3,0,Brain Stimulation
69,1.266,NEUROREPORT,13,0,0,3,3,5,0,1,0,1,0,0,Brain Stimulation
70,6.306,BRAIN BEHAV IMMUN,12,4,3,1,0,1,2,0,0,1,0,0,Brain Stimulation
71,1.807,CLIN EEG NEUROSCI,12,0,1,1,1,3,2,1,1,0,2,0,Brain Stimulation
72,4.927,HUM BRAIN MAPP,12,1,4,1,3,1,1,0,1,0,0,0,Brain Stimulation
73,3.476,J ALZHEIMERS DIS,12,0,1,4,2,1,2,0,0,0,2,0,Brain Stimulation
74,1.940,J NERV MENT DIS,12,0,1,3,3,2,0,0,1,2,0,0,Brain Stimulation
75,1.854,J NEUROPSYCH CLIN N,12,0,2,1,4,1,2,0,1,1,0,0,Brain Stimulation
76,4.738,J PSYCHOPHARMACOL,12,1,2,3,3,0,0,0,2,0,1,0,Brain Stimulation
77,,NEURODEGENER DIS MAN,12,0,1,1,2,1,4,0,0,2,1,0,Brain Stimulation
78,2.891,BIOL PSYCHOL,11,0,1,3,2,1,2,0,0,1,1,0,Brain Stimulation
79,2.413,BMJ OPEN,11,0,1,0,3,2,1,0,0,1,3,0,Brain Stimulation
80,2.565,COGN AFFECT BEHAV NE,11,0,4,0,1,0,1,0,0,2,3,0,Brain Stimulation
81,2.600,EPILEPSY BEHAV,11,3,1,4,3,0,0,0,0,0,0,0,Brain Stimulation
82,12.353,NAT COMMUN,11,1,0,3,4,2,0,0,0,0,1,0,Brain Stimulation
83,32.635,NAT REV NEUROSCI,11,0,1,0,1,2,1,1,1,1,3,0,Brain Stimulation
84,2.045,NEUROPHYSIOL CLIN,11,1,1,1,2,0,0,0,2,2,2,0,Brain Stimulation
85,4.721,PARKINSONISM RELAT D,11,1,4,1,2,0,0,0,1,0,2,0,Brain Stimulation
86,2.223,PSYCHIAT RES,11,0,0,0,3,2,3,0,1,0,2,0,Brain Stimulation
87,1.924,WORLD NEUROSURG,11,0,1,2,2,1,2,0,1,2,0,0,Brain Stimulation
88,3.719,BRAIN IMAGING BEHAV,10,0,0,1,2,3,2,1,0,0,1,0,Brain Stimulation
