,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,5896,78,351,426,484,421,378,313,308,297,310,2530,Brain Stimulation
2, ,ALL OTHERS (598),598,8,28,55,46,40,32,30,23,21,21,294,Brain Stimulation
3,3.614,CLIN NEUROPHYSIOL,292,4,23,21,25,12,13,13,12,27,11,131,Brain Stimulation
4,6.120,BRAIN STIMUL,277,19,48,55,48,37,25,8,6,11,20,0,Brain Stimulation
5,5.971,J NEUROSCI,238,1,7,18,17,25,12,19,16,15,7,101,Brain Stimulation
6,5.426,NEUROIMAGE,175,1,10,14,26,17,17,16,4,6,10,54,Brain Stimulation
7,4.540,J PHYSIOL-LONDON,166,1,2,2,4,16,9,6,8,7,9,102,Brain Stimulation
8,2.502,J NEUROPHYSIOL,135,1,1,6,7,10,15,11,13,7,7,57,Brain Stimulation
9,1.806,EXP BRAIN RES,119,1,2,2,2,2,8,3,5,7,14,73,Brain Stimulation
10,11.984,BIOL PSYCHIAT,100,0,3,6,8,6,11,3,5,7,4,47,Brain Stimulation
11,14.319,NEURON,97,0,1,3,2,2,4,5,14,4,5,57,Brain Stimulation
12,6.308,CEREB CORTEX,96,1,10,5,9,11,7,3,8,7,13,22,Brain Stimulation
13,10.848,BRAIN,90,0,2,5,4,3,6,1,4,1,6,58,Brain Stimulation
14,8.055,NEUROLOGY,81,1,0,6,2,0,5,1,6,1,7,52,Brain Stimulation
15,2.766,PLOS ONE,81,0,9,11,16,13,14,8,3,6,1,0,Brain Stimulation
16,2.889,NEUROPSYCHOLOGIA,75,0,4,7,8,7,2,3,5,2,7,30,Brain Stimulation
17,9.504,P NATL ACAD SCI USA,74,0,2,5,3,3,4,4,6,9,3,35,Brain Stimulation
18,3.125,BRAIN RES,62,0,1,3,4,0,4,2,0,2,0,46,Brain Stimulation
19,2.832,EUR J NEUROSCI,54,0,4,1,2,1,3,3,4,1,2,33,Brain Stimulation
20,10.250,ANN NEUROL,49,0,0,0,0,6,1,0,2,2,4,34,Brain Stimulation
21,7.144,J NEUROL NEUROSUR PS,49,0,4,0,3,2,0,0,3,2,3,32,Brain Stimulation
22,6.544,NEUROPSYCHOPHARMACOL,49,1,2,4,8,1,2,1,0,4,7,19,Brain Stimulation
23,41.058,SCIENCE,48,0,0,0,3,1,2,0,0,2,4,36,Brain Stimulation
24, ,ELECTROEN CLIN NEURO,47,0,0,1,0,0,0,0,0,0,0,46,Brain Stimulation
25,2.871,FRONT HUM NEUROSCI,47,1,7,5,6,17,4,0,5,0,2,0,Brain Stimulation
26,13.396,AM J PSYCHIAT,45,1,1,0,0,0,3,5,2,0,1,32,Brain Stimulation
27,41.577,NATURE,45,0,1,1,1,3,1,4,1,0,1,32,Brain Stimulation
28,4.711,NEUROREHAB NEURAL RE,42,0,7,2,3,5,8,1,1,4,7,4,Brain Stimulation
29,3.382,NEUROSCIENCE,42,2,7,1,1,1,5,2,3,0,1,19,Brain Stimulation
30,8.324,MOVEMENT DISORD,41,0,1,4,4,2,2,3,5,1,2,17,Brain Stimulation
31, ,ARCH GEN PSYCHIAT,39,0,0,0,0,0,3,2,10,3,1,20,Brain Stimulation
32,5.067,EPILEPSIA,39,0,1,2,1,1,5,1,3,1,2,22,Brain Stimulation
33,4.927,HUM BRAIN MAPP,37,0,3,0,2,3,8,4,1,7,2,7,Brain Stimulation
34,32.635,NAT REV NEUROSCI,37,0,1,3,1,3,2,3,0,3,5,16,Brain Stimulation
35,2.159,NEUROSCI LETT,37,1,3,0,2,6,1,2,1,3,1,17,Brain Stimulation
36,3.468,J COGNITIVE NEUROSCI,36,0,1,0,1,1,2,1,1,6,4,19,Brain Stimulation
37,3.958,SCHIZOPHR RES,32,0,2,4,3,4,3,3,0,1,3,9,Brain Stimulation
38,6.239,STROKE,32,0,1,0,5,1,4,1,4,2,1,13,Brain Stimulation
39,8.037,NEUROSCI BIOBEHAV R,31,1,4,5,5,6,1,4,0,2,0,3,Brain Stimulation
40,2.668,J NEUROSCI METH,30,0,0,0,1,0,2,2,3,1,3,18,Brain Stimulation
41,4.247,J CLIN PSYCHIAT,29,0,0,0,3,1,0,2,4,1,1,17,Brain Stimulation
42,3.400,J COMP NEUROL,29,0,0,0,0,0,0,0,0,0,0,29,Brain Stimulation
43,5.559,PAIN,29,0,1,3,1,2,1,4,1,2,1,13,Brain Stimulation
44,19.912,NAT NEUROSCI,28,0,0,2,3,2,0,1,0,4,2,14,Brain Stimulation
45,4.483,EXP NEUROL,27,0,0,0,3,1,2,4,0,2,2,13,Brain Stimulation
46,1.266,NEUROREPORT,27,0,0,1,1,2,0,2,0,1,5,15,Brain Stimulation
47,1.648,STEREOT FUNCT NEUROS,27,0,1,1,2,2,5,3,4,2,1,6,Brain Stimulation
48,3.786,J AFFECT DISORDERS,25,0,4,3,1,2,2,2,1,3,2,5,Brain Stimulation
49,3.173,BEHAV BRAIN RES,23,0,4,5,1,1,1,2,0,0,3,6,Brain Stimulation
50,3.981,INT J NEUROPSYCHOPH,23,0,0,2,2,3,3,2,2,2,3,4,Brain Stimulation
51,1.896,J ECT,23,0,2,0,2,3,1,4,3,1,0,7,Brain Stimulation
52,53.254,LANCET,23,0,0,0,0,0,2,0,0,0,0,21,Brain Stimulation
53,9.251,CURR BIOL,22,0,1,0,5,2,2,1,3,2,1,5,Brain Stimulation
54,4.621,EUR J NEUROL,22,0,2,3,2,2,0,0,5,3,2,3,Brain Stimulation
55,4.319,J NEUROSURG,22,2,2,0,2,2,1,0,2,0,3,8,Brain Stimulation
56,4.000,J PSYCHIATR RES,22,0,1,2,0,2,0,1,2,1,1,12,Brain Stimulation
57,3.920,J NEURAL ENG,21,0,3,2,4,1,1,6,0,2,1,1,Brain Stimulation
58,2.448,J NEUROL SCI,21,1,2,1,4,0,0,1,0,1,2,9,Brain Stimulation
59,15.557,TRENDS COGN SCI,21,0,0,1,3,0,2,1,0,2,2,10,Brain Stimulation
60,1.982,J CLIN NEUROPHYSIOL,20,0,0,1,4,1,2,0,0,0,0,12,Brain Stimulation
61,4.475,NEUROSURGERY,20,0,2,0,2,1,1,3,1,2,2,6,Brain Stimulation
62,11.439,TRENDS NEUROSCI,19,0,0,0,0,3,0,1,1,4,0,10,Brain Stimulation
63,2.779,J NEURAL TRANSM,18,0,4,1,0,2,0,1,1,0,1,8,Brain Stimulation
64,3.783,J NEUROL,18,0,2,1,1,2,1,3,0,3,0,5,Brain Stimulation
65,27.144,LANCET NEUROL,18,0,0,1,2,2,1,0,2,1,1,8,Brain Stimulation
66,2.703,BRAIN TOPOGR,17,0,0,1,2,3,1,1,2,0,1,6,Brain Stimulation
67,7.461,NEUROSCIENTIST,17,0,3,4,1,1,1,5,0,0,1,1,Brain Stimulation
