Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"4,263",6.120,5.662,5.896,1.400,100,3.9,8.6,0.015,1.914,93.00,1.69400,90.48200,Brain Stimulation
2016,"3,905",6.078,5.502,6.033,1.526,97,3.4,7.2,0.01299,1.836,92.78,1.49175,90.50300,Brain Stimulation
2015,"2,918",4.793,4.223,5.274,1.359,128,3.2,7.2,0.00907,1.538,95.31,1.03367,85.67500,Brain Stimulation
2014,"1,920",4.399,3.831,4.737,0.949,117,2.9,7.4,0.00683,1.433,95.73,0.76457,83.34000,Brain Stimulation
2013,"1,502",5.432,4.711,6.950,0.822,129,3.0,8.2,0.00634,1.911,97.67,0.69842,88.96200,Brain Stimulation
2012,786,4.538,3.630,6.183,0.468,79,3.4,7.2,0.00396,1.890,94.94,Not Available,83.63300,Brain Stimulation
2011,518,3.755,3.490,6.000,0.667,39,3.1,7.3,0.00312,2.099,94.87,Not Available,76.30800,Brain Stimulation
2010,283,4.964,4.654,4.964,0.269,26,2.3,6.5,0.00188,1.760,96.15,Not Available,86.52700,Brain Stimulation
2009,94,3.000,2.428,3.000,0.370,27,Not Available,6.3,5.9E-4,1.008,88.89,Not Available,63.59200,Brain Stimulation
2008,23,Not Available,Not Available,Not Available,0.821,28,Not Available,5.1,0.0,Not Available,67.86,Not Available,1.59300,Brain Stimulation
