,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,35217,503,2247,3030,3920,2771,3436,3087,2933,2274,1703,9313,CANCER CELL
2,,ALL OTHERS (752),752,5,27,60,49,30,61,53,48,47,44,328,CANCER CELL
3,,ONCOTARGET,2805,20,180,183,310,220,269,244,236,194,162,787,CANCER CELL
4,4.122,SCI REP-UK,1031,7,53,73,118,71,103,89,81,83,59,294,CANCER CELL
5,6.854,ONCOGENE,746,3,28,55,91,73,89,76,79,48,49,155,CANCER CELL
6,12.353,NAT COMMUN,621,1,43,67,88,70,73,52,51,30,20,126,CANCER CELL
7,9.130,CANCER RES,603,7,43,63,92,55,55,51,62,31,24,120,CANCER CELL
8,2.766,PLOS ONE,561,2,28,38,62,38,59,51,43,27,29,184,CANCER CELL
9,3.687,INT J MOL SCI,455,10,28,25,55,36,46,29,41,35,23,127,CANCER CELL
10,10.199,CLIN CANCER RES,423,6,34,41,53,37,53,41,34,20,10,94,CANCER CELL
11,22.844,CANCER CELL,388,66,33,37,50,34,44,33,20,18,7,46,CANCER CELL
12,15.132,BLOOD,363,3,32,55,30,32,43,41,33,4,17,73,CANCER CELL
13,8.032,CELL REP,362,6,41,38,47,31,26,34,41,19,14,65,CANCER CELL
14,6.491,CANCER LETT,359,9,27,25,48,31,39,19,29,35,24,73,CANCER CELL
15,1.664,ONCOL LETT,297,1,2,9,32,21,22,14,25,23,19,129,CANCER CELL
16,9.504,P NATL ACAD SCI USA,264,6,23,26,35,28,30,13,22,16,7,58,CANCER CELL
17,42.784,NAT REV CANCER,239,6,15,28,38,18,33,23,10,15,6,47,CANCER CELL
18,10.023,LEUKEMIA,229,0,9,23,29,20,26,19,26,6,14,57,CANCER CELL
19,5.365,MOL CANCER THER,227,3,8,19,35,28,21,28,19,12,11,43,CANCER CELL
20,5.326,CANCERS,220,5,13,15,30,17,18,28,21,17,7,49,CANCER CELL
21,4.416,FRONT ONCOL,216,3,14,21,18,21,34,24,15,10,12,44,CANCER CELL
22,7.776,MOL CANCER,200,1,22,15,25,19,23,19,13,19,12,32,CANCER CELL
23,2.976,ONCOL REP,190,1,14,12,29,13,13,16,10,13,11,58,CANCER CELL
24,2.559,BIOCHEM BIOPH RES CO,184,6,15,11,22,13,16,12,8,17,8,56,CANCER CELL
25,4.011,J BIOL CHEM,184,0,14,12,23,17,16,15,17,7,11,52,CANCER CELL
26,7.038,TRENDS CANCER,176,6,19,20,21,18,21,26,10,6,5,24,CANCER CELL
27,,TUMOR BIOL,174,0,5,6,23,8,18,12,19,18,14,51,CANCER CELL
28,5.511,FRONT IMMUNOL,173,7,21,19,15,20,13,14,8,19,9,28,CANCER CELL
29,5.638,CELL DEATH DIS,171,1,16,3,19,19,17,12,12,7,13,52,CANCER CELL
30,31.398,CELL,168,7,17,23,27,15,12,18,12,9,6,22,CANCER CELL
31,10.198,SEMIN CANCER BIOL,167,0,9,9,12,18,18,25,12,21,15,28,CANCER CELL
32,24.373,CANCER DISCOV,160,8,16,23,16,18,6,16,19,6,1,31,CANCER CELL
33,41.577,NATURE,157,3,10,22,21,14,22,24,12,6,4,19,CANCER CELL
34,5.264,MOL ONCOL,153,2,7,8,13,19,26,22,7,12,10,27,CANCER CELL
35,4.597,MOL CANCER RES,152,4,9,7,27,17,13,10,16,8,2,39,CANCER CELL
36,13.251,J CLIN INVEST,148,1,9,19,15,14,19,16,15,9,5,26,CANCER CELL
37,5.503,ONCOIMMUNOLOGY,147,11,18,33,14,13,13,12,3,11,3,16,CANCER CELL
38,4.372,CANCER SCI,145,3,7,11,15,13,11,20,16,10,7,32,CANCER CELL
39,7.333,J HEMATOL ONCOL,142,4,16,21,17,9,14,16,15,5,4,21,CANCER CELL
40,3.333,INT J ONCOL,134,1,4,5,9,13,15,19,10,10,10,38,CANCER CELL
41,9.384,NEURO-ONCOLOGY,131,1,2,17,6,17,10,15,31,2,3,27,CANCER CELL
42,3.288,BMC CANCER,130,0,2,1,10,11,13,16,11,12,5,49,CANCER CELL
43,1.922,MOL MED REP,130,1,1,6,12,8,8,9,9,13,9,54,CANCER CELL
44,5.922,BRIT J CANCER,128,1,8,11,16,16,19,9,8,8,6,26,CANCER CELL
45,7.616,ELIFE,128,2,9,7,8,13,13,10,8,7,5,46,CANCER CELL
46,32.621,NAT MED,128,7,15,19,10,15,15,6,10,2,4,25,CANCER CELL
47,3.304,CELL CYCLE,122,6,19,7,11,7,11,10,8,7,5,31,CANCER CELL
48,3.191,GENES-BASEL,120,4,15,6,11,9,19,3,15,3,9,26,CANCER CELL
49,3.457,BIOMED PHARMACOTHER,119,0,9,7,15,6,9,11,10,9,8,35,CANCER CELL
50,7.360,INT J CANCER,117,1,6,11,18,7,6,13,11,8,7,29,CANCER CELL
51,9.462,GENE DEV,113,2,12,15,15,10,11,9,7,3,5,24,CANCER CELL
52,1.396,INT J CLIN EXP PATHO,113,0,8,7,9,10,12,13,7,5,12,30,CANCER CELL
53,6.253,J PATHOL,111,0,6,7,11,4,13,17,10,9,4,30,CANCER CELL
54,3.979,CSH PERSPECT MED,110,0,4,19,15,6,12,12,10,4,4,24,CANCER CELL
55,1.200,TRANSL CANCER RES,109,14,17,11,11,6,9,6,13,3,1,18,CANCER CELL
56,8.220,BBA-REV CANCER,108,3,16,15,7,11,12,7,1,8,7,21,CANCER CELL
57,24.653,NAT REV CLIN ONCOL,106,3,5,19,10,16,8,9,6,6,3,21,CANCER CELL
58,6.378,SCI SIGNAL,104,0,8,9,12,8,8,12,9,5,6,27,CANCER CELL
