,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,7662,283,822,939,869,762,646,513,494,344,294,1696,CANCER CELL
2, ,ALL OTHERS (423),423,20,50,47,47,28,35,30,22,19,20,105,CANCER CELL
3,41.577,NATURE,503,14,43,64,64,41,70,41,32,24,10,100,CANCER CELL
4,22.844,CANCER CELL,388,66,33,37,50,34,44,33,20,18,7,46,CANCER CELL
5,31.398,CELL,320,9,29,41,35,37,35,29,21,14,11,59,CANCER CELL
6,9.504,P NATL ACAD SCI USA,280,2,14,16,27,37,17,16,17,15,11,108,CANCER CELL
7,9.130,CANCER RES,272,5,16,28,22,14,16,16,20,19,18,98,CANCER CELL
8,15.132,BLOOD,244,3,14,20,13,19,24,26,19,12,17,77,CANCER CELL
9,41.058,SCIENCE,203,6,18,33,19,27,3,14,5,9,14,55,CANCER CELL
10,27.125,NAT GENET,163,10,11,28,16,31,16,2,4,6,5,34,CANCER CELL
11,79.260,NEW ENGL J MED,155,2,17,32,23,11,17,7,15,2,7,22,CANCER CELL
12,32.621,NAT MED,143,5,15,29,21,17,10,11,2,2,8,23,CANCER CELL
13,10.199,CLIN CANCER RES,137,7,26,12,13,11,16,9,7,7,4,25,CANCER CELL
14,42.784,NAT REV CANCER,137,6,19,17,12,12,12,13,9,7,4,26,CANCER CELL
15,4.011,J BIOL CHEM,119,1,2,12,7,2,10,11,5,4,2,63,CANCER CELL
16,6.854,ONCOGENE,118,1,7,13,9,9,4,3,14,6,10,42,CANCER CELL
17,5.481,BIOINFORMATICS,113,0,2,7,15,17,6,4,32,20,1,9,CANCER CELL
18,2.766,PLOS ONE,105,5,8,13,13,17,13,6,13,8,6,3,CANCER CELL
19,26.360,J CLIN ONCOL,100,3,12,5,5,8,6,15,10,7,5,24,CANCER CELL
20,13.251,J CLIN INVEST,98,3,11,11,10,17,7,9,3,4,4,19,CANCER CELL
21,9.462,GENE DEV,95,1,4,16,3,10,10,10,12,1,2,26,CANCER CELL
22,24.373,CANCER DISCOV,92,4,29,15,12,16,12,4,0,0,0,0,CANCER CELL
23,12.353,NAT COMMUN,87,5,32,30,14,4,1,0,1,0,0,0,CANCER CELL
24,14.248,MOL CELL,82,3,5,9,9,7,3,8,8,6,5,19,CANCER CELL
25,4.539,J IMMUNOL,81,0,1,4,6,8,7,2,8,3,5,37,CANCER CELL
26,10.790,J EXP MED,79,3,2,7,2,6,9,10,4,0,3,33,CANCER CELL
27,13.214,GENOME BIOL,69,0,4,5,12,9,1,11,8,5,10,4,CANCER CELL
28,11.561,NUCLEIC ACIDS RES,68,0,15,9,8,9,6,3,6,3,0,9,CANCER CELL
29,23.290,CELL STEM CELL,58,0,5,14,12,5,1,3,4,5,4,5,CANCER CELL
30,19.064,NAT CELL BIOL,57,0,4,10,11,5,5,1,6,3,5,7,CANCER CELL
31,3.813,MOL CELL BIOL,55,0,0,0,1,4,3,4,2,1,6,34,CANCER CELL
32, ,ONCOTARGET,55,4,22,23,2,1,1,1,1,0,0,0,CANCER CELL
33,8.032,CELL REP,52,2,17,8,14,11,0,0,0,0,0,0,CANCER CELL
34,16.710,SCI TRANSL MED,50,4,8,12,15,4,3,3,1,0,0,0,CANCER CELL
35,26.919,NAT METHODS,48,1,5,8,7,9,10,2,3,1,1,1,CANCER CELL
36,19.734,IMMUNITY,46,1,8,3,8,4,2,3,0,2,2,13,CANCER CELL
37,35.724,NAT BIOTECHNOL,41,0,7,2,10,5,7,1,5,1,2,1,CANCER CELL
38,50.167,NAT REV DRUG DISCOV,40,2,0,3,8,5,3,7,2,2,1,7,CANCER CELL
39,10.023,LEUKEMIA,39,5,4,5,4,2,1,1,1,0,0,16,CANCER CELL
40,10.557,EMBO J,36,2,1,2,1,2,5,2,1,1,2,17,CANCER CELL
41,20.773,GASTROENTEROLOGY,36,0,0,2,8,7,6,0,4,3,1,5,CANCER CELL
42,8.784,J CELL BIOL,36,0,0,2,1,2,4,2,9,1,5,10,CANCER CELL
43,9.384,NEURO-ONCOLOGY,36,4,10,8,1,3,3,3,3,0,0,1,CANCER CELL
44,5.365,MOL CANCER THER,35,0,7,2,4,5,5,1,2,0,0,9,CANCER CELL
45,10.101,GENOME RES,32,1,0,2,6,2,11,0,3,1,1,5,CANCER CELL
46,12.423,NAT PROTOC,32,0,0,0,1,5,4,1,1,9,4,7,CANCER CELL
47,15.876,ACTA NEUROPATHOL,31,2,9,4,2,6,5,1,0,0,0,2,CANCER CELL
48,4.122,SCI REP-UK,31,2,11,8,4,5,1,0,0,0,0,0,CANCER CELL
49,7.360,INT J CANCER,29,1,3,6,3,3,0,2,1,1,0,9,CANCER CELL
50,9.616,DEV CELL,28,0,1,3,5,5,1,2,4,1,0,6,CANCER CELL
51,13.843,NAT CHEM BIOL,28,2,2,5,5,5,3,3,1,1,0,1,CANCER CELL
52,11.238,JNCI-J NATL CANCER I,27,0,5,3,7,1,1,1,3,0,0,6,CANCER CELL
53,36.421,LANCET ONCOL,27,0,5,12,5,2,2,0,0,0,0,1,CANCER CELL
