Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"35,217",22.844,22.541,27.072,4.745,106,6.5,5.2,0.097,12.366,95.28,11.32000,97.35800,CANCER CELL
2016,"32,653",27.407,26.765,27.660,4.264,121,6.1,5.0,0.10279,12.785,95.87,11.79442,98.27200,CANCER CELL
2015,"29,149",23.214,22.879,26.343,4.982,110,5.9,5.0,0.10244,12.498,99.09,11.67588,98.24300,CANCER CELL
2014,"27,283",23.523,22.941,27.252,4.707,116,5.7,4.9,0.1068,13.240,97.41,11.96176,98.22000,CANCER CELL
2013,"24,929",23.893,23.333,27.238,4.981,108,5.5,5.2,0.11493,14.431,96.30,12.66767,98.19200,CANCER CELL
2012,"22,200",24.755,24.053,27.059,4.465,114,5.4,5.1,0.1082,14.017,97.37,Not Available,98.16600,CANCER CELL
2011,"19,726",26.566,25.845,28.174,5.045,111,5.0,5.0,0.11452,15.267,98.20,Not Available,98.67200,CANCER CELL
2010,"17,941",26.925,26.331,28.438,5.774,93,4.7,4.8,0.10888,14.031,98.92,Not Available,98.62200,CANCER CELL
2009,"15,367",25.288,24.846,26.636,7.317,82,4.4,4.7,0.10953,12.682,97.56,Not Available,98.49400,CANCER CELL
2008,"12,985",24.962,24.583,23.332,5.359,78,3.9,4.7,0.11902,11.725,96.15,Not Available,98.25200,CANCER CELL
2007,"10,890",23.858,23.253,21.968,5.500,78,3.5,4.4,0.11776,10.731,93.59,Not Available,98.10600,CANCER CELL
2006,"9,093",24.077,23.767,Not Available,4.013,78,3.0,4.4,Not Available,Not Available,92.31,Not Available,98.03100,CANCER CELL
2005,"6,767",18.725,18.247,Not Available,5.024,84,2.5,4.1,Not Available,Not Available,91.67,Not Available,97.96700,CANCER CELL
2004,"4,304",18.122,17.558,Not Available,3.351,97,2.1,4.0,Not Available,Not Available,79.38,Not Available,97.96700,CANCER CELL
2003,"2,208",18.913,18.021,Not Available,2.860,121,1.4,3.6,Not Available,Not Available,89.26,Not Available,97.91700,CANCER CELL
2002,291,Not Available,Not Available,Not Available,2.613,106,0.5,3.6,Not Available,Not Available,84.91,Not Available,1.31600,CANCER CELL
