,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,18865,336,1120,1696,1412,1294,1413,1414,1178,1310,1294,6398,CELL DEATH AND DIFFERENTIATION
2,,ALL OTHERS (810),810,9,34,60,48,28,37,71,60,67,54,342,CELL DEATH AND DIFFERENTIATION
3,,ONCOTARGET,899,14,57,110,87,61,75,57,52,64,76,246,CELL DEATH AND DIFFERENTIATION
4,4.122,SCI REP-UK,780,22,47,50,68,64,60,59,52,57,38,263,CELL DEATH AND DIFFERENTIATION
5,2.766,PLOS ONE,408,4,17,28,28,24,26,25,26,27,41,162,CELL DEATH AND DIFFERENTIATION
6,5.638,CELL DEATH DIS,362,4,31,28,27,47,29,27,15,36,17,101,CELL DEATH AND DIFFERENTIATION
7,8.000,CELL DEATH DIFFER,322,26,37,25,21,30,30,31,26,15,16,65,CELL DEATH AND DIFFERENTIATION
8,3.687,INT J MOL SCI,315,5,23,33,22,30,30,16,25,18,21,92,CELL DEATH AND DIFFERENTIATION
9,5.511,FRONT IMMUNOL,238,8,21,14,17,12,18,10,13,19,27,79,CELL DEATH AND DIFFERENTIATION
10,2.559,BIOCHEM BIOPH RES CO,191,3,19,25,18,11,12,8,9,14,9,63,CELL DEATH AND DIFFERENTIATION
11,6.854,ONCOGENE,175,3,20,15,18,22,20,16,8,10,14,29,CELL DEATH AND DIFFERENTIATION
12,4.011,J BIOL CHEM,152,2,12,12,7,17,11,15,9,12,6,49,CELL DEATH AND DIFFERENTIATION
13,12.353,NAT COMMUN,141,9,6,16,9,13,11,11,8,5,11,42,CELL DEATH AND DIFFERENTIATION
14,1.922,MOL MED REP,129,1,2,7,13,7,6,14,11,14,2,52,CELL DEATH AND DIFFERENTIATION
15,3.457,BIOMED PHARMACOTHER,128,1,3,9,10,6,11,8,4,11,6,59,CELL DEATH AND DIFFERENTIATION
16,9.217,IMMUNOL REV,128,8,18,9,16,11,9,2,3,7,12,33,CELL DEATH AND DIFFERENTIATION
17,1.664,ONCOL LETT,123,3,1,10,12,9,7,9,7,8,12,45,CELL DEATH AND DIFFERENTIATION
18,3.967,APOPTOSIS,120,1,8,0,6,4,9,8,6,12,11,55,CELL DEATH AND DIFFERENTIATION
19,4.936,OXID MED CELL LONGEV,114,2,8,17,5,11,4,9,10,9,2,37,CELL DEATH AND DIFFERENTIATION
20,6.491,CANCER LETT,109,4,8,7,19,1,11,9,6,6,12,26,CELL DEATH AND DIFFERENTIATION
21,9.504,P NATL ACAD SCI USA,108,4,13,10,9,9,6,9,8,4,3,33,CELL DEATH AND DIFFERENTIATION
22,4.651,BBA-MOL CELL RES,98,8,7,6,4,10,11,5,3,6,5,33,CELL DEATH AND DIFFERENTIATION
23,5.500,CELL PHYSIOL BIOCHEM,96,2,6,10,9,5,5,8,10,7,7,27,CELL DEATH AND DIFFERENTIATION
24,8.032,CELL REP,90,2,8,11,8,6,12,5,8,2,6,22,CELL DEATH AND DIFFERENTIATION
25,2.976,ONCOL REP,90,3,4,5,7,5,5,9,7,6,7,32,CELL DEATH AND DIFFERENTIATION
26,4.416,FRONT ONCOL,86,3,6,8,6,5,17,12,0,4,9,16,CELL DEATH AND DIFFERENTIATION
27,4.530,FEBS J,85,1,10,4,6,8,10,5,5,6,3,27,CELL DEATH AND DIFFERENTIATION
28,3.622,INT REV CEL MOL BIO,85,0,4,11,7,8,12,9,7,5,6,16,CELL DEATH AND DIFFERENTIATION
29,6.721,CELL MOL LIFE SCI,83,1,10,8,5,6,4,6,8,3,6,26,CELL DEATH AND DIFFERENTIATION
30,5.076,MOL NEUROBIOL,83,0,0,6,7,3,6,10,3,7,6,35,CELL DEATH AND DIFFERENTIATION
31,11.100,AUTOPHAGY,80,1,3,11,8,9,2,5,4,16,1,20,CELL DEATH AND DIFFERENTIATION
32,3.902,FRONT MOL NEUROSCI,78,2,6,9,9,7,3,4,6,11,4,17,CELL DEATH AND DIFFERENTIATION
33,,TUMOR BIOL,75,0,7,5,5,6,4,9,9,4,5,21,CELL DEATH AND DIFFERENTIATION
34,4.401,J CELL SCI,74,2,10,8,4,10,10,7,4,2,4,13,CELL DEATH AND DIFFERENTIATION
35,3.761,VIRUSES-BASEL,74,4,2,4,3,2,5,3,2,5,9,35,CELL DEATH AND DIFFERENTIATION
36,9.130,CANCER RES,73,2,6,13,11,4,8,4,3,3,5,14,CELL DEATH AND DIFFERENTIATION
37,7.616,ELIFE,72,4,6,9,4,5,6,5,7,7,4,15,CELL DEATH AND DIFFERENTIATION
38,6.020,FREE RADICAL BIO MED,72,0,2,2,2,14,7,4,8,5,5,23,CELL DEATH AND DIFFERENTIATION
39,4.300,FRONT CELL NEUROSCI,71,0,3,13,6,2,5,7,3,5,2,25,CELL DEATH AND DIFFERENTIATION
40,6.530,ANTIOXID REDOX SIGN,69,0,4,20,3,5,3,7,4,4,4,15,CELL DEATH AND DIFFERENTIATION
41,4.539,J IMMUNOL,69,1,8,8,6,3,3,3,1,2,8,26,CELL DEATH AND DIFFERENTIATION
42,3.831,FRONT PHARMACOL,64,0,2,5,2,4,1,9,5,5,7,24,CELL DEATH AND DIFFERENTIATION
43,1.396,INT J CLIN EXP PATHO,61,0,2,5,6,6,1,7,5,3,3,23,CELL DEATH AND DIFFERENTIATION
44,3.333,INT J ONCOL,60,1,6,7,2,2,5,9,3,3,6,16,CELL DEATH AND DIFFERENTIATION
45,1.865,ANTICANCER RES,57,0,2,5,3,0,4,2,5,5,7,24,CELL DEATH AND DIFFERENTIATION
46,3.304,CELL CYCLE,57,9,4,5,6,6,4,3,6,0,1,13,CELL DEATH AND DIFFERENTIATION
47,1.410,EXP THER MED,56,0,1,4,5,2,2,4,5,3,8,22,CELL DEATH AND DIFFERENTIATION
48,7.126,REDOX BIOL,56,0,6,5,0,4,6,8,5,5,5,12,CELL DEATH AND DIFFERENTIATION
49,8.784,J CELL BIOL,55,1,2,5,5,5,10,9,1,5,1,11,CELL DEATH AND DIFFERENTIATION
50,5.595,FASEB J,54,1,2,6,3,5,0,4,2,5,4,22,CELL DEATH AND DIFFERENTIATION
51,5.540,PLOS GENET,52,1,5,8,5,6,4,3,3,2,3,12,CELL DEATH AND DIFFERENTIATION
