,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,11037,124,702,803,915,940,811,825,715,661,557,3984,CELL DEATH AND DIFFERENTIATION
2, ,ALL OTHERS (513),513,7,38,42,49,57,45,46,34,26,12,157,CELL DEATH AND DIFFERENTIATION
3,31.398,CELL,479,1,16,14,24,28,45,31,23,47,31,219,CELL DEATH AND DIFFERENTIATION
4,4.011,J BIOL CHEM,464,1,6,12,16,25,25,30,35,23,25,266,CELL DEATH AND DIFFERENTIATION
5,41.577,NATURE,462,6,31,30,25,29,18,48,24,30,11,210,CELL DEATH AND DIFFERENTIATION
6,9.504,P NATL ACAD SCI USA,423,3,21,19,37,34,27,29,27,19,23,184,CELL DEATH AND DIFFERENTIATION
7,8.000,CELL DEATH DIFFER,322,26,37,25,21,30,30,31,26,15,16,65,CELL DEATH AND DIFFERENTIATION
8,41.058,SCIENCE,267,0,7,7,23,13,9,13,20,12,6,157,CELL DEATH AND DIFFERENTIATION
9,14.248,MOL CELL,241,0,14,16,21,13,19,30,22,14,15,77,CELL DEATH AND DIFFERENTIATION
10,6.854,ONCOGENE,218,4,12,12,16,13,8,5,15,8,15,110,CELL DEATH AND DIFFERENTIATION
11,10.557,EMBO J,182,1,11,7,5,5,19,13,9,6,6,100,CELL DEATH AND DIFFERENTIATION
12,2.766,PLOS ONE,179,0,12,13,21,49,37,26,8,7,5,1,CELL DEATH AND DIFFERENTIATION
13,9.130,CANCER RES,176,1,3,8,14,8,8,6,17,6,10,95,CELL DEATH AND DIFFERENTIATION
14,15.132,BLOOD,168,1,4,6,12,6,18,15,12,11,10,73,CELL DEATH AND DIFFERENTIATION
15,3.813,MOL CELL BIOL,166,1,1,4,4,4,11,12,6,4,9,110,CELL DEATH AND DIFFERENTIATION
16,9.462,GENE DEV,165,1,10,5,7,14,8,8,13,5,11,83,CELL DEATH AND DIFFERENTIATION
17,19.064,NAT CELL BIOL,157,2,4,12,12,13,11,22,10,11,9,51,CELL DEATH AND DIFFERENTIATION
18,8.784,J CELL BIOL,142,3,5,3,3,5,7,5,10,6,9,86,CELL DEATH AND DIFFERENTIATION
19,4.539,J IMMUNOL,140,1,2,8,15,9,9,8,7,9,11,61,CELL DEATH AND DIFFERENTIATION
20,35.612,NAT REV MOL CELL BIO,135,1,2,5,26,7,12,12,15,6,15,34,CELL DEATH AND DIFFERENTIATION
21,19.734,IMMUNITY,118,1,8,3,13,12,7,11,5,7,11,40,CELL DEATH AND DIFFERENTIATION
22,10.790,J EXP MED,107,1,4,6,0,7,3,5,10,6,4,61,CELL DEATH AND DIFFERENTIATION
23,42.784,NAT REV CANCER,106,1,10,2,10,7,5,10,4,14,6,37,CELL DEATH AND DIFFERENTIATION
24,12.353,NAT COMMUN,103,4,21,25,26,16,9,2,0,0,0,0,CELL DEATH AND DIFFERENTIATION
25,13.251,J CLIN INVEST,102,0,3,2,9,7,4,6,7,11,3,50,CELL DEATH AND DIFFERENTIATION
26,22.844,CANCER CELL,98,0,6,3,14,13,11,10,5,9,6,21,CELL DEATH AND DIFFERENTIATION
27,21.809,NAT IMMUNOL,97,1,4,10,6,12,7,8,5,6,6,32,CELL DEATH AND DIFFERENTIATION
28,11.561,NUCLEIC ACIDS RES,96,1,14,7,8,12,11,3,3,4,6,27,CELL DEATH AND DIFFERENTIATION
29,4.401,J CELL SCI,89,0,5,2,6,8,9,5,9,2,5,38,CELL DEATH AND DIFFERENTIATION
30,5.638,CELL DEATH DIS,88,2,13,21,24,15,9,2,2,0,0,0,CELL DEATH AND DIFFERENTIATION
31,32.621,NAT MED,88,2,9,7,9,13,5,7,2,4,4,26,CELL DEATH AND DIFFERENTIATION
32,5.413,DEVELOPMENT,75,1,0,4,4,6,5,8,5,4,2,36,CELL DEATH AND DIFFERENTIATION
33,27.125,NAT GENET,73,0,4,4,1,4,2,4,1,7,5,41,CELL DEATH AND DIFFERENTIATION
34,8.032,CELL REP,72,0,25,16,14,15,2,0,0,0,0,0,CELL DEATH AND DIFFERENTIATION
35,11.100,AUTOPHAGY,71,0,8,9,11,5,10,6,6,6,4,6,CELL DEATH AND DIFFERENTIATION
36,9.616,DEV CELL,70,0,10,3,1,5,0,1,7,7,6,30,CELL DEATH AND DIFFERENTIATION
37,9.251,CURR BIOL,64,0,5,4,5,2,3,2,2,3,2,36,CELL DEATH AND DIFFERENTIATION
38,2.559,BIOCHEM BIOPH RES CO,61,0,4,4,3,6,0,2,1,6,3,32,CELL DEATH AND DIFFERENTIATION
39,23.290,CELL STEM CELL,61,1,1,3,8,7,13,2,9,3,7,7,CELL DEATH AND DIFFERENTIATION
40,5.971,J NEUROSCI,61,0,1,1,6,4,6,5,6,1,5,26,CELL DEATH AND DIFFERENTIATION
41,8.749,EMBO REP,59,0,6,2,8,2,4,2,6,9,9,11,CELL DEATH AND DIFFERENTIATION
42, ,ONCOTARGET,57,3,22,18,9,2,0,1,1,0,0,1,CELL DEATH AND DIFFERENTIATION
43,10.199,CLIN CANCER RES,56,0,1,6,5,4,5,7,1,4,2,21,CELL DEATH AND DIFFERENTIATION
44,3.857,BIOCHEM J,53,0,1,7,4,2,1,5,1,6,5,21,CELL DEATH AND DIFFERENTIATION
45,3.512,MOL BIOL CELL,52,0,1,2,1,3,7,5,2,8,3,20,CELL DEATH AND DIFFERENTIATION
46,4.902,HUM MOL GENET,50,0,4,3,7,4,5,4,1,5,2,15,CELL DEATH AND DIFFERENTIATION
47,2.999,FEBS LETT,48,0,0,3,1,2,2,2,6,4,2,26,CELL DEATH AND DIFFERENTIATION
48,3.304,CELL CYCLE,44,1,3,2,1,4,6,5,4,5,8,5,CELL DEATH AND DIFFERENTIATION
49,3.262,DEV BIOL,44,2,0,2,2,0,1,1,6,2,4,24,CELL DEATH AND DIFFERENTIATION
50,3.184,BIOL REPROD,42,0,0,1,3,4,1,2,2,2,1,26,CELL DEATH AND DIFFERENTIATION
