Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"18,865",8.000,7.823,7.999,1.806,186,7.6,7.6,0.032,2.640,86.02,3.68200,88.14800,CELL DEATH AND DIFFERENTIATION
2016,"17,711",8.339,8.135,8.251,1.875,176,7.1,7.5,0.034,2.733,88.64,3.90561,89.50100,CELL DEATH AND DIFFERENTIATION
2015,"16,945",8.218,7.990,8.019,2.648,176,6.8,7.3,0.03561,2.728,85.23,4.05863,89.82400,CELL DEATH AND DIFFERENTIATION
2014,"16,082",8.184,7.953,8.461,2.134,172,6.4,6.7,0.0407,3.022,91.86,4.55822,88.47500,CELL DEATH AND DIFFERENTIATION
2013,"15,552",8.385,8.118,8.345,2.288,153,5.9,6.5,0.04355,2.901,91.50,4.79962,88.35800,CELL DEATH AND DIFFERENTIATION
2012,"14,551",8.371,8.143,8.395,2.279,190,5.5,6.4,0.04934,3.105,90.00,Not Available,88.71200,CELL DEATH AND DIFFERENTIATION
2011,"13,183",8.849,8.595,7.955,1.977,174,5.1,6.3,0.05751,3.239,86.78,Not Available,90.18100,CELL DEATH AND DIFFERENTIATION
2010,"12,873",9.050,8.809,8.674,2.115,174,4.6,6.2,0.06105,3.432,75.29,Not Available,89.29000,CELL DEATH AND DIFFERENTIATION
2009,"11,655",8.240,7.958,8.387,2.701,157,4.1,5.4,0.06533,3.519,78.98,Not Available,90.00600,CELL DEATH AND DIFFERENTIATION
2008,"10,309",7.548,7.204,8.399,2.160,206,4.1,5.6,0.06284,3.500,95.15,Not Available,88.88000,CELL DEATH AND DIFFERENTIATION
2007,"8,756",8.254,7.870,8.168,2.075,199,4.0,5.5,0.05718,3.337,87.44,Not Available,90.36300,CELL DEATH AND DIFFERENTIATION
2006,"7,054",7.463,7.160,Not Available,1.892,232,3.9,5.2,Not Available,Not Available,81.03,Not Available,88.05200,CELL DEATH AND DIFFERENTIATION
2005,"6,142",7.785,7.410,Not Available,1.602,123,3.9,5.2,Not Available,Not Available,75.61,Not Available,90.68100,CELL DEATH AND DIFFERENTIATION
2004,"5,671",8.192,7.744,Not Available,1.644,132,3.7,5.1,Not Available,Not Available,90.15,Not Available,90.94200,CELL DEATH AND DIFFERENTIATION
2003,"5,032",7.008,6.522,Not Available,1.548,124,3.7,4.6,Not Available,Not Available,77.42,Not Available,88.09500,CELL DEATH AND DIFFERENTIATION
2002,"3,918",5.701,5.360,Not Available,1.262,126,3.3,4.4,Not Available,Not Available,91.27,Not Available,84.85500,CELL DEATH AND DIFFERENTIATION
2001,"3,486",8.027,7.434,Not Available,0.539,115,2.7,4.2,Not Available,Not Available,88.70,Not Available,90.41000,CELL DEATH AND DIFFERENTIATION
2000,"2,619",7.785,7.288,Not Available,0.921,126,2.2,3.8,Not Available,Not Available,82.54,Not Available,90.43600,CELL DEATH AND DIFFERENTIATION
1999,"1,451",4.733,4.257,Not Available,0.917,132,2.0,3.4,Not Available,Not Available,73.48,Not Available,84.66400,CELL DEATH AND DIFFERENTIATION
1998,911,4.021,3.590,Not Available,0.982,114,2.0,3.8,Not Available,Not Available,81.58,Not Available,81.76000,CELL DEATH AND DIFFERENTIATION
1997,621,5.274,4.392,Not Available,1.022,92,1.9,3.9,Not Available,Not Available,85.87,Not Available,87.03300,CELL DEATH AND DIFFERENTIATION
