,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,13728,402,1049,1260,1760,1353,1111,1643,723,1080,1237,2110,CELL RESEARCH
2,,ALL OTHERS (857),857,20,46,65,66,50,62,101,62,68,92,225,CELL RESEARCH
3,4.122,SCI REP-UK,607,6,34,44,70,74,58,80,32,56,45,108,CELL RESEARCH
4,,ONCOTARGET,520,16,17,35,64,48,45,43,27,63,66,96,CELL RESEARCH
5,2.766,PLOS ONE,271,4,22,19,24,20,33,24,19,24,30,52,CELL RESEARCH
6,3.687,INT J MOL SCI,205,6,8,26,28,14,17,23,13,18,18,34,CELL RESEARCH
7,12.353,NAT COMMUN,180,9,25,26,31,20,16,20,6,11,5,11,CELL RESEARCH
8,3.677,FRONT PLANT SCI,164,3,2,5,14,34,18,7,6,15,21,39,CELL RESEARCH
9,4.011,J BIOL CHEM,132,1,10,13,12,15,13,18,12,13,11,14,CELL RESEARCH
10,9.504,P NATL ACAD SCI USA,130,8,13,19,29,18,8,8,7,5,3,12,CELL RESEARCH
11,5.511,FRONT IMMUNOL,115,10,9,8,8,14,4,21,9,3,9,20,CELL RESEARCH
12,15.393,CELL RES,109,39,21,11,19,5,1,6,2,4,1,0,CELL RESEARCH
13,11.561,NUCLEIC ACIDS RES,109,2,8,8,13,13,13,20,8,1,20,3,CELL RESEARCH
14,8.032,CELL REP,90,3,9,16,16,14,4,15,3,2,5,3,CELL RESEARCH
15,5.638,CELL DEATH DIS,87,0,2,7,19,9,4,7,6,12,10,11,CELL RESEARCH
16,2.559,BIOCHEM BIOPH RES CO,85,2,8,4,14,8,5,9,5,6,6,18,CELL RESEARCH
17,6.854,ONCOGENE,82,0,1,6,13,8,10,15,3,13,5,8,CELL RESEARCH
18,1.664,ONCOL LETT,77,0,0,3,5,6,6,3,4,14,15,21,CELL RESEARCH
19,7.616,ELIFE,70,5,2,6,18,14,2,10,2,8,0,3,CELL RESEARCH
20,1.922,MOL MED REP,67,0,0,1,6,1,3,13,4,10,9,20,CELL RESEARCH
21,14.248,MOL CELL,66,12,14,10,10,7,3,4,1,3,2,0,CELL RESEARCH
22,4.894,J MOL BIOL,60,3,16,8,8,3,2,12,1,2,2,3,CELL RESEARCH
23,6.537,STEM CELL REP,59,0,5,5,4,10,6,9,6,9,1,4,CELL RESEARCH
24,6.491,CANCER LETT,58,3,2,11,9,6,5,5,3,7,4,3,CELL RESEARCH
25,5.949,PLANT PHYSIOL,57,1,3,2,4,9,6,5,5,3,10,9,CELL RESEARCH
